tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Finau, Tony",11676,8200,0.1284,1,9,0,0,5,94.5,30,138.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Smith, Cameron",15856,8500,0.129,2,3,3,0,5,96.0,20,127.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Rahm, Jon",19195,11500,0.1797,3,6,6,0,5,89.0,18,124.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Thomas, Justin",14139,9800,0.0937,T4,6,0,0,0,95.0,16,117.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"van Rooyen, Erik",17550,6700,0.0152,7,6,0,0,0,97.0,10,113.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Hoge, Tom",15575,6000,0.0019,T4,6,3,0,5,82.5,16,112.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Noren, Alex",10419,6900,0.015,T4,3,0,0,0,85.5,16,104.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Mitchell, Keith",17365,6300,0.0065,T8,6,0,0,0,88.5,9,103.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Swafford, Hudson",14706,6000,0.0029,T11,6,0,0,0,86.5,6,98.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Na, Kevin",7452,7500,0.056,T8,3,3,0,0,83.0,9,98.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Conners, Corey",17576,8300,0.0766,T8,3,0,0,0,86.0,9,98.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Champ, Cameron",23542,7300,0.0227,T27,6,0,0,0,87.5,3,96.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Tringale, Cameron",14013,7300,0.095,T21,6,0,0,0,83.5,4,93.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Lowry, Shane",13900,7500,0.0964,T11,0,0,0,0,87.5,6,93.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Perez, Pat",6762,6700,0.01,T16,6,0,0,0,81.5,5,92.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Bradley, Keegan",13872,7500,0.0354,T11,0,0,0,5,80.5,6,91.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Ghim, Doug",24550,6200,0.0246,T31,3,0,0,0,86.0,2,91.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Streb, Robert",14852,6000,0.0015,T16,0,3,0,5,78.0,5,91.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Hoffman, Charley",5768,7000,0.0665,T21,0,0,0,0,87.0,4,91.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Munoz, Sebastian",20770,7300,0.0423,T21,0,0,0,5,81.0,4,90.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"DeChambeau, Bryson",19841,9600,0.1245,T31,0,0,0,0,88.0,2,90.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Varner III, Harold",16602,6700,0.0334,T11,3,0,0,0,81.0,6,90.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Higgs, Harry",14140,6100,0.0117,T16,0,0,0,0,85.0,5,90.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Matsuyama, Hideki",13562,9000,0.0953,T43,6,0,0,0,82.0,1,89.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Davis, Cam",17786,7000,0.0267,T31,3,0,0,0,83.0,2,88.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Schauffele, Xander",19895,10600,0.0742,T16,3,0,0,0,79.5,5,87.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Cantlay, Patrick",15466,9200,0.1066,T11,0,0,0,5,76.5,6,87.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Hovland, Viktor",18841,9500,0.1023,T43,6,0,0,0,80.5,1,87.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"English, Harris",14577,8800,0.1457,T31,0,0,0,0,85.0,2,87.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Simpson, Webb",11049,8900,0.1257,T47,6,0,0,0,79.5,1,86.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Burns, Sam",19483,8000,0.0812,T21,3,0,0,0,78.5,4,85.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"McNealy, Maverick",18634,6900,0.0633,T27,3,0,0,0,79.0,3,85.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Koepka, Brooks",16243,10200,0.0767,T31,6,0,0,0,76.0,2,84.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Wise, Aaron",22051,6600,0.0238,T21,0,0,0,0,79.5,4,83.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Im, Sungjae",17488,7800,0.0699,T16,0,3,0,0,75.5,5,83.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Westwood, Lee",4052,6900,0.0142,T27,6,0,0,0,73.5,3,82.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Dahmen, Joel",14509,6600,0.0118,T31,0,3,0,0,77.5,2,82.5
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Poulter, Ian",1435,7700,0.0969,T31,3,0,0,0,77.0,2,82.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Scheffler, Scottie",18417,9300,0.152,T43,6,0,0,0,74.0,1,81.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Schenk, Adam",19477,6400,0.0084,T31,3,3,0,0,72.0,2,80.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Streelman, Kevin",8480,7400,0.0801,T64,6,0,0,0,74.0,0,80.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Ancer, Abraham",18238,9400,0.1005,T64,6,0,0,0,74.0,0,80.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Horschel, Billy",11276,7600,0.0366,T31,0,0,0,0,77.0,2,79.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"McIlroy, Rory",10091,10000,0.1251,T43,3,0,0,0,75.0,1,79.0
pga,2021,2021,THE NORTHERN TRUST,27,draftkings,PGA TOUR $1M Flop Shot [$250K to 1st],"Gooch, Talor",18580,6800,0.037,T31,3,0,0,0,73.5,2,78.5
