bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+932,2021-08-19 00:31,19195,+979,2021-08-17 07:37,3,"Rahm, Jon",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+1198,2021-08-19 00:31,14636,+1526,2021-08-17 07:37,73,"Spieth, Jordan",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+1601,2021-08-19 00:31,22085,+1501,2021-08-17 07:37,CUT,"Morikawa, Collin",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+1672,2021-08-19 00:31,12422,+2012,2021-08-17 07:37,CUT,"Johnson, Dustin",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+1872,2021-08-19 00:31,19841,+2405,2021-08-17 07:37,T31,"DeChambeau, Bryson",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+1938,2021-08-19 00:31,19895,+2279,2021-08-17 07:37,T16,"Schauffele, Xander",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+1978,2021-08-19 00:31,10091,+1998,2021-08-17 07:37,T43,"McIlroy, Rory",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+2005,2021-08-19 00:31,7108,+3272,2021-08-17 07:37,T64,"Casey, Paul",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+2039,2021-08-19 00:31,16243,+2179,2021-08-17 07:37,T31,"Koepka, Brooks",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+2442,2021-08-19 00:31,17606,+2600,2021-08-17 07:37,T56,"Berger, Daniel",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+2530,2021-08-19 00:31,15466,+2330,2021-08-17 07:37,T11,"Cantlay, Patrick",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+2672,2021-08-19 00:31,14139,+2539,2021-08-17 07:37,T4,"Thomas, Justin",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+2875,2021-08-19 00:31,11049,+3581,2021-08-17 07:37,T47,"Simpson, Webb",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+3113,2021-08-19 00:31,18417,+2833,2021-08-17 07:37,T43,"Scheffler, Scottie",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+3418,2021-08-19 00:31,18841,+2975,2021-08-17 07:37,T43,"Hovland, Viktor",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+3612,2021-08-19 00:31,18238,+3042,2021-08-17 07:37,T64,"Ancer, Abraham",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+3790,2021-08-19 00:31,13562,+3472,2021-08-17 07:37,T43,"Matsuyama, Hideki",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+4123,2021-08-19 00:31,15856,+3472,2021-08-17 07:37,2,"Smith, Cameron",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+4386,2021-08-19 00:31,14796,+5451,2021-08-17 07:37,CUT,"Hatton, Tyrrell",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+4586,2021-08-19 00:31,6430,+5152,2021-08-17 07:37,CUT,"Scott, Adam",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+4709,2021-08-19 00:31,14577,+3967,2021-08-17 07:37,T31,"English, Harris",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+4884,2021-08-19 00:31,5689,+8924,2021-08-17 07:37,CUT,"Garcia, Sergio",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+5090,2021-08-19 00:31,18079,+6543,2021-08-17 07:37,T47,"Niemann, Joaquin",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+5501,2021-08-19 00:31,13900,+7187,2021-08-17 07:37,T11,"Lowry, Shane",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
1,paid in full,+6004,2021-08-19 00:31,11676,+5451,2021-08-17 07:37,1,"Finau, Tony",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
0,loss,+6463,2021-08-19 00:31,17646,+5451,2021-08-17 07:37,CUT,"Fitzpatrick, Matthew",pinnacle,2021-08-22,THE NORTHERN TRUST,win,2021,2021,27
