tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,THE NORTHERN TRUST,27,"Finau, Tony",11676,1,1,Liberty National Golf Club,886,67,1.393,1.008,2.037,-0.153,2.892,4.285,293.2,0.714,0.833,0.8,31.755,29.371
pga,2021,2021,THE NORTHERN TRUST,27,"Finau, Tony",11676,1,2,Liberty National Golf Club,886,64,2.738,-0.512,0.887,1.904,2.278,5.016,296.0,0.786,0.778,0.667,34.626,28.942
pga,2021,2021,THE NORTHERN TRUST,27,"Finau, Tony",11676,1,3,Liberty National Golf Club,886,68,-2.485,0.822,-0.165,2.124,2.78,0.293,295.1,0.929,0.889,1.0,19.448,22.988
pga,2021,2021,THE NORTHERN TRUST,27,"Finau, Tony",11676,1,4,Liberty National Golf Club,886,65,2.338,-0.193,2.27,0.784,2.862,5.2,296.9,0.786,0.722,0.833,37.031,22.544
pga,2021,2021,THE NORTHERN TRUST,27,"Smith, Cameron",15856,2,1,Liberty National Golf Club,886,69,1.898,0.44,0.935,-0.988,0.387,2.285,286.7,0.571,0.556,0.875,42.538,26.828
pga,2021,2021,THE NORTHERN TRUST,27,"Smith, Cameron",15856,2,2,Liberty National Golf Club,886,68,-1.214,0.384,1.046,0.801,2.23,1.016,296.9,0.786,0.833,0.8,17.756,30.52
pga,2021,2021,THE NORTHERN TRUST,27,"Smith, Cameron",15856,2,3,Liberty National Golf Club,886,60,1.129,0.902,4.179,2.086,7.166,8.293,300.4,0.786,0.889,1.0,21.969,17.863
pga,2021,2021,THE NORTHERN TRUST,27,"Smith, Cameron",15856,2,4,Liberty National Golf Club,886,67,2.344,0.146,2.227,-1.518,0.856,3.2,287.2,0.643,0.722,1.0,35.094,23.556
pga,2021,2021,THE NORTHERN TRUST,27,"Rahm, Jon",19195,3,1,Liberty National Golf Club,886,63,1.526,0.976,4.177,1.606,6.759,8.285,294.1,0.857,0.833,1.0,18.681,23.85
pga,2021,2021,THE NORTHERN TRUST,27,"Rahm, Jon",19195,3,2,Liberty National Golf Club,886,67,0.217,-1.233,1.391,1.642,1.799,2.016,291.8,0.929,0.778,0.8,,27.298
pga,2021,2021,THE NORTHERN TRUST,27,"Rahm, Jon",19195,3,3,Liberty National Golf Club,886,67,1.756,-0.541,-0.739,0.641,-0.556,1.293,305.8,0.714,0.722,0.714,43.551,24.938
pga,2021,2021,THE NORTHERN TRUST,27,"Rahm, Jon",19195,3,4,Liberty National Golf Club,886,69,-2.345,-0.325,3.374,0.495,3.545,1.2,301.6,0.714,0.778,0.8,34.205,26.891
pga,2021,2021,THE NORTHERN TRUST,27,"Noren, Alex",10419,T4,1,Liberty National Golf Club,886,69,1.426,-0.877,2.047,-0.311,0.859,2.285,286.0,0.5,0.722,0.75,53.012,37.978
pga,2021,2021,THE NORTHERN TRUST,27,"Noren, Alex",10419,T4,2,Liberty National Golf Club,886,64,3.359,0.663,0.998,-0.004,1.657,5.016,283.9,0.786,0.722,1.0,20.754,26.36
pga,2021,2021,THE NORTHERN TRUST,27,"Noren, Alex",10419,T4,3,Liberty National Golf Club,886,70,-0.209,1.61,-1.87,-1.235,-1.496,-1.707,295.9,0.571,0.611,1.0,29.924,30.136
pga,2021,2021,THE NORTHERN TRUST,27,"Noren, Alex",10419,T4,4,Liberty National Golf Club,886,66,4.076,0.854,0.887,-1.618,0.124,4.2,281.0,0.786,0.722,1.0,33.014,30.917
pga,2021,2021,THE NORTHERN TRUST,27,"Hoge, Tom",15575,T4,1,Liberty National Golf Club,886,69,-0.087,-0.305,1.829,0.848,2.372,2.285,285.3,0.786,0.722,0.429,12.72,37.229
pga,2021,2021,THE NORTHERN TRUST,27,"Hoge, Tom",15575,T4,2,Liberty National Golf Club,886,64,3.5,0.253,0.818,0.446,1.516,5.016,285.6,0.714,0.722,1.0,34.847,24.465
pga,2021,2021,THE NORTHERN TRUST,27,"Hoge, Tom",15575,T4,3,Liberty National Golf Club,886,67,3.626,-1.073,-1.586,0.329,-2.331,1.293,292.1,0.643,0.611,0.8,15.796,34.462
pga,2021,2021,THE NORTHERN TRUST,27,"Hoge, Tom",15575,T4,4,Liberty National Golf Club,886,69,0.003,0.47,-0.364,1.09,1.197,1.2,279.7,0.857,0.611,0.7,53.279,36.39
pga,2021,2021,THE NORTHERN TRUST,27,"Thomas, Justin",14139,T4,1,Liberty National Golf Club,886,63,2.505,-0.403,4.595,1.588,5.78,8.285,303.2,0.643,0.778,0.75,28.49,23.44
pga,2021,2021,THE NORTHERN TRUST,27,"Thomas, Justin",14139,T4,2,Liberty National Golf Club,886,69,0.075,-0.753,0.971,-0.277,-0.059,0.016,300.1,0.5,0.722,0.6,48.763,24.854
pga,2021,2021,THE NORTHERN TRUST,27,"Thomas, Justin",14139,T4,3,Liberty National Golf Club,886,67,0.312,-0.407,0.171,1.22,0.983,1.293,305.1,0.714,0.778,0.571,52.358,28.143
pga,2021,2021,THE NORTHERN TRUST,27,"Thomas, Justin",14139,T4,4,Liberty National Golf Club,886,70,1.604,-1.084,-1.469,1.148,-1.404,0.2,295.4,0.786,0.611,0.786,50.372,34.399
pga,2021,2021,THE NORTHERN TRUST,27,"van Rooyen, Erik",17550,7,1,Liberty National Golf Club,886,69,2.553,1.537,-2.487,0.682,-0.268,2.285,287.6,0.786,0.667,1.0,48.279,35.644
pga,2021,2021,THE NORTHERN TRUST,27,"van Rooyen, Erik",17550,7,2,Liberty National Golf Club,886,67,0.144,0.326,2.913,-1.367,1.872,2.016,287.9,0.643,0.722,0.857,36.634,23.679
pga,2021,2021,THE NORTHERN TRUST,27,"van Rooyen, Erik",17550,7,3,Liberty National Golf Club,886,62,3.006,0.911,0.506,1.873,3.289,6.293,300.2,0.857,0.778,0.667,45.703,25.828
pga,2021,2021,THE NORTHERN TRUST,27,"van Rooyen, Erik",17550,7,4,Liberty National Golf Club,886,72,1.061,-0.865,-2.436,0.439,-2.861,-1.8,293.0,0.643,0.611,0.75,46.673,29.332
pga,2021,2021,THE NORTHERN TRUST,27,"Conners, Corey",17576,T8,1,Liberty National Golf Club,886,70,-1.217,-0.826,1.58,1.748,2.502,1.285,284.5,0.929,0.833,0.25,37.659,33.513
pga,2021,2021,THE NORTHERN TRUST,27,"Conners, Corey",17576,T8,2,Liberty National Golf Club,886,69,0.285,-0.37,0.236,-0.135,-0.269,0.016,292.4,0.571,0.556,0.6,66.779,22.17
