tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"DeChambeau, Bryson",19841,9300,0.3703,2,6,3,0,5,126.0,20,160.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Cantlay, Patrick",15466,9200,0.198,1,9,0,0,5,115.0,30,159.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Im, Sungjae",17488,8000,0.097,3,3,0,0,5,102.0,18,128.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Garcia, Sergio",5689,7600,0.0851,T6,3,6,0,5,96.5,12,122.5
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"McIlroy, Rory",10091,9400,0.1525,4,3,3,0,0,99.5,16,121.5
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"van Rooyen, Erik",17550,7500,0.0297,5,3,9,0,5,90.0,14,121.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Rahm, Jon",19195,11700,0.3881,T9,6,6,0,0,91.0,8,111.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Johnson, Dustin",12422,10400,0.0634,T6,0,0,0,0,97.0,12,109.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Lee, K.H.",13497,6000,0.0376,T12,6,0,0,5,91.0,6,108.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Burns, Sam",19483,8300,0.0653,8,3,3,0,0,92.5,9,107.5
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Schwartzel, Charl",7398,6100,0.0119,T17,0,3,0,0,94.5,5,102.5
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Simpson, Webb",11049,8500,0.0851,T12,6,0,0,0,90.0,6,102.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Kokrak, Jason",12337,7800,0.0455,T15,3,6,0,0,86.5,6,101.5
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Varner III, Harold",16602,7400,0.0099,T12,6,3,0,0,86.0,6,101.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Noren, Alex",10419,7700,0.0238,T9,3,3,0,0,87.0,8,101.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Ancer, Abraham",18238,8700,0.0416,T9,3,0,0,0,88.5,8,99.5
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Finau, Tony",11676,9800,0.095,T15,6,0,0,0,87.0,6,99.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Scheffler, Scottie",18417,8900,0.2673,T22,3,6,0,0,81.5,4,94.5
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Wise, Aaron",22051,6300,0.1366,T17,3,0,0,0,86.5,5,94.5
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Conners, Corey",17576,8600,0.1267,T22,6,3,0,0,80.0,4,93.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Swafford, Hudson",14706,6000,0.0574,T17,3,0,0,0,84.5,5,92.5
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Hovland, Viktor",18841,9100,0.202,T17,3,3,0,0,81.0,5,92.0
pga,2021,2021,BMW Championship,28,draftkings,$2M Fantasy Golf MEGA Millionaire [$1M to 1st + ToC Entry] (PGA TOUR),"Westwood, Lee",4052,6800,0.0178,T34,3,0,0,0,85.5,2,90.5
