tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,BMW Championship,28,"Cantlay, Patrick",15466,1,1,Caves Valley Golf Club,882,66,6.037,-1.138,-1.907,0.225,-2.82,3.217,300.7,0.786,0.722,0.667,38.531,46.019
pga,2021,2021,BMW Championship,28,"Cantlay, Patrick",15466,1,2,Caves Valley Golf Club,882,63,5.137,-0.509,2.412,-0.127,1.776,6.913,295.2,0.714,0.778,0.714,39.64,31.672
pga,2021,2021,BMW Championship,28,"Cantlay, Patrick",15466,1,3,Caves Valley Golf Club,882,66,-0.383,0.883,2.396,0.336,3.615,3.232,299.9,0.571,0.889,0.5,45.583,23.611
pga,2021,2021,BMW Championship,28,"Cantlay, Patrick",15466,1,4,Caves Valley Golf Club,882,66,3.787,-0.335,-1.762,0.759,-1.338,2.449,300.1,0.786,0.833,0.75,32.11,25.628
pga,2021,2021,BMW Championship,28,"DeChambeau, Bryson",19841,2,1,Caves Valley Golf Club,882,68,1.322,-0.83,-1.451,2.176,-0.105,1.217,334.1,0.5,0.833,0.6,52.349,27.508
pga,2021,2021,BMW Championship,28,"DeChambeau, Bryson",19841,2,2,Caves Valley Golf Club,882,60,3.039,0.29,4.849,1.735,6.874,9.913,329.5,0.5,0.889,1.0,14.849,21.34
pga,2021,2021,BMW Championship,28,"DeChambeau, Bryson",19841,2,3,Caves Valley Golf Club,882,67,3.181,0.604,-2.818,1.265,-0.949,2.232,316.4,0.643,0.722,0.667,51.72,33.8
pga,2021,2021,BMW Championship,28,"DeChambeau, Bryson",19841,2,4,Caves Valley Golf Club,882,66,1.817,-1.144,-1.08,2.856,0.632,2.449,336.4,0.643,0.667,0.75,68.132,31.094
pga,2021,2021,BMW Championship,28,"Im, Sungjae",17488,3,1,Caves Valley Golf Club,882,67,0.644,0.384,0.036,1.153,1.573,2.217,293.2,0.857,0.778,0.667,55.925,32.879
pga,2021,2021,BMW Championship,28,"Im, Sungjae",17488,3,2,Caves Valley Golf Club,882,65,2.401,0.096,1.829,0.587,2.512,4.913,293.7,0.786,0.778,0.778,27.52,37.085
pga,2021,2021,BMW Championship,28,"Im, Sungjae",17488,3,3,Caves Valley Golf Club,882,66,2.175,-0.366,1.33,0.093,1.057,3.232,288.2,0.857,0.944,0.833,,33.514
pga,2021,2021,BMW Championship,28,"Im, Sungjae",17488,3,4,Caves Valley Golf Club,882,67,0.937,0.678,0.168,-0.334,0.512,1.449,289.8,0.786,0.667,0.8,,27.606
pga,2021,2021,BMW Championship,28,"McIlroy, Rory",10091,4,1,Caves Valley Golf Club,882,64,3.109,-0.534,0.812,1.83,2.108,5.217,307.4,0.929,0.833,0.625,30.373,32.766
pga,2021,2021,BMW Championship,28,"McIlroy, Rory",10091,4,2,Caves Valley Golf Club,882,70,0.308,-0.142,-1.749,1.496,-0.395,-0.087,311.0,0.786,0.778,0.5,84.113,39.944
pga,2021,2021,BMW Championship,28,"McIlroy, Rory",10091,4,3,Caves Valley Golf Club,882,65,1.761,1.753,0.705,0.013,2.471,4.232,311.3,0.5,0.889,1.0,34.754,29.578
pga,2021,2021,BMW Championship,28,"McIlroy, Rory",10091,4,4,Caves Valley Golf Club,882,67,-0.566,0.669,-0.021,1.367,2.015,1.449,307.1,0.786,0.889,0.714,68.286,27.073
pga,2021,2021,BMW Championship,28,"van Rooyen, Erik",17550,5,1,Caves Valley Golf Club,882,67,2.062,0.77,-0.116,-0.499,0.155,2.217,288.4,0.571,0.778,0.833,36.767,33.038
pga,2021,2021,BMW Championship,28,"van Rooyen, Erik",17550,5,2,Caves Valley Golf Club,882,68,-1.382,-0.383,3.164,0.514,3.295,1.913,293.4,0.786,0.833,0.667,35.307,24.678
pga,2021,2021,BMW Championship,28,"van Rooyen, Erik",17550,5,3,Caves Valley Golf Club,882,67,1.936,-1.595,1.0,0.891,0.296,2.232,298.0,0.857,0.778,0.667,56.199,36.839
pga,2021,2021,BMW Championship,28,"van Rooyen, Erik",17550,5,4,Caves Valley Golf Club,882,65,-1.149,1.222,2.485,0.891,4.598,3.449,300.0,0.786,0.944,0.75,30.87,25.265
pga,2021,2021,BMW Championship,28,"Johnson, Dustin",12422,T6,1,Caves Valley Golf Club,882,67,0.945,1.176,-0.985,1.081,1.272,2.217,310.4,0.643,0.778,0.75,58.942,32.249
pga,2021,2021,BMW Championship,28,"Johnson, Dustin",12422,T6,2,Caves Valley Golf Club,882,70,-1.929,-0.275,0.439,1.678,1.842,-0.087,305.7,0.857,0.778,0.778,21.227,39.034
pga,2021,2021,BMW Championship,28,"Johnson, Dustin",12422,T6,3,Caves Valley Golf Club,882,65,3.238,-0.1,-0.218,1.312,0.994,4.232,320.9,0.571,0.778,0.7,32.253,34.617
pga,2021,2021,BMW Championship,28,"Johnson, Dustin",12422,T6,4,Caves Valley Golf Club,882,66,3.562,0.394,-0.824,-0.683,-1.113,2.449,298.6,0.643,0.667,0.75,86.422,27.696
pga,2021,2021,BMW Championship,28,"Garcia, Sergio",5689,T6,1,Caves Valley Golf Club,882,65,1.971,0.862,0.632,0.752,2.246,4.217,299.6,0.786,0.889,0.8,33.377,29.363
pga,2021,2021,BMW Championship,28,"Garcia, Sergio",5689,T6,2,Caves Valley Golf Club,882,67,2.665,-0.759,-0.676,1.683,0.248,2.913,298.1,0.857,0.889,1.0,43.717,48.447
pga,2021,2021,BMW Championship,28,"Garcia, Sergio",5689,T6,3,Caves Valley Golf Club,882,67,0.392,-0.406,1.11,1.136,1.84,2.232,300.1,0.857,0.833,0.625,,34.603
pga,2021,2021,BMW Championship,28,"Garcia, Sergio",5689,T6,4,Caves Valley Golf Club,882,69,0.204,-0.952,0.836,-0.639,-0.755,-0.551,292.6,0.714,0.722,0.6,45.668,32.352
pga,2021,2021,BMW Championship,28,"Burns, Sam",19483,8,1,Caves Valley Golf Club,882,64,2.214,0.64,1.623,0.74,3.003,5.217,298.6,0.714,0.889,1.0,40.651,22.998
pga,2021,2021,BMW Championship,28,"Burns, Sam",19483,8,2,Caves Valley Golf Club,882,70,0.372,-0.249,-0.777,0.567,-0.459,-0.087,296.1,0.714,0.667,0.7,65.158,32.259
pga,2021,2021,BMW Championship,28,"Burns, Sam",19483,8,3,Caves Valley Golf Club,882,65,1.436,2.148,0.143,0.505,2.796,4.232,297.7,0.714,0.778,0.667,38.291,40.466
pga,2021,2021,BMW Championship,28,"Burns, Sam",19483,8,4,Caves Valley Golf Club,882,70,-0.3,-0.727,-0.99,0.466,-1.251,-1.551,302.8,0.714,0.778,0.5,83.717,30.914
pga,2021,2021,BMW Championship,28,"Noren, Alex",10419,T9,1,Caves Valley Golf Club,882,71,-1.358,0.228,-1.177,0.524,-0.425,-1.783,296.1,0.714,0.833,0.429,41.316,35.675
pga,2021,2021,BMW Championship,28,"Noren, Alex",10419,T9,2,Caves Valley Golf Club,882,66,4.134,0.463,-1.121,0.437,-0.221,3.913,288.7,0.786,0.778,0.7,74.84,44.47
pga,2021,2021,BMW Championship,28,"Noren, Alex",10419,T9,3,Caves Valley Golf Club,882,67,1.155,-0.005,1.309,-0.227,1.077,2.232,288.0,0.643,0.889,0.667,27.414,33.57
