tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Homa, Max",17538,8700,0.0985,1,3,0,0,0,102.0,30,135.0
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"McNealy, Maverick",18634,8600,0.1548,2,6,0,0,0,101.5,20,127.5
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Pereira, Mito",19455,8000,0.1753,3,0,3,0,0,90.0,18,111.0
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Leishman, Marc",7649,9500,0.0475,T4,3,0,0,0,88.0,16,107.0
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Gooch, Talor",18580,8000,0.1181,T4,0,3,0,0,85.0,16,104.0
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Matsuyama, Hideki",13562,11000,0.1089,T6,6,3,0,0,80.0,12,101.0
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Kim, Si Woo",14609,9300,0.0566,T11,9,0,0,0,84.5,6,99.5
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Pan, C.T.",15475,7500,0.0151,T6,0,6,0,0,79.5,12,97.5
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Stallings, Scott",12359,6900,0.0097,T6,0,0,0,0,85.5,12,97.5
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Augenstein, John",26211,6400,0.0005,T6,3,0,0,0,82.0,12,97.0
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Varner III, Harold",16602,9100,0.1468,T16,6,3,0,0,80.5,5,94.5
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Rodgers, Patrick",16283,7000,0.074,T6,0,6,0,0,75.5,12,93.5
pga,2021,2022,Fortinet Championship,464,draftkings,PGA TOUR $600K Fresh Start [$200K to 1st],"Knous, Jim",16382,6000,0.0002,T11,3,0,0,0,81.0,6,90.0
