bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+366,2021-09-16 09:34,19195,+402,2021-09-14 07:43,CUT,"Rahm, Jon",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+1519,2021-09-16 09:34,11049,+1491,2021-09-14 07:43,T30,"Simpson, Webb",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+1951,2021-09-16 09:34,13562,+1898,2021-09-14 07:43,T6,"Matsuyama, Hideki",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+1998,2021-09-16 09:34,7452,+1977,2021-09-14 07:43,CUT,"Na, Kevin",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+2196,2021-09-16 09:34,19428,+2617,2021-09-14 07:43,T11,"Zalatoris, Will",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+3218,2021-09-16 09:34,16602,+3135,2021-09-14 07:43,T16,"Varner III, Harold",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+3218,2021-09-16 09:34,14013,+3135,2021-09-14 07:43,T22,"Tringale, Cameron",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+3410,2021-09-16 09:34,12808,+4277,2021-09-14 07:43,CUT,"Grillo, Emiliano",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+3583,2021-09-16 09:34,5768,+3801,2021-09-14 07:43,T22,"Hoffman, Charley",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+3809,2021-09-16 09:34,23542,+4938,2021-09-14 07:43,CUT,"Champ, Cameron",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
0,loss,+3873,2021-09-16 09:34,24550,+6656,2021-09-14 07:43,CUT,"Ghim, Doug",pinnacle,2021-09-19,Fortinet Championship,win,2022,2021,464
