tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2022,Fortinet Championship,464,"Homa, Max",17538,1,1,Silverado Resort & Spa (North),552,67,2.474,0.117,0.243,1.102,1.462,3.936,296.9,0.643,0.833,0.6,13.853,34.259
pga,2021,2022,Fortinet Championship,464,"Homa, Max",17538,1,2,Silverado Resort & Spa (North),552,72,-1.27,0.161,-0.66,1.272,0.773,-0.468,303.1,0.714,0.611,0.545,55.501,39.234
pga,2021,2022,Fortinet Championship,464,"Homa, Max",17538,1,3,Silverado Resort & Spa (North),552,65,0.337,1.634,3.86,-0.445,5.049,5.386,290.3,0.571,0.778,0.714,49.073,25.731
pga,2021,2022,Fortinet Championship,464,"Homa, Max",17538,1,4,Silverado Resort & Spa (North),552,65,2.644,0.825,0.916,1.525,3.264,5.886,308.1,0.643,0.778,0.571,44.703,44.334
pga,2021,2022,Fortinet Championship,464,"McNealy, Maverick",18634,2,1,Silverado Resort & Spa (North),552,68,-0.925,1.203,0.74,1.918,3.861,2.936,316.3,0.714,0.833,0.714,59.452,26.554
pga,2021,2022,Fortinet Championship,464,"McNealy, Maverick",18634,2,2,Silverado Resort & Spa (North),552,64,2.302,3.948,0.988,0.265,5.201,7.532,297.0,0.5,0.722,0.625,17.198,33.38
pga,2021,2022,Fortinet Championship,464,"McNealy, Maverick",18634,2,3,Silverado Resort & Spa (North),552,70,2.106,-2.566,0.151,0.695,-1.72,0.386,303.0,0.643,0.778,0.375,36.069,28.752
pga,2021,2022,Fortinet Championship,464,"McNealy, Maverick",18634,2,4,Silverado Resort & Spa (North),552,68,-0.174,0.835,-0.233,0.764,1.503,2.886,298.3,0.571,0.722,0.818,45.206,28.855
pga,2021,2022,Fortinet Championship,464,"Pereira, Mito",19455,3,1,Silverado Resort & Spa (North),552,67,-0.1,1.568,1.772,0.696,4.036,3.936,291.3,0.643,0.944,0.714,31.972,28.806
pga,2021,2022,Fortinet Championship,464,"Pereira, Mito",19455,3,2,Silverado Resort & Spa (North),552,67,1.199,0.274,1.693,1.337,3.304,4.532,300.5,0.643,0.833,0.5,38.963,25.258
pga,2021,2022,Fortinet Championship,464,"Pereira, Mito",19455,3,3,Silverado Resort & Spa (North),552,70,-0.91,-0.132,2.42,-0.992,1.296,0.386,288.5,0.714,0.833,0.714,37.274,30.06
pga,2021,2022,Fortinet Championship,464,"Pereira, Mito",19455,3,4,Silverado Resort & Spa (North),552,68,0.225,0.896,0.362,1.427,2.683,2.886,300.6,0.714,0.778,0.714,53.23,32.435
pga,2021,2022,Fortinet Championship,464,"Leishman, Marc",7649,T4,1,Silverado Resort & Spa (North),552,69,0.971,1.706,-0.837,0.096,0.965,1.936,288.2,0.5,0.722,0.857,35.229,22.196
pga,2021,2022,Fortinet Championship,464,"Leishman, Marc",7649,T4,2,Silverado Resort & Spa (North),552,71,1.783,-0.403,1.899,-2.776,-1.28,0.532,289.7,0.357,0.611,0.6,55.336,29.986
pga,2021,2022,Fortinet Championship,464,"Leishman, Marc",7649,T4,3,Silverado Resort & Spa (North),552,68,1.882,-0.672,0.654,0.522,0.504,2.386,284.3,0.714,0.889,0.667,28.709,27.088
pga,2021,2022,Fortinet Championship,464,"Leishman, Marc",7649,T4,4,Silverado Resort & Spa (North),552,65,2.47,0.266,3.337,-0.163,3.438,5.886,287.3,0.5,0.944,0.5,52.948,24.244
pga,2021,2022,Fortinet Championship,464,"Gooch, Talor",18580,T4,1,Silverado Resort & Spa (North),552,69,-0.993,2.845,-0.875,0.959,2.929,1.936,287.5,0.714,0.778,0.857,89.024,31.677
pga,2021,2022,Fortinet Championship,464,"Gooch, Talor",18580,T4,2,Silverado Resort & Spa (North),552,70,0.118,0.397,0.415,0.573,1.385,1.532,294.8,0.571,0.611,0.7,48.637,25.421
pga,2021,2022,Fortinet Championship,464,"Gooch, Talor",18580,T4,3,Silverado Resort & Spa (North),552,66,1.947,1.908,0.85,-0.319,2.439,4.386,288.1,0.571,0.667,0.889,41.842,28.127
pga,2021,2022,Fortinet Championship,464,"Gooch, Talor",18580,T4,4,Silverado Resort & Spa (North),552,68,0.808,0.391,2.218,-0.507,2.1,2.886,298.2,0.643,0.722,0.857,14.543,34.213
pga,2021,2022,Fortinet Championship,464,"Augenstein, John",26211,T6,1,Silverado Resort & Spa (North),552,68,0.05,-0.207,2.587,0.506,2.886,2.936,285.8,0.571,0.722,0.667,25.291,26.305
pga,2021,2022,Fortinet Championship,464,"Augenstein, John",26211,T6,2,Silverado Resort & Spa (North),552,69,0.423,0.721,1.589,-0.23,2.08,2.532,290.1,0.429,0.722,0.375,47.158,24.541
pga,2021,2022,Fortinet Championship,464,"Augenstein, John",26211,T6,3,Silverado Resort & Spa (North),552,70,-1.518,-0.098,1.51,0.492,1.904,0.386,295.7,0.714,0.833,0.625,48.151,21.692
pga,2021,2022,Fortinet Championship,464,"Augenstein, John",26211,T6,4,Silverado Resort & Spa (North),552,68,1.801,1.02,0.487,-0.398,1.107,2.886,295.9,0.429,0.833,0.75,43.45,23.585
pga,2021,2022,Fortinet Championship,464,"Pan, C.T.",15475,T6,1,Silverado Resort & Spa (North),552,71,0.618,-2.056,1.494,-0.12,-0.682,-0.064,297.3,0.5,0.778,0.5,53.996,20.897
pga,2021,2022,Fortinet Championship,464,"Pan, C.T.",15475,T6,2,Silverado Resort & Spa (North),552,68,1.517,0.163,2.06,-0.237,1.986,3.532,299.2,0.429,0.833,0.8,42.855,24.501
