bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
1,paid in full,+1471,2021-09-29 21:48,19483,+1442,2021-09-28 07:54,1,"Burns, Sam",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+1766,2021-09-29 21:48,5689,+1732,2021-09-28 07:54,CUT,"Garcia, Sergio",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+1766,2021-09-29 21:48,17488,+1732,2021-09-28 07:54,T31,"Im, Sungjae",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+1794,2021-09-29 21:48,19428,+1758,2021-09-28 07:54,T14,"Zalatoris, Will",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+1963,2021-09-29 21:48,17576,+1925,2021-09-28 07:54,T17,"Conners, Corey",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+2221,2021-09-29 21:48,19455,+3904,2021-09-28 07:54,T31,"Pereira, Mito",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+2752,2021-09-29 21:48,5768,+2697,2021-09-28 07:54,T39,"Hoffman, Charley",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+2948,2021-09-29 21:48,14013,+2889,2021-09-28 07:54,T11,"Tringale, Cameron",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+3242,2021-09-29 21:48,13872,+3179,2021-09-28 07:54,CUT,"Bradley, Keegan",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+3435,2021-09-29 21:48,16602,+3371,2021-09-28 07:54,T11,"Varner III, Harold",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+3651,2021-09-29 21:48,21944,+7829,2021-09-28 07:54,T17,"Moore, Taylor",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+3725,2021-09-29 21:48,14609,+3656,2021-09-28 07:54,T8,"Kim, Si Woo",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+3929,2021-09-29 21:48,10104,+3853,2021-09-28 07:54,CUT,"Power, Seamus",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+3929,2021-09-29 21:48,8480,+3853,2021-09-28 07:54,T31,"Streelman, Kevin",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+4080,2021-09-29 21:48,17786,+4001,2021-09-28 07:54,CUT,"Davis, Cameron",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+4419,2021-09-29 21:48,14735,+4336,2021-09-28 07:54,CUT,"Ortiz, Carlos",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
0,loss,+4597,2021-09-29 21:48,25919,+6251,2021-09-28 07:54,T17,"Wolff, Matthew",pinnacle,2021-10-03,Sanderson Farms Championship,win,2022,2021,54
