tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2022,Sanderson Farms Championship,54,"Burns, Sam",19483,1,1,Country Club of Jackson,746,68,0.249,-1.316,2.31,1.361,2.355,2.604,301.2,0.786,0.833,0.429,20.115,33.929
pga,2021,2022,Sanderson Farms Championship,54,"Burns, Sam",19483,1,2,Country Club of Jackson,746,66,-2.097,0.71,3.218,1.878,5.805,3.708,308.9,0.857,0.944,0.667,,15.204
pga,2021,2022,Sanderson Farms Championship,54,"Burns, Sam",19483,1,3,Country Club of Jackson,746,65,0.438,0.02,1.714,1.937,3.664,4.103,308.7,0.857,1.0,0.667,69.829,28.51
pga,2021,2022,Sanderson Farms Championship,54,"Burns, Sam",19483,1,4,Country Club of Jackson,746,67,-0.571,0.958,1.037,0.993,2.987,2.426,310.0,0.714,0.833,0.667,57.211,28.307
pga,2021,2022,Sanderson Farms Championship,54,"Watney, Nick",7955,T2,1,Country Club of Jackson,746,65,3.795,0.232,0.603,0.974,1.809,5.604,300.4,0.714,0.833,0.8,33.914,37.956
pga,2021,2022,Sanderson Farms Championship,54,"Watney, Nick",7955,T2,2,Country Club of Jackson,746,66,2.353,0.405,1.8,-0.849,1.355,3.708,302.0,0.429,0.889,0.8,43.539,35.494
pga,2021,2022,Sanderson Farms Championship,54,"Watney, Nick",7955,T2,3,Country Club of Jackson,746,71,0.371,-0.824,-1.489,-0.142,-2.224,-1.897,301.2,0.643,0.611,0.636,51.904,38.609
pga,2021,2022,Sanderson Farms Championship,54,"Watney, Nick",7955,T2,4,Country Club of Jackson,746,65,5.035,-0.918,-0.713,1.013,-0.619,4.426,299.9,0.786,0.889,1.0,,34.825
pga,2021,2022,Sanderson Farms Championship,54,"Young, Cameron",26651,T2,1,Country Club of Jackson,746,67,1.333,0.004,0.817,1.45,2.271,3.604,307.9,0.786,0.722,0.714,75.368,33.694
pga,2021,2022,Sanderson Farms Championship,54,"Young, Cameron",26651,T2,2,Country Club of Jackson,746,65,1.268,0.618,1.244,1.579,3.44,4.708,314.3,0.5,0.667,0.75,36.581,28.379
pga,2021,2022,Sanderson Farms Championship,54,"Young, Cameron",26651,T2,3,Country Club of Jackson,746,67,1.003,0.258,0.135,0.713,1.099,2.103,319.2,0.357,0.611,0.636,30.988,28.409
pga,2021,2022,Sanderson Farms Championship,54,"Young, Cameron",26651,T2,4,Country Club of Jackson,746,68,1.752,1.413,-1.068,-0.68,-0.336,1.426,320.4,0.5,0.722,1.0,56.338,28.105
pga,2021,2022,Sanderson Farms Championship,54,"Landry, Andrew",14000,T4,1,Country Club of Jackson,746,68,1.445,0.261,0.173,0.725,1.159,2.604,279.1,1.0,0.833,0.5,32.251,27.795
pga,2021,2022,Sanderson Farms Championship,54,"Landry, Andrew",14000,T4,2,Country Club of Jackson,746,68,1.705,0.459,-0.072,-0.383,0.003,1.708,285.0,0.786,0.611,0.8,59.59,29.654
pga,2021,2022,Sanderson Farms Championship,54,"Landry, Andrew",14000,T4,3,Country Club of Jackson,746,66,2.07,-0.11,0.458,0.691,1.032,3.103,292.1,0.786,0.944,0.667,33.8,30.191
pga,2021,2022,Sanderson Farms Championship,54,"Landry, Andrew",14000,T4,4,Country Club of Jackson,746,66,0.509,-0.277,2.924,0.261,2.907,3.426,296.8,0.786,0.833,0.5,62.472,23.273
pga,2021,2022,Sanderson Farms Championship,54,"Norlander, Henrik",11657,T4,1,Country Club of Jackson,746,68,0.363,0.501,2.54,-0.8,2.241,2.604,274.5,0.571,0.778,0.667,67.376,19.123
pga,2021,2022,Sanderson Farms Championship,54,"Norlander, Henrik",11657,T4,2,Country Club of Jackson,746,66,1.183,0.823,2.308,-0.605,2.525,3.708,285.1,0.643,0.833,1.0,43.191,20.451
pga,2021,2022,Sanderson Farms Championship,54,"Norlander, Henrik",11657,T4,3,Country Club of Jackson,746,70,-3.362,0.876,2.035,-0.44,2.464,-0.897,290.3,0.571,0.833,0.75,33.066,27.661
pga,2021,2022,Sanderson Farms Championship,54,"Norlander, Henrik",11657,T4,4,Country Club of Jackson,746,64,3.898,0.544,1.508,-0.533,1.518,5.426,289.0,0.643,0.833,1.0,35.598,23.183
pga,2021,2022,Sanderson Farms Championship,54,"Mullinax, Trey",18761,T4,1,Country Club of Jackson,746,70,-0.434,-1.416,0.556,1.898,1.038,0.604,312.4,0.857,0.667,0.778,52.532,27.678
pga,2021,2022,Sanderson Farms Championship,54,"Mullinax, Trey",18761,T4,2,Country Club of Jackson,746,66,2.436,-1.657,0.703,2.227,1.272,3.708,321.5,0.714,0.778,0.625,59.462,29.433
pga,2021,2022,Sanderson Farms Championship,54,"Mullinax, Trey",18761,T4,3,Country Club of Jackson,746,64,2.689,-0.621,2.586,0.455,2.413,5.103,314.6,0.357,0.944,1.0,30.767,33.843
pga,2021,2022,Sanderson Farms Championship,54,"Mullinax, Trey",18761,T4,4,Country Club of Jackson,746,68,0.815,0.726,-1.306,1.182,0.601,1.426,315.8,0.643,0.667,0.8,54.119,35.417
pga,2021,2022,Sanderson Farms Championship,54,"Buckley, Hayden",25363,T4,1,Country Club of Jackson,746,67,2.848,-0.242,0.511,0.487,0.756,3.604,284.1,0.786,0.778,0.4,48.014,35.919
pga,2021,2022,Sanderson Farms Championship,54,"Buckley, Hayden",25363,T4,2,Country Club of Jackson,746,65,2.757,0.811,-0.275,1.416,1.951,4.708,301.7,0.857,0.833,1.0,,32.704
pga,2021,2022,Sanderson Farms Championship,54,"Buckley, Hayden",25363,T4,3,Country Club of Jackson,746,70,-1.329,-0.367,0.136,0.669,0.431,-0.897,301.9,0.643,0.833,0.5,43.665,31.325
pga,2021,2022,Sanderson Farms Championship,54,"Buckley, Hayden",25363,T4,4,Country Club of Jackson,746,66,0.805,1.459,0.582,0.571,2.611,3.426,297.0,0.714,0.833,1.0,42.448,30.063
