date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Oct 3, 2021","Sanderson Farms Championship","Burns, Sam",0.745525,0.026875,0.51055,0.40215,0.258375,0.15995,0.109575,0.0447,1
"Oct 3, 2021","Sanderson Farms Championship","Garcia, Sergio",0.760975,0.019975,0.5227,0.413425,0.264475,0.16055,0.107875,0.0443,CUT
"Oct 3, 2021","Sanderson Farms Championship","Zalatoris, Will",0.7607,0.0207,0.521075,0.41200000000000003,0.259975,0.15825,0.1056,0.041225,T14
"Oct 3, 2021","Sanderson Farms Championship","Conners, Corey",0.757775,0.02415,0.520225,0.4061,0.256125,0.1528,0.102025,0.041175,T17
"Oct 3, 2021","Sanderson Farms Championship","Im, Sungjae",0.72545,0.02125,0.475925,0.364625,0.22255,0.131075,0.086425,0.03395,T31
"Oct 3, 2021","Sanderson Farms Championship","Hoffman, Charley",0.711375,0.0163,0.449875,0.343325,0.2072,0.120525,0.079775,0.0312,T39
"Oct 3, 2021","Sanderson Farms Championship","Tringale, Cameron",0.70075,0.013075,0.4257,0.315575,0.1823,0.10075,0.062475,0.022075,T11
"Oct 3, 2021","Sanderson Farms Championship","Kim, Si Woo",0.660575,0.014075,0.3686,0.268625,0.15225,0.0843,0.0536,0.02055,T8
"Oct 3, 2021","Sanderson Farms Championship","Bradley, Keegan",0.673125,0.0119,0.389,0.28425,0.158275,0.0872,0.053825,0.01895,CUT
"Oct 3, 2021","Sanderson Farms Championship","Pendrith, Taylor",0.664475,0.01205,0.371675,0.2678,0.15005,0.080025,0.0493,0.017775,T39
"Oct 3, 2021","Sanderson Farms Championship","Wise, Aaron",0.66085,0.011625,0.370375,0.268525,0.1488,0.080175,0.04955,0.017175,T26
"Oct 3, 2021","Sanderson Farms Championship","Power, Seamus",0.642125,0.0139,0.354875,0.2558,0.14155,0.07605,0.0481,0.017075,CUT
"Oct 3, 2021","Sanderson Farms Championship","Varner III, Harold",0.66925,0.012175,0.3795,0.277075,0.152275,0.0806,0.050425,0.017025,T11
"Oct 3, 2021","Sanderson Farms Championship","Ortiz, Carlos",0.652825,0.01505,0.366675,0.263875,0.1493,0.080125,0.0505,0.01645,CUT
"Oct 3, 2021","Sanderson Farms Championship","Davis, Cameron",0.643625,0.013925,0.35155,0.253175,0.1429,0.076775,0.0475,0.016325,CUT
"Oct 3, 2021","Sanderson Farms Championship","Kizzire, Patton",0.63725,0.014475,0.3422,0.244775,0.13125,0.0692,0.04295,0.0151,CUT
"Oct 3, 2021","Sanderson Farms Championship","Pereira, Mito",0.645375,0.010325,0.35075,0.2475,0.134425,0.07005,0.04405,0.014675,T31
