tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2022,Shriners Children's Open,47,"Im, Sungjae",17488,1,1,TPC Summerlin,538,63,1.329,0.25,2.6,1.194,4.042,5.368,305.6,0.857,0.889,1.0,55.083,21.769
pga,2021,2022,Shriners Children's Open,47,"Im, Sungjae",17488,1,2,TPC Summerlin,538,65,2.373,0.719,0.679,0.413,1.811,4.184,304.0,0.714,0.944,1.0,42.502,25.243
pga,2021,2022,Shriners Children's Open,47,"Im, Sungjae",17488,1,3,TPC Summerlin,538,70,-1.079,0.488,-0.797,0.992,0.682,-0.397,308.3,0.786,0.833,0.714,,34.291
pga,2021,2022,Shriners Children's Open,47,"Im, Sungjae",17488,1,4,TPC Summerlin,538,62,2.894,1.037,2.945,-0.029,3.953,6.847,311.5,0.571,0.944,0.8,18.166,30.721
pga,2021,2022,Shriners Children's Open,47,"Wolff, Matthew",25919,2,1,TPC Summerlin,538,64,0.639,-0.105,2.498,1.341,3.732,4.368,315.5,0.714,1.0,0.8,23.325,20.176
pga,2021,2022,Shriners Children's Open,47,"Wolff, Matthew",25919,2,2,TPC Summerlin,538,67,1.742,-0.083,0.903,-0.378,0.442,2.184,296.4,0.714,0.778,0.571,67.269,29.21
pga,2021,2022,Shriners Children's Open,47,"Wolff, Matthew",25919,2,3,TPC Summerlin,538,65,1.049,2.264,0.071,1.22,3.554,4.603,310.4,0.786,0.722,1.0,52.451,34.823
pga,2021,2022,Shriners Children's Open,47,"Wolff, Matthew",25919,2,4,TPC Summerlin,538,68,3.455,0.194,0.388,-3.19,-2.608,0.847,297.6,0.286,0.611,1.0,33.514,33.62
pga,2021,2022,Shriners Children's Open,47,"Sabbatini, Rory",6283,T3,1,TPC Summerlin,538,65,2.25,-0.432,1.225,0.33,1.121,3.368,298.3,0.786,0.778,0.714,18.616,31.473
pga,2021,2022,Shriners Children's Open,47,"Sabbatini, Rory",6283,T3,2,TPC Summerlin,538,66,1.189,0.505,0.739,0.751,1.995,3.184,294.4,0.786,0.833,0.75,40.663,30.573
