tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"McIlroy, Rory",10091,10100,0.1087,1,3,6,0,5,115.0,30,159.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Morikawa, Collin",22085,10800,0.2131,2,9,6,0,0,110.5,20,145.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Mitchell, Keith",17365,6200,0.0166,T3,3,3,0,0,106.5,18,130.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Wise, Aaron",22051,7400,0.203,T5,6,6,0,5,98.5,14,129.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Fowler, Rickie",12965,6400,0.0514,T3,6,6,0,0,97.5,18,127.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Scott, Adam",6430,8100,0.0802,T5,6,3,0,5,99.5,14,127.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Gooch, Talor",18580,7200,0.1909,T5,6,3,0,0,104.0,14,127.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Burns, Sam",19483,9800,0.1621,T5,9,0,0,5,98.0,14,126.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Im, Sungjae",17488,9500,0.1161,T9,6,0,0,5,103.0,8,122.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Woodland, Gary",12577,6800,0.0314,T9,3,0,0,5,103.5,8,119.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Ancer, Abraham",18238,9100,0.0623,T14,3,3,0,0,107.0,6,119.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Thomas, Justin",14139,11100,0.137,T18,9,0,0,0,104.5,5,118.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Simpson, Webb",11049,8700,0.0789,T14,9,0,0,5,96.5,6,116.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Streb, Robert",14852,6100,0.0046,T9,6,0,0,0,100.5,8,114.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Kirk, Chris",12423,6400,0.052,T14,0,3,0,5,97.5,6,111.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Vegas, Jhonattan",13508,6300,0.163,T14,3,0,0,5,95.0,6,109.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Smith, Cameron",15856,9200,0.1629,T9,0,0,0,5,95.0,8,108.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Hatton, Tyrrell",14796,8400,0.1342,T18,3,3,0,0,97.0,5,108.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Ortiz, Carlos",14735,6200,0.0367,T25,9,0,0,0,94.0,4,107.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Schauffele, Xander",19895,10600,0.215,T18,6,0,0,5,90.0,5,106.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Grillo, Emiliano",12808,6700,0.0516,T18,3,6,0,0,90.5,5,104.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Henley, Russell",14578,7100,0.1366,T25,6,0,0,5,89.0,4,104.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Spieth, Jordan",14636,10300,0.0807,T18,6,0,0,0,92.5,5,103.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Higgs, Harry",14140,6100,0.0266,T9,0,3,0,0,92.0,8,103.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Lee, K.H.",13497,6200,0.0698,T25,3,3,0,0,90.5,4,100.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Hughes, Mackenzie",15556,6100,0.0418,T25,0,3,0,0,93.5,4,100.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Leishman, Marc",7649,8600,0.1291,T38,6,0,0,0,92.0,2,100.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Garcia, Sergio",5689,7500,0.0872,T25,3,3,0,0,90.0,4,100.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Swafford, Hudson",14706,6000,0.0206,T32,3,3,0,5,85.0,2,98.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Hoge, Tom",15575,6300,0.0213,T32,3,0,0,0,93.0,2,98.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Casey, Paul",7108,8200,0.1177,T25,0,0,0,0,94.0,4,98.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Scheffler, Scottie",18417,9000,0.1379,T38,3,3,0,0,89.5,2,97.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Kang, Sung",7881,6100,0.0226,T32,3,3,0,0,89.5,2,97.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Poulter, Ian",1435,6900,0.0269,T18,0,3,0,0,88.5,5,96.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Hovland, Viktor",18841,9900,0.1987,T18,0,3,0,0,88.5,5,96.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"van Rooyen, Erik",17550,6700,0.0357,T25,3,3,0,0,86.0,4,96.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Johnson, Dustin",12422,11300,0.1389,T45,0,0,0,0,94.0,1,95.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Koepka, Brooks",16243,9700,0.0693,T38,0,0,0,0,93.0,2,95.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"McNealy, Maverick",18634,7300,0.1425,T38,0,0,0,0,92.5,2,94.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Kim, Seonghyeon",21688,6000,0.0011,T32,3,3,0,0,86.5,2,94.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Bradley, Keegan",13872,6900,0.0353,T32,3,0,0,0,88.5,2,93.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Day, Jason",9771,7000,0.0321,T64,3,0,0,0,90.0,0,93.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Varner III, Harold",16602,7300,0.1088,T32,3,3,0,0,85.0,2,93.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Kokrak, Jason",12337,8500,0.087,T54,3,3,0,0,85.5,0,91.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Finau, Tony",11676,9600,0.1529,T45,0,6,0,0,84.5,1,91.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Glover, Lucas",7399,6000,0.0293,T45,6,0,0,0,84.5,1,91.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Jones, Matt",8605,6300,0.0319,T38,0,0,0,0,89.0,2,91.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Munoz, Sebastian",20770,6100,0.0317,T49,3,3,0,0,83.5,1,90.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Oosthuizen, Louis",7672,9300,0.1723,T38,0,6,0,0,82.0,2,90.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"An, Byeong Hun",14459,6300,0.0085,T59,6,0,0,0,83.5,0,89.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Fleetwood, Tommy",12294,8800,0.0641,T38,0,6,0,0,81.0,2,89.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Rose, Justin",6093,7900,0.0956,T57,3,0,0,0,85.0,0,88.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Streelman, Kevin",8480,6800,0.0554,T49,3,3,0,0,80.5,1,87.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Niemann, Joaquin",18079,7400,0.1893,T45,0,0,0,0,86.0,1,87.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Cink, Stewart",5665,6500,0.0106,T49,0,3,0,0,83.0,1,87.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Na, Kevin",7452,7800,0.06,T49,0,0,0,0,85.5,1,86.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Davis, Cam",17786,6400,0.1192,T64,0,0,0,0,86.0,0,86.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Tringale, Cameron",14013,7000,0.136,T59,3,3,0,0,80.0,0,86.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Lowry, Shane",13900,8300,0.0789,T54,3,3,0,0,78.5,0,84.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Kim, Joohyung",24766,6100,0.006,T49,0,0,0,0,82.0,1,83.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Lee, Jaekyeong",19047,6000,0.0015,T68,3,0,0,0,78.0,0,81.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Shin, Sanghun",23719,6000,0.0004,T64,3,0,0,0,77.5,0,80.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Kisner, Kevin",11328,6200,0.0168,T54,0,3,0,0,76.0,0,79.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Kim, Hanbyeol",18484,6000,0.0014,75,0,0,0,0,78.5,0,78.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Kim, Minkyu",20780,6000,0.0007,T57,0,0,0,0,77.5,0,77.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Seo, Yoseop",20841,6000,0.0006,T72,3,0,0,0,73.5,0,76.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Grace, Branden",11952,6500,0.0286,T68,0,0,0,0,76.0,0,76.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Reed, Patrick",14838,8000,0.0416,T68,3,0,0,0,72.5,0,75.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Hojgaard, Rasmus",23838,6100,0.0147,63,0,0,0,0,75.5,0,75.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Matsuyama, Hideki",13562,9400,0.079,T59,0,3,0,0,71.5,0,74.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Kizzire, Patton",13470,6600,0.0224,T64,3,0,0,0,71.0,0,74.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Homa, Max",17538,7700,0.1193,T72,0,3,0,0,69.5,0,72.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Noren, Alex",10419,7100,0.0991,T59,0,0,0,0,71.5,0,71.5
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Hoffman, Charley",5768,7200,0.1082,T68,0,0,0,0,70.0,0,70.0
pga,2021,2022,THE CJ CUP @ SUMMIT,521,draftkings,PGA TOUR $400K Flop Shot [$100K to 1st],"Harman, Brian",8825,6600,0.049,T72,0,3,0,0,65.0,0,68.0
