bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1184,2021-10-14 09:59,12422,+1420,2021-10-11 19:32,T45,"Johnson, Dustin",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+1339,2021-10-14 09:59,14139,+1296,2021-10-11 19:32,T18,"Thomas, Justin",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+1364,2021-10-14 09:59,19895,+1420,2021-10-11 19:32,T18,"Schauffele, Xander",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+1504,2021-10-14 09:59,22085,+1653,2021-10-11 19:32,2,"Morikawa, Collin",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+1715,2021-10-14 09:59,18841,+2254,2021-10-11 19:32,T18,"Hovland, Viktor",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
1,paid in full,+1716,2021-10-14 09:59,10091,+1656,2021-10-11 19:32,1,"McIlroy, Rory",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+1958,2021-10-14 09:59,18417,+2706,2021-10-11 19:32,T38,"Scheffler, Scottie",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+1962,2021-10-14 09:59,7672,+2706,2021-10-11 19:32,T38,"Oosthuizen, Louis",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+2326,2021-10-14 09:59,14636,+2249,2021-10-11 19:32,T18,"Spieth, Jordan",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+2331,2021-10-14 09:59,17488,+2254,2021-10-11 19:32,T9,"Im, Sungjae",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+2331,2021-10-14 09:59,19483,+2254,2021-10-11 19:32,T5,"Burns, Sam",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+2442,2021-10-14 09:59,15856,+2706,2021-10-11 19:32,T9,"Smith, Cameron",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+2478,2021-10-14 09:59,11676,+2395,2021-10-11 19:32,T45,"Finau, Tony",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+2610,2021-10-14 09:59,16243,+2525,2021-10-11 19:32,T38,"Koepka, Brooks",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+2717,2021-10-14 09:59,14796,+3611,2021-10-11 19:32,T18,"Hatton, Tyrrell",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+2790,2021-10-14 09:59,7108,+4064,2021-10-11 19:32,T25,"Casey, Paul",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+3077,2021-10-14 09:59,13562,+2978,2021-10-11 19:32,T59,"Matsuyama, Hideki",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+3187,2021-10-14 09:59,5689,+4517,2021-10-11 19:32,T25,"Garcia, Sergio",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+3268,2021-10-14 09:59,18238,+3159,2021-10-11 19:32,T14,"Ancer, Abraham",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
0,loss,+3268,2021-10-14 09:59,14577,+3159,2021-10-11 19:32,WD,"English, Harris",pinnacle,2021-10-17,THE CJ CUP @ SUMMIT,win,2022,2021,521
