tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Matsuyama, Hideki",13562,10300,0.2781,1,0,3,0,5,86.0,30,124.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Steele, Brendan",11019,7100,0.0573,T2,0,0,0,0,79.0,20,99.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Tringale, Cameron",14013,9200,0.1082,T2,0,0,0,5,71.5,20,96.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Munoz, Sebastian",20770,7300,0.0965,T4,3,0,0,0,71.5,16,90.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Wallace, Matt",20706,8000,0.0632,T4,3,0,0,0,67.5,16,86.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Fleetwood, Tommy",12294,10000,0.1031,T7,0,0,0,0,72.0,10,82.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Hughes, Mackenzie",15556,9000,0.0535,T4,0,0,0,0,66.0,16,82.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Ryder, Sam",16715,6700,0.0369,T7,0,0,0,0,69.5,10,79.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Morikawa, Collin",22085,11200,0.2905,T7,0,0,0,0,68.0,10,78.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"List, Luke",7960,7900,0.1052,T7,0,0,0,0,68.0,10,78.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Grace, Branden",11952,7600,0.07,T7,0,3,0,0,64.0,10,77.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Bradley, Keegan",13872,9400,0.0743,T7,3,0,0,0,63.5,10,76.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Kanaya, Takumi",19729,7200,0.1845,T7,3,3,0,0,60.5,10,76.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Griffin, Lanto",15330,8400,0.0753,T7,0,3,0,0,62.5,10,75.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Norlander, Henrik",11657,7400,0.1581,T18,3,0,0,0,63.0,5,71.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Hoge, Tom",15575,7000,0.1233,17,3,3,0,0,60.0,5,71.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Kim, Chan",15004,6500,0.0354,T15,0,0,0,0,65.0,6,71.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Lee, K.H.",13497,8700,0.0938,T18,0,3,0,0,61.5,5,69.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Iwata, Hiroshi",9099,6100,0.0024,T18,3,0,0,0,61.5,5,69.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Nakanishi, Naoto",11089,6000,0.0001,T28,3,0,0,0,62.5,3,68.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Niemann, Joaquin",18079,9900,0.138,T28,0,3,0,0,62.5,3,68.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Hahn, James",11374,6300,0.0193,T15,0,3,0,0,57.0,6,66.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Imahira, Shugo",13485,6500,0.0176,T18,0,0,0,0,61.0,5,66.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Long, Adam",15473,6300,0.023,T25,0,0,0,0,58.5,4,62.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Clark, Wyndham",23604,6400,0.0503,T25,0,0,0,0,58.0,4,62.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Schenk, Adam",19477,8200,0.1046,T28,3,0,0,0,56.0,3,62.0
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Noren, Alex",10419,9700,0.0585,T18,0,0,0,0,56.5,5,61.5
pga,2021,2022,ZOZO CHAMPIONSHIP,527,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Hoffman, Charley",5768,8500,0.1287,T28,0,0,0,0,58.0,3,61.0
