bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+643,2021-10-20 13:45,22085,+625,2021-10-18 16:45,T7,"Morikawa, Collin",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+730,2021-10-20 13:45,19895,+709,2021-10-18 16:45,T28,"Schauffele, Xander",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
1,paid in full,+1245,2021-10-20 13:45,13562,+1549,2021-10-18 16:45,1,"Matsuyama, Hideki",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+1383,2021-10-20 13:45,19428,+1570,2021-10-18 16:45,T54,"Zalatoris, Will",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+1906,2021-10-20 13:45,18079,+2453,2021-10-18 16:45,T28,"Niemann, Joaquin",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+2088,2021-10-20 13:45,13508,+3437,2021-10-18 16:45,T54,"Vegas, Jhonattan",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+2218,2021-10-20 13:45,12294,+2160,2021-10-18 16:45,T7,"Fleetwood, Tommy",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+2432,2021-10-20 13:45,10419,+3239,2021-10-18 16:45,T18,"Noren, Alex",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+2582,2021-10-20 13:45,13872,+3437,2021-10-18 16:45,T7,"Bradley, Keegan",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+2865,2021-10-20 13:45,12965,+2789,2021-10-18 16:45,T44,"Fowler, Rickie",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+2957,2021-10-20 13:45,18634,+3928,2021-10-18 16:45,T25,"McNealy, Maverick",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+3258,2021-10-20 13:45,5768,+3928,2021-10-18 16:45,T28,"Hoffman, Charley",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+3325,2021-10-20 13:45,14013,+3239,2021-10-18 16:45,T2,"Tringale, Cameron",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+3528,2021-10-20 13:45,17550,+3437,2021-10-18 16:45,T48,"Van Rooyen, Erik",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+3704,2021-10-20 13:45,12423,+4911,2021-10-18 16:45,T48,"Kirk, Chris",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+3996,2021-10-20 13:45,14609,+3893,2021-10-18 16:45,T18,"Kim, Si Woo",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
0,loss,+4031,2021-10-20 13:45,12808,+3928,2021-10-18 16:45,73,"Grillo, Emiliano",pinnacle,2021-10-24,ZOZO CHAMPIONSHIP,win,2022,2021,527
