date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Schauffele, Xander",1,0.050475,0.813625,0.6919,0.49075,0.321725,0.229775,0.1004,T28
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Morikawa, Collin",1,0.034975,0.73445,0.589175,0.375025,0.22735,0.1509,0.05925,T7
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Zalatoris, Will",1,0.03475,0.7182,0.56855,0.3586,0.2142,0.14085,0.0558,T54
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Matsuyama, Hideki",1,0.035725,0.712475,0.561675,0.35200000000000004,0.2121,0.1419,0.055175,1
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Niemann, Joaquin",1,0.0298,0.70965,0.552725,0.33485,0.19335,0.1251,0.046675,T28
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Vegas, Jhonattan",1,0.028775,0.67375,0.5162,0.3025,0.1708,0.109275,0.039025,T54
"Oct 24, 2021","ZOZO CHAMPIONSHIP","McNealy, Maverick",1,0.0267,0.64215,0.481725,0.27845,0.1537,0.096175,0.03525,T25
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Fleetwood, Tommy",1,0.025425,0.641075,0.4797,0.2739,0.151125,0.095175,0.032875,T7
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Noren, Alex",1,0.023125,0.610325,0.448675,0.251,0.13305,0.082375,0.027225,T18
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Hoffman, Charley",1,0.023525,0.593275,0.432375,0.2374,0.124075,0.075325,0.025525,T28
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Bradley, Keegan",1,0.0209,0.60205,0.4374,0.239975,0.12495,0.07615,0.025125,T7
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Tringale, Cameron",1,0.020125,0.612225,0.4453,0.244875,0.12575,0.075975,0.024625,T2
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Van Rooyen, Erik",1,0.020725,0.5796,0.417225,0.22525,0.11735,0.0703,0.02445,T48
"Oct 24, 2021","ZOZO CHAMPIONSHIP","List, Luke",1,0.020475,0.577575,0.412775,0.2193,0.113775,0.06695,0.022925,T7
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Ortiz, Carlos",1,0.02105,0.561925,0.399775,0.21175,0.1074,0.064325,0.019825,WD
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Fowler, Rickie",1,0.01925,0.53905,0.37775,0.196375,0.097775,0.05825,0.01915,T44
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Grillo, Emiliano",1,0.019075,0.548425,0.387,0.202425,0.1025,0.060525,0.0191,73
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Kim, Si Woo",1,0.01925,0.5366,0.375425,0.1946,0.096825,0.056525,0.018775,T18
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Lee, Kyounghoon",1,0.01865,0.531375,0.368525,0.190075,0.094425,0.055999999999999994,0.017775,T18
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Palmer, Ryan",1,0.01925,0.525475,0.367875,0.1893,0.095325,0.0566,0.017475,T44
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Jones, Matt",1,0.01725,0.534225,0.371425,0.1876,0.092175,0.0538,0.0172,T18
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Kirk, Chris",1,0.0173,0.5254,0.362125,0.1827,0.090375,0.0524,0.01655,T48
"Oct 24, 2021","ZOZO CHAMPIONSHIP","Pan, C.T.",1,0.015075,0.50935,0.3457,0.172875,0.0814,0.04775,0.0145,T57
