tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Lee, Danny",11826,6700,0.0173,T2,12,0,0,0,92.5,20,124.5
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Reed, Patrick",14838,10400,0.1518,T2,3,0,0,5,90.0,20,118.0
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Herbert, Lucas",17064,7700,0.0655,1,3,0,0,0,85.0,30,118.0
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Pendrith, Taylor",17780,9100,0.1022,T5,6,0,0,0,88.0,14,108.0
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Stallings, Scott",12359,8600,0.0729,T5,0,3,0,0,85.5,14,102.5
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Gay, Brian",5951,7100,0.0658,T12,0,3,0,0,86.5,6,95.5
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Whaley, Vincent",25908,7000,0.054,T7,3,0,0,0,82.5,10,95.5
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Rodgers, Patrick",16283,9000,0.0766,4,0,0,0,0,79.0,16,95.0
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Riley, Davis",19872,7100,0.0295,T7,3,0,0,0,80.5,10,93.5
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Flavin, Patrick",26122,6800,0.004,T17,6,0,0,0,77.5,5,88.5
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Power, Seamus",10104,10200,0.1426,T12,3,0,0,0,79.0,6,88.0
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Malnati, Peter",14926,7400,0.0288,T7,3,0,0,0,74.5,10,87.5
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Spaun, J.J.",17536,6600,0.0274,T7,3,3,0,0,71.5,10,87.5
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Thompson, Curtis",19395,6400,0.0042,T7,0,0,0,0,76.0,10,86.0
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Knox, Russell",13831,7700,0.1955,T12,3,0,0,0,74.5,6,83.5
pga,2021,2022,Butterfield Bermuda Championship,528,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Ramey, Chad",19840,9500,0.1295,T17,3,3,0,0,72.5,5,83.5
