tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Kokrak, Jason",12337,8800,0.0574,1,3,0,0,0,84.0,30,117.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Scheffler, Scottie",18417,10900,0.1534,T2,3,0,0,0,76.0,20,99.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Tway, Kevin",13127,6100,0.0026,T2,0,3,0,0,74.5,20,97.5
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Wolff, Matthew",25919,10400,0.1392,T11,0,0,5,0,74.0,6,85.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Trainer, Martin",15634,6000,0.0002,T5,0,3,0,0,68.0,14,85.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Hickok, Kramer",21237,6100,0.0058,4,0,0,0,0,67.0,16,83.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Dahmen, Joel",14509,7000,0.0898,T5,0,0,0,0,64.5,14,78.5
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Henley, Russell",14578,8900,0.1115,T7,0,0,0,0,65.0,10,75.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Burns, Sam",19483,11100,0.1887,T7,0,3,0,0,61.0,10,74.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"List, Luke",7960,6900,0.0941,T11,0,0,0,0,67.0,6,73.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Tringale, Cameron",14013,8300,0.1124,T7,0,3,0,0,59.5,10,72.5
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Smith, Cameron",15856,10200,0.1894,T15,0,0,0,0,66.0,6,72.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Long, Adam",15473,6800,0.0516,T11,3,3,0,0,59.0,6,71.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Streb, Robert",14852,6600,0.0128,T7,0,3,0,0,57.5,10,70.5
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Frittelli, Dylan",11955,6600,0.0135,T19,3,0,0,0,59.5,5,67.5
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Smalley, Alex",18474,0,0.0,T15,0,0,0,0,60.5,6,66.5
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Whaley, Vincent",25908,6400,0.0241,T15,0,0,0,0,60.0,6,66.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Lebioda, Hank",21943,6400,0.0085,T15,0,0,0,0,60.0,6,66.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Rai, Aaron",18554,6900,0.0146,T19,0,0,0,0,60.5,5,65.5
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Leishman, Marc",7649,8700,0.135,T19,0,0,0,0,59.5,5,64.5
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Piercy, Scott",7899,6700,0.0098,T19,0,0,0,0,59.0,5,64.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"McCarthy, Denny",19870,6600,0.0656,T11,0,0,0,0,58.0,6,64.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Riley, Davis",19872,6500,0.0117,T29,3,0,0,0,57.5,3,63.5
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Wise, Aaron",22051,9200,0.2085,T26,0,0,0,0,60.0,3,63.0
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Im, Sungjae",17488,10700,0.1394,T19,0,3,0,0,54.5,5,62.5
