date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Burns, Sam",0.771125,0.023,0.52245,0.41100000000000003,0.262475,0.160825,0.108975,0.0458,T7
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Scheffler, Scottie",0.7745,0.02265,0.52275,0.406175,0.2545,0.151675,0.1025,0.04255,T2
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Im, Sungjae",0.768975,0.020125,0.518225,0.40595,0.252375,0.15125,0.102225,0.04115,T19
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Smith, Cameron",0.763925,0.022000000000000002,0.513575,0.40265,0.251275,0.151725,0.1012,0.040575,T15
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Finau, Tony",0.74535,0.020075,0.47475,0.356375,0.211175,0.121875,0.07925,0.03085,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Hatton, Tyrrell",0.7183,0.015275,0.435975,0.3234,0.18875,0.10815,0.070475,0.0264,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Koepka, Brooks",0.71795,0.015375,0.432875,0.32255,0.188275,0.10465,0.06685,0.02515,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Wise, Aaron",0.7156,0.01585,0.429725,0.3166,0.18255,0.1024,0.066575,0.024625,T26
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Gooch, Talor",0.701675,0.017375,0.417425,0.30735,0.172325,0.0956,0.060625,0.02275,60
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","McNealy, Maverick",0.708575,0.015,0.4166,0.3063,0.176875,0.0969,0.061925,0.022125,T19
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Niemann, Joaquin",0.712575,0.017775,0.4253,0.31275,0.1766,0.09465,0.060225,0.02145,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Henley, Russell",0.69,0.0165,0.39445,0.2855,0.158875,0.087425,0.055975,0.0205,T7
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Scott, Adam",0.67835,0.016225,0.37595,0.2733,0.151025,0.081775,0.0513,0.0193,T54
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Tringale, Cameron",0.697675,0.0125,0.39605,0.28705,0.155025,0.08355,0.052125,0.0173,T7
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Lowry, Shane",0.691375,0.012025,0.3858,0.2781,0.1501,0.0807,0.050425,0.017225,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Varner III, Harold",0.67885,0.01335,0.378025,0.27185,0.1468,0.07935,0.048925,0.016225,WD
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Power, Seamus",0.6698,0.01205,0.3602,0.25655,0.13785,0.071275,0.04375,0.01495,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Reed, Patrick",0.6648,0.012975,0.35405,0.250275,0.1327,0.068425,0.041225,0.0142,T61
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Bezuidenhout, Christiaan",0.6579999999999999,0.01215,0.346125,0.24235,0.12815,0.06535,0.0403,0.012625,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Kokrak, Jason",0.641625,0.012825,0.3272,0.227875,0.1203,0.061125,0.037075,0.0125,1
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Vegas, Jhonattan",0.64185,0.009075,0.320675,0.2223,0.11595,0.05935,0.0359,0.01245,T26
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Poulter, Ian",0.665875,0.01015,0.348325,0.242325,0.126325,0.0633,0.03825,0.012275,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Van Rooyen, Erik",0.643075,0.0101,0.32145,0.222725,0.1159,0.059525,0.034875,0.0119,T54
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Moore, Taylor",0.647525,0.011475,0.3308,0.227275,0.11745,0.06,0.0349,0.011175,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Harman, Brian",0.646975,0.009525,0.32135,0.21805,0.1102,0.054375,0.03185,0.01055,T54
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Woodland, Gary",0.6249,0.0107,0.302475,0.206525,0.1051,0.05275,0.03115,0.01035,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Wolff, Matthew",0.616225,0.011000000000000001,0.296025,0.2031,0.10365,0.05055,0.02975,0.01025,T11
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Streelman, Kevin",0.634925,0.01055,0.3114,0.215,0.109025,0.05465,0.032025,0.010225,T50
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Homa, Max",0.6212,0.01,0.29555,0.20235,0.105275,0.05355,0.03185,0.010075,T35
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Ramey, Chad",0.644925,0.009000000000000001,0.3201,0.21765,0.110075,0.0549,0.032025,0.0097,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Dahmen, Joel",0.613325,0.0113,0.289325,0.196075,0.09965,0.0517,0.03165,0.009625,T5
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","List, Luke",0.633425,0.009225,0.303375,0.20575,0.1029,0.050275,0.02895,0.009375,T11
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Hughes, Mackenzie",0.624225,0.00965,0.299675,0.2042,0.10275,0.050075,0.0296,0.00935,T29
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Leishman, Marc",0.619675,0.010975,0.29485,0.199875,0.099625,0.051275,0.030725,0.009275,T19
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Day, Jason",0.618325,0.008025,0.28935,0.1945,0.097525,0.04865,0.02755,0.008625,T54
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Pereira, Mito",0.6119,0.01015,0.2866,0.19455,0.098775,0.049,0.02805,0.008475,T29
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Smalley, Alex",0.591125,0.007875,0.2604,0.172775,0.08525,0.043275,0.02585,0.008075,T15
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Munoz, Sebastian",0.595775,0.008375,0.2626,0.17455,0.085725,0.04165,0.02425,0.00805,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Reavie, Chez",0.60155,0.00685,0.269575,0.17755,0.086975,0.04125,0.024675,0.007925,T41
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Pan, C.T.",0.5979,0.0093,0.2721,0.179675,0.088125,0.04325,0.025325,0.00785,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Pendrith, Taylor",0.587575,0.008575,0.257825,0.1674,0.079925,0.038475,0.022375,0.00765,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Palmer, Ryan",0.60795,0.0093,0.27645,0.185875,0.0927,0.045275,0.026525,0.007625,T26
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Griffin, Lanto",0.609125,0.0096,0.27645,0.18435,0.08995,0.0432,0.0257,0.00745,T64
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Laird, Martin",0.60345,0.00815,0.2726,0.179725,0.0896,0.043175,0.0253,0.0074,CUT
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Jaeger, Stephan",0.579925,0.007075,0.246675,0.16215,0.079275,0.0378,0.0224,0.007125,T35
"Nov 14, 2021","Hewlett Packard Enterprise Houston Open","Knox, Russell",0.59225,0.00715,0.259575,0.169425,0.081825,0.039375,0.022575,0.0069,CUT
