bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1357,2021-11-10 23:56,19483,+1415,2021-11-09 09:26,T7,"Burns, Sam",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+1464,2021-11-10 23:56,18417,+1820,2021-11-09 09:26,T2,"Scheffler, Scottie",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+2015,2021-11-10 23:56,17488,+2022,2021-11-09 09:26,T19,"Im, Sungjae",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+2100,2021-11-10 23:56,15856,+2224,2021-11-09 09:26,T15,"Smith, Cameron",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+2178,2021-11-10 23:56,16243,+3032,2021-11-09 09:26,CUT,"Koepka, Brooks",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+2308,2021-11-10 23:56,11676,+2527,2021-11-09 09:26,CUT,"Finau, Tony",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+2439,2021-11-10 23:56,18580,+2527,2021-11-09 09:26,60,"Gooch, Talor",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+2514,2021-11-10 23:56,25919,+2527,2021-11-09 09:26,T11,"Wolff, Matthew",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+2816,2021-11-10 23:56,14796,+2830,2021-11-09 09:26,CUT,"Hatton, Tyrrell",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+2816,2021-11-10 23:56,22051,+2830,2021-11-09 09:26,T26,"Wise, Aaron",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+2900,2021-11-10 23:56,6430,+3032,2021-11-09 09:26,T54,"Scott, Adam",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+3020,2021-11-10 23:56,18079,+3032,2021-11-09 09:26,CUT,"Niemann, Joaquin",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+3323,2021-11-10 23:56,18634,+3336,2021-11-09 09:26,T19,"McNealy, Maverick",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
0,loss,+3739,2021-11-10 23:56,14838,+4043,2021-11-09 09:26,T61,"Reed, Patrick",pinnacle,2021-11-14,Hewlett Packard Enterprise Houston Open,win,2022,2021,20
