tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Kokrak, Jason",12337,1,1,Memorial Park Golf Course,897,68,3.993,-2.376,0.493,0.147,-1.735,2.258,287.1,0.538,0.833,0.429,45.735,26.919
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Kokrak, Jason",12337,1,2,Memorial Park Golf Course,897,71,0.65,-2.646,0.979,1.181,-0.486,0.164,291.9,0.846,0.778,0.455,69.132,32.049
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Kokrak, Jason",12337,1,3,Memorial Park Golf Course,897,66,3.086,0.269,0.91,0.839,2.018,5.104,302.9,0.538,0.667,0.636,19.049,45.083
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Kokrak, Jason",12337,1,4,Memorial Park Golf Course,897,65,0.954,0.858,4.055,-0.001,4.912,5.866,290.6,0.692,0.833,0.75,39.721,22.783
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Tway, Kevin",13127,T2,1,Memorial Park Golf Course,897,67,2.052,-0.65,1.232,0.623,1.206,3.258,288.0,0.692,0.778,0.8,43.868,31.38
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Tway, Kevin",13127,T2,2,Memorial Park Golf Course,897,64,3.608,2.282,0.338,0.936,3.556,7.164,295.6,0.692,0.611,0.889,78.535,34.251
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Tway, Kevin",13127,T2,3,Memorial Park Golf Course,897,73,1.008,-1.987,-2.019,1.102,-2.904,-1.896,301.1,0.615,0.556,0.545,65.962,44.707
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Tway, Kevin",13127,T2,4,Memorial Park Golf Course,897,68,2.084,-0.212,-0.243,1.237,0.782,2.866,304.5,0.692,0.778,0.625,57.469,42.941
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Scheffler, Scottie",18417,T2,1,Memorial Park Golf Course,897,72,-1.263,0.14,-0.948,0.328,-0.479,-1.742,289.8,0.538,0.5,0.455,55.331,27.198
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Scheffler, Scottie",18417,T2,2,Memorial Park Golf Course,897,62,3.604,1.177,3.081,1.302,5.56,9.164,296.0,0.769,0.667,0.75,86.11,26.077
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Scheffler, Scottie",18417,T2,3,Memorial Park Golf Course,897,69,-1.064,1.814,0.554,0.8,3.168,2.104,292.9,0.692,0.722,0.667,49.502,22.839
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Scheffler, Scottie",18417,T2,4,Memorial Park Golf Course,897,69,-1.243,0.758,0.869,1.482,3.109,1.866,308.7,0.769,0.667,0.5,78.859,33.653
pga,2021,2022,Hewlett Packard Enterprise Houston Open,20,"Hickok, Kramer",21237,4,1,Memorial Park Golf Course,897,67,1.321,1.059,1.084,-0.207,1.937,3.258,279.9,0.615,0.722,0.571,39.336,27.543
