tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Gooch, Talor",18580,9300,0.1421,1,6,6,0,5,99.0,30,146.0
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Hughes, Mackenzie",15556,8600,0.1154,2,3,0,0,0,95.0,20,118.0
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Munoz, Sebastian",20770,7300,0.0255,3,3,3,0,0,91.0,18,115.0
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Power, Seamus",10104,8200,0.0645,T4,3,6,0,5,82.5,16,112.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"McCumber, Tyler",17584,6100,0.0007,T4,3,3,0,0,89.5,16,111.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Simpson, Webb",11049,10700,0.1904,T8,3,0,0,5,89.0,9,106.0
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Hoge, Tom",15575,6900,0.0364,T4,3,3,0,5,78.0,16,105.0
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Smith, Cameron",15856,10300,0.2539,T4,3,0,0,0,84.0,16,103.0
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Moore, Taylor",21944,7100,0.04,T8,3,0,5,0,85.5,9,102.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"List, Luke",7960,7500,0.1158,T10,6,0,0,5,82.0,7,100.0
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"McCarthy, Denny",19870,7000,0.1301,T10,3,3,0,0,80.5,7,93.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Rai, Aaron",18554,7400,0.0504,T16,3,3,0,5,76.5,5,92.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Vegas, Jhonattan",13508,8100,0.0744,T12,3,6,0,0,76.5,6,91.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Howell III, Charles",6892,7800,0.0629,T16,3,3,0,0,78.5,5,89.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Clark, Wyndham",23604,6800,0.0121,T29,3,0,0,0,83.5,3,89.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"McGreevy, Max",23505,6200,0.0047,T16,3,0,0,5,76.0,5,89.0
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Spaun, J.J.",17536,6700,0.0244,T16,6,3,0,0,74.5,5,88.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Mitchell, Keith",17365,7200,0.0641,T12,3,3,0,0,75.5,6,87.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Pendrith, Taylor",17780,6700,0.0097,T26,3,0,0,5,76.5,3,87.5
pga,2021,2022,The RSM Classic,493,draftkings,PGA TOUR $300K Flop Shot [$100K to 1st],"Johnson, Zach",6986,6900,0.0298,T16,0,3,0,0,78.0,5,86.0
