bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1402,2021-11-18 08:49,18417,+1417,2021-11-16 08:36,T57,"Scheffler, Scottie",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+1437,2021-11-18 08:49,11049,+1417,2021-11-16 08:36,T8,"Simpson, Webb",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+1643,2021-11-18 08:49,15856,+1619,2021-11-16 08:36,T4,"Smith, Cameron",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+1722,2021-11-18 08:49,7672,+2226,2021-11-16 08:36,WD,"Oosthuizen, Louis",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+1856,2021-11-18 08:49,17576,+2529,2021-11-16 08:36,T22,"Conners, Corey",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+2879,2021-11-18 08:49,14577,+2832,2021-11-16 08:36,CUT,"English, Harris",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+3084,2021-11-18 08:49,14578,+3035,2021-11-16 08:36,T22,"Henley, Russell",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+3389,2021-11-18 08:49,11328,+3338,2021-11-16 08:36,CUT,"Kisner, Kevin",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+3389,2021-11-18 08:49,18079,+3338,2021-11-16 08:36,CUT,"Niemann, Joaquin",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
1,paid in full,+3595,2021-11-18 08:49,18580,+3540,2021-11-16 08:36,1,"Gooch, Talor",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+3678,2021-11-18 08:49,12423,+5563,2021-11-16 08:36,CUT,"Kirk, Chris",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+3883,2021-11-18 08:49,10419,+4046,2021-11-16 08:36,CUT,"Noren, Alex",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+3891,2021-11-18 08:49,6430,+4046,2021-11-16 08:36,T37,"Scott, Adam",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+4165,2021-11-18 08:49,14509,+6069,2021-11-16 08:36,T29,"Dahmen, Joel",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+5135,2021-11-18 08:49,12425,+5057,2021-11-16 08:36,CUT,"Todd, Brendon",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+5208,2021-11-18 08:49,6892,+7586,2021-11-16 08:36,T16,"Howell III, Charles",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+5646,2021-11-18 08:49,17538,+5563,2021-11-16 08:36,CUT,"Homa, Max",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+5646,2021-11-18 08:49,15556,+5563,2021-11-16 08:36,2,"Hughes, Mackenzie",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+5646,2021-11-18 08:49,13872,+5563,2021-11-16 08:36,CUT,"Bradley, Keegan",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6161,2021-11-18 08:49,19455,+6069,2021-11-16 08:36,T29,"Pereira, Mito",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6161,2021-11-18 08:49,8825,+6069,2021-11-16 08:36,T61,"Harman, Brian",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6161,2021-11-18 08:49,6093,+6069,2021-11-16 08:36,T12,"Rose, Justin",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6315,2021-11-18 08:49,14852,+6676,2021-11-16 08:36,CUT,"Streb, Robert",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6776,2021-11-18 08:49,10104,+6676,2021-11-16 08:36,T4,"Power, Seamus",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6776,2021-11-18 08:49,13508,+6676,2021-11-16 08:36,T12,"Vegas, Jhonattan",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6776,2021-11-18 08:49,11826,+6676,2021-11-16 08:36,CUT,"Lee, Danny",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6843,2021-11-18 08:49,20706,+6741,2021-11-16 08:36,67,"Wallace, Matt",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6944,2021-11-18 08:49,21944,+10114,2021-11-16 08:36,T8,"Moore, Taylor",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+6944,2021-11-18 08:49,18474,+10114,2021-11-16 08:36,CUT,"Smalley, Alex",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+7366,2021-11-18 08:49,12808,+10114,2021-11-16 08:36,CUT,"Grillo, Emiliano",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+7624,2021-11-18 08:49,8480,+8092,2021-11-16 08:36,T51,"Streelman, Kevin",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+7661,2021-11-18 08:49,7960,+8092,2021-11-16 08:36,T10,"List, Luke",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+7698,2021-11-18 08:49,6169,+7586,2021-11-16 08:36,T37,"Kuchar, Matt",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+8212,2021-11-18 08:49,15330,+8092,2021-11-16 08:36,T40,"Griffin, Lanto",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+8212,2021-11-18 08:49,15473,+8092,2021-11-16 08:36,T16,"Long, Adam",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+8212,2021-11-18 08:49,16283,+8092,2021-11-16 08:36,T57,"Rodgers, Patrick",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+8212,2021-11-18 08:49,19870,+8092,2021-11-16 08:36,T10,"McCarthy, Denny",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+9239,2021-11-18 08:49,11952,+9103,2021-11-16 08:36,CUT,"Grace, Branden",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+9239,2021-11-18 08:49,13367,+9103,2021-11-16 08:36,T22,"Merritt, Troy",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+9239,2021-11-18 08:49,9771,+9103,2021-11-16 08:36,CUT,"Day, Jason",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+10266,2021-11-18 08:49,20770,+10114,2021-11-16 08:36,3,"Munoz, Sebastian",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+10266,2021-11-18 08:49,15016,+10114,2021-11-16 08:36,T22,"Schwab, Matthias",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+10266,2021-11-18 08:49,25363,+10114,2021-11-16 08:36,CUT,"Buckley, Hayden",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+10266,2021-11-18 08:49,18187,+10114,2021-11-16 08:36,CUT,"Duncan, Tyler",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
0,loss,+10266,2021-11-18 08:49,7399,+10114,2021-11-16 08:36,CUT,"Glover, Lucas",pinnacle,2021-11-21,The RSM Classic,win,2022,2021,493
