tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2022,The RSM Classic,493,"Gooch, Talor",18580,1,1,Sea Island GC (Plantation),889,64,,,,,,4.692,,,,,,
pga,2021,2022,The RSM Classic,493,"Gooch, Talor",18580,1,2,Sea Island GC (Seaside),776,65,2.297,1.508,1.667,0.489,3.664,5.961,279.5,0.643,0.722,0.857,67.132,28.668
pga,2021,2022,The RSM Classic,493,"Gooch, Talor",18580,1,3,Sea Island GC (Seaside),776,67,1.223,1.632,1.708,-0.746,2.594,3.817,278.4,0.571,0.778,0.833,50.879,25.212
pga,2021,2022,The RSM Classic,493,"Gooch, Talor",18580,1,4,Sea Island GC (Seaside),776,64,1.51,-0.256,2.905,-0.271,2.377,3.887,281.7,0.857,0.889,1.0,,20.337
pga,2021,2022,The RSM Classic,493,"Hughes, Mackenzie",15556,2,1,Sea Island GC (Plantation),889,63,,,,,,5.692,,,,,,
pga,2021,2022,The RSM Classic,493,"Hughes, Mackenzie",15556,2,2,Sea Island GC (Seaside),776,68,-1.255,1.6,1.678,0.938,4.216,2.961,294.9,0.643,0.889,1.0,32.441,33.253
pga,2021,2022,The RSM Classic,493,"Hughes, Mackenzie",15556,2,3,Sea Island GC (Seaside),776,70,-1.44,-0.684,2.981,-0.04,2.257,0.817,285.2,0.571,0.778,0.571,25.279,31.764
pga,2021,2022,The RSM Classic,493,"Hughes, Mackenzie",15556,2,4,Sea Island GC (Seaside),776,62,2.943,0.437,1.588,0.92,2.944,5.887,295.9,0.786,0.778,0.875,6.665,26.205
pga,2021,2022,The RSM Classic,493,"Munoz, Sebastian",20770,3,1,Sea Island GC (Seaside),776,60,2.761,0.234,2.184,1.129,3.547,6.308,284.9,0.929,0.944,1.0,16.545,15.365
pga,2021,2022,The RSM Classic,493,"Munoz, Sebastian",20770,3,2,Sea Island GC (Plantation),889,70,,,,,,2.675,,,,,,
pga,2021,2022,The RSM Classic,493,"Munoz, Sebastian",20770,3,3,Sea Island GC (Seaside),776,69,-0.513,-0.127,1.707,0.75,2.33,1.817,278.4,0.929,0.667,0.857,10.111,34.335
pga,2021,2022,The RSM Classic,493,"Munoz, Sebastian",20770,3,4,Sea Island GC (Seaside),776,65,0.256,1.239,1.252,0.141,2.631,2.887,282.8,0.786,0.833,0.6,49.239,31.215
pga,2021,2022,The RSM Classic,493,"Power, Seamus",10104,T4,1,Sea Island GC (Seaside),776,63,0.726,0.308,1.75,0.524,2.582,3.308,280.0,0.857,0.944,0.5,44.363,18.841
pga,2021,2022,The RSM Classic,493,"Power, Seamus",10104,T4,2,Sea Island GC (Plantation),889,69,,,,,,3.675,,,,,,
pga,2021,2022,The RSM Classic,493,"Power, Seamus",10104,T4,3,Sea Island GC (Seaside),776,67,0.525,2.146,0.917,0.229,3.292,3.817,286.9,0.714,0.722,0.857,35.143,38.142
pga,2021,2022,The RSM Classic,493,"Power, Seamus",10104,T4,4,Sea Island GC (Seaside),776,68,-0.747,0.896,0.983,-1.244,0.634,-0.113,293.1,0.714,0.833,0.667,13.525,28.52
pga,2021,2022,The RSM Classic,493,"Smith, Cameron",15856,T4,1,Sea Island GC (Seaside),776,64,0.508,0.448,0.394,0.958,1.8,2.308,288.6,0.857,0.889,0.5,38.951,26.408
pga,2021,2022,The RSM Classic,493,"Smith, Cameron",15856,T4,2,Sea Island GC (Plantation),889,71,,,,,,1.675,,,,,,
pga,2021,2022,The RSM Classic,493,"Smith, Cameron",15856,T4,3,Sea Island GC (Seaside),776,68,2.587,0.484,0.678,-0.932,0.23,2.817,299.4,0.5,0.611,0.8,14.945,47.581
pga,2021,2022,The RSM Classic,493,"Smith, Cameron",15856,T4,4,Sea Island GC (Seaside),776,64,0.346,0.622,3.446,-0.526,3.541,3.887,300.9,0.286,0.944,0.667,30.459,11.225
pga,2021,2022,The RSM Classic,493,"Hoge, Tom",15575,T4,1,Sea Island GC (Plantation),889,65,,,,,,3.692,,,,,,
pga,2021,2022,The RSM Classic,493,"Hoge, Tom",15575,T4,2,Sea Island GC (Seaside),776,68,0.237,0.623,2.377,-0.276,2.724,2.961,275.7,0.714,0.778,0.833,21.35,30.949
pga,2021,2022,The RSM Classic,493,"Hoge, Tom",15575,T4,3,Sea Island GC (Seaside),776,67,1.728,0.731,1.135,0.223,2.089,3.817,276.1,0.786,0.778,1.0,23.876,37.256
pga,2021,2022,The RSM Classic,493,"Hoge, Tom",15575,T4,4,Sea Island GC (Seaside),776,67,-0.634,0.533,0.853,0.136,1.521,0.887,283.8,0.714,0.889,1.0,44.146,28.782
pga,2021,2022,The RSM Classic,493,"McCumber, Tyler",17584,T4,1,Sea Island GC (Plantation),889,69,,,,,,-0.308,,,,,,
pga,2021,2022,The RSM Classic,493,"McCumber, Tyler",17584,T4,2,Sea Island GC (Seaside),776,68,1.385,0.086,1.089,0.401,1.576,2.961,304.1,0.571,0.667,0.625,40.311,30.854
pga,2021,2022,The RSM Classic,493,"McCumber, Tyler",17584,T4,3,Sea Island GC (Seaside),776,70,0.431,-0.449,0.138,0.697,0.386,0.817,297.1,0.5,0.778,0.375,29.333,44.282
pga,2021,2022,The RSM Classic,493,"McCumber, Tyler",17584,T4,4,Sea Island GC (Seaside),776,60,3.239,0.174,3.646,0.829,4.648,7.887,293.8,0.714,0.944,1.0,25.331,20.518
pga,2021,2022,The RSM Classic,493,"Simpson, Webb",11049,T8,1,Sea Island GC (Plantation),889,69,,,,,,-0.308,,,,,,
pga,2021,2022,The RSM Classic,493,"Simpson, Webb",11049,T8,2,Sea Island GC (Seaside),776,67,1.108,-0.117,2.397,0.573,2.853,3.961,278.9,0.714,0.778,0.4,71.64,22.223
pga,2021,2022,The RSM Classic,493,"Simpson, Webb",11049,T8,3,Sea Island GC (Seaside),776,66,-1.268,0.21,5.566,0.309,6.085,4.817,286.1,0.643,0.833,0.6,36.593,27.181
pga,2021,2022,The RSM Classic,493,"Simpson, Webb",11049,T8,4,Sea Island GC (Seaside),776,66,-1.153,0.167,1.873,1.001,3.04,1.887,291.2,0.857,0.944,1.0,28.437,27.823
pga,2021,2022,The RSM Classic,493,"Moore, Taylor",21944,T8,1,Sea Island GC (Plantation),889,66,,,,,,2.692,,,,,,
pga,2021,2022,The RSM Classic,493,"Moore, Taylor",21944,T8,2,Sea Island GC (Seaside),776,65,0.113,0.773,3.63,1.445,5.848,5.961,293.1,0.714,0.722,0.833,27.005,27.018
pga,2021,2022,The RSM Classic,493,"Moore, Taylor",21944,T8,3,Sea Island GC (Seaside),776,71,1.798,0.792,-1.767,-1.006,-1.981,-0.183,281.5,0.643,0.667,0.667,21.273,40.998
pga,2021,2022,The RSM Classic,493,"Moore, Taylor",21944,T8,4,Sea Island GC (Seaside),776,66,0.352,0.619,-0.532,1.449,1.535,1.887,298.8,0.786,0.833,0.6,9.485,30.203
pga,2021,2022,The RSM Classic,493,"McCarthy, Denny",19870,T10,1,Sea Island GC (Seaside),776,66,0.472,-0.194,-0.274,0.304,-0.164,0.308,274.3,0.857,0.889,0.0,30.076,24.508
pga,2021,2022,The RSM Classic,493,"McCarthy, Denny",19870,T10,2,Sea Island GC (Plantation),889,72,,,,,,0.675,,,,,,
pga,2021,2022,The RSM Classic,493,"McCarthy, Denny",19870,T10,3,Sea Island GC (Seaside),776,65,5.761,0.336,1.537,-1.817,0.056,5.817,285.1,0.5,0.667,0.833,33.025,39.876
pga,2021,2022,The RSM Classic,493,"McCarthy, Denny",19870,T10,4,Sea Island GC (Seaside),776,66,-0.671,0.887,0.999,0.673,2.558,1.887,287.3,0.857,0.778,1.0,15.624,25.543
pga,2021,2022,The RSM Classic,493,"List, Luke",7960,T10,1,Sea Island GC (Plantation),889,68,,,,,,0.692,,,,,,
pga,2021,2022,The RSM Classic,493,"List, Luke",7960,T10,2,Sea Island GC (Seaside),776,67,0.371,-0.408,1.793,2.205,3.59,3.961,304.7,0.714,0.889,0.6,48.224,27.49
pga,2021,2022,The RSM Classic,493,"List, Luke",7960,T10,3,Sea Island GC (Seaside),776,66,0.049,1.902,1.224,1.642,4.768,4.817,298.4,0.714,0.833,0.667,52.969,33.685
pga,2021,2022,The RSM Classic,493,"List, Luke",7960,T10,4,Sea Island GC (Seaside),776,68,-0.328,0.218,-0.41,0.408,0.215,-0.113,297.9,0.643,0.778,0.5,25.949,39.503
pga,2021,2022,The RSM Classic,493,"Huh, John",14606,T12,1,Sea Island GC (Seaside),776,63,0.681,1.103,1.51,0.014,2.627,3.308,270.5,0.786,0.944,1.0,37.103,15.43
pga,2021,2022,The RSM Classic,493,"Huh, John",14606,T12,2,Sea Island GC (Plantation),889,67,,,,,,5.675,,,,,,
pga,2021,2022,The RSM Classic,493,"Huh, John",14606,T12,3,Sea Island GC (Seaside),776,72,-0.908,-0.255,-0.193,0.173,-0.275,-1.183,278.4,0.714,0.667,0.571,42.63,33.803
pga,2021,2022,The RSM Classic,493,"Huh, John",14606,T12,4,Sea Island GC (Seaside),776,68,-0.62,-0.291,-0.059,0.858,0.507,-0.113,280.8,0.929,0.833,0.5,28.602,28.873
pga,2021,2022,The RSM Classic,493,"Rose, Justin",6093,T12,1,Sea Island GC (Plantation),889,67,,,,,,1.692,,,,,,
pga,2021,2022,The RSM Classic,493,"Rose, Justin",6093,T12,2,Sea Island GC (Seaside),776,68,0.644,0.445,0.983,0.889,2.317,2.961,285.3,0.786,0.833,0.75,15.935,29.413
pga,2021,2022,The RSM Classic,493,"Rose, Justin",6093,T12,3,Sea Island GC (Seaside),776,70,0.359,0.479,-0.136,0.115,0.458,0.817,277.7,0.714,0.667,0.8,25.363,40.549
pga,2021,2022,The RSM Classic,493,"Rose, Justin",6093,T12,4,Sea Island GC (Seaside),776,65,0.83,0.364,0.143,1.551,2.057,2.887,293.8,0.929,0.889,0.667,20.938,30.916
pga,2021,2022,The RSM Classic,493,"Mitchell, Keith",17365,T12,1,Sea Island GC (Plantation),889,68,,,,,,0.692,,,,,,
pga,2021,2022,The RSM Classic,493,"Mitchell, Keith",17365,T12,2,Sea Island GC (Seaside),776,67,1.385,0.212,0.491,1.873,2.576,3.961,296.1,0.714,0.722,0.75,69.52,30.817
