date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Nov 21, 2021","The RSM Classic","Scheffler, Scottie",0.751375,0.0217,0.5316,0.42435,0.279975,0.1741,0.1204,0.051675,T57
"Nov 21, 2021","The RSM Classic","Oosthuizen, Louis",0.739375,0.01835,0.508775,0.404825,0.26265,0.162925,0.113275,0.046175,WD
"Nov 21, 2021","The RSM Classic","Conners, Corey",0.728725,0.01925,0.498925,0.39555,0.2514,0.153,0.1042,0.04255,T22
"Nov 21, 2021","The RSM Classic","Smith, Cameron",0.726475,0.01675,0.4887,0.384375,0.2423,0.1463,0.098125,0.040175,T4
"Nov 21, 2021","The RSM Classic","Simpson, Webb",0.71595,0.021075,0.48265,0.37755,0.240325,0.1457,0.097075,0.039225,T8
"Nov 21, 2021","The RSM Classic","Henley, Russell",0.679525,0.01865,0.42295,0.322325,0.19375,0.111375,0.073375,0.02775,T22
"Nov 21, 2021","The RSM Classic","English, Harris",0.670175,0.019,0.406225,0.309075,0.183225,0.1058,0.06945,0.02715,CUT
"Nov 21, 2021","The RSM Classic","Gooch, Talor",0.63815,0.01695,0.36725,0.2704,0.153925,0.08445,0.0521,0.018025,1
"Nov 21, 2021","The RSM Classic","Niemann, Joaquin",0.648425,0.010225,0.373075,0.27115,0.15145,0.0822,0.051125,0.0174,CUT
"Nov 21, 2021","The RSM Classic","Dahmen, Joel",0.605975,0.0098,0.327,0.23445,0.12955,0.069575,0.0446,0.01605,T29
"Nov 21, 2021","The RSM Classic","Scott, Adam",0.6196,0.009825,0.331475,0.238175,0.130825,0.06915,0.043275,0.015025,T37
"Nov 21, 2021","The RSM Classic","Kirk, Chris",0.60415,0.01035,0.330175,0.234225,0.127625,0.0683,0.04265,0.01455,CUT
"Nov 21, 2021","The RSM Classic","Noren, Alex",0.624975,0.01065,0.342575,0.246425,0.136225,0.070125,0.041725,0.014425,CUT
"Nov 21, 2021","The RSM Classic","Power, Seamus",0.6101,0.0098,0.3219,0.229675,0.125525,0.0658,0.0401,0.014075,T4
"Nov 21, 2021","The RSM Classic","Howell III, Charles",0.586775,0.011225,0.310175,0.222175,0.122475,0.064425,0.0397,0.013675,T16
"Nov 21, 2021","The RSM Classic","Todd, Brendon",0.60515,0.008025,0.322375,0.229975,0.122575,0.06015,0.036725,0.01265,CUT
"Nov 21, 2021","The RSM Classic","List, Luke",0.5896,0.01235,0.304,0.21215,0.112775,0.057675,0.034825,0.0126,T10
"Nov 21, 2021","The RSM Classic","Moore, Taylor",0.601675,0.011075,0.31395,0.218,0.114575,0.0573,0.034725,0.011925,T8
"Nov 21, 2021","The RSM Classic","Bradley, Keegan",0.606425,0.0089,0.3175,0.222475,0.120075,0.063075,0.03755,0.01185,CUT
"Nov 21, 2021","The RSM Classic","Harman, Brian",0.600775,0.008625,0.3223,0.2253,0.11875,0.060525,0.03705,0.011575,T61
"Nov 21, 2021","The RSM Classic","Rose, Justin",0.569,0.0124,0.278475,0.193375,0.1018,0.053,0.031825,0.011125,T12
"Nov 21, 2021","The RSM Classic","Streelman, Kevin",0.573075,0.0084,0.280275,0.1937,0.09955,0.050625,0.032225,0.011000000000000001,T51
"Nov 21, 2021","The RSM Classic","Hughes, Mackenzie",0.588725,0.012725,0.29785,0.207975,0.107875,0.055625,0.03365,0.0105,2
"Nov 21, 2021","The RSM Classic","Vegas, Jhonattan",0.5896,0.01195,0.2984,0.207175,0.10825,0.054475,0.0318,0.0105,T12
"Nov 21, 2021","The RSM Classic","Homa, Max",0.570075,0.00865,0.2773,0.188975,0.098,0.050425,0.030175,0.010125,CUT
"Nov 21, 2021","The RSM Classic","Ramey, Chad",0.59205,0.010975,0.297375,0.2045,0.10655,0.0531,0.030925,0.009725,CUT
"Nov 21, 2021","The RSM Classic","Smalley, Alex",0.5575,0.00715,0.270275,0.185875,0.0962,0.049575,0.0293,0.0096,CUT
"Nov 21, 2021","The RSM Classic","Pereira, Mito",0.568075,0.007175,0.2739,0.18745,0.094925,0.04685,0.028625,0.00935,T29
"Nov 21, 2021","The RSM Classic","Reavie, Chez",0.54865,0.009125,0.257175,0.176225,0.0898,0.044725,0.027000000000000003,0.008675,T26
"Nov 21, 2021","The RSM Classic","Rai, Aaron",0.5594,0.009375,0.2667,0.18155,0.0925,0.044175,0.02575,0.00855,T16
"Nov 21, 2021","The RSM Classic","Grillo, Emiliano",0.54545,0.008175,0.251725,0.1692,0.087525,0.041925,0.0253,0.008375,CUT
"Nov 21, 2021","The RSM Classic","Glover, Lucas",0.546425,0.01005,0.262925,0.1779,0.0921,0.04555,0.0276,0.00835,CUT
"Nov 21, 2021","The RSM Classic","Merritt, Troy",0.555875,0.0095,0.25905,0.176675,0.089325,0.0449,0.026275,0.00815,T22
"Nov 21, 2021","The RSM Classic","Ghim, Doug",0.5468,0.00545,0.2523,0.1684,0.0811,0.04025,0.02375,0.00815,T40
"Nov 21, 2021","The RSM Classic","Thompson, Michael",0.54355,0.007075,0.257925,0.17705,0.091375,0.044575,0.02645,0.007975,T57
"Nov 21, 2021","The RSM Classic","Munoz, Sebastian",0.5387,0.008225,0.24525,0.16575,0.083425,0.04265,0.0248,0.00775,3
"Nov 21, 2021","The RSM Classic","Schwab, Matthias",0.5512,0.006875,0.251725,0.167925,0.08355,0.041275,0.024825,0.0076,T22
"Nov 21, 2021","The RSM Classic","Hoge, Tom",0.548525,0.009725,0.2614,0.17905,0.088275,0.0428,0.024025,0.00755,T4
"Nov 21, 2021","The RSM Classic","Streb, Robert",0.523475,0.0092,0.23705,0.159425,0.081,0.0405,0.02385,0.007425,CUT
"Nov 21, 2021","The RSM Classic","Stanley, Kyle",0.535875,0.00955,0.2421,0.162625,0.07985,0.0395,0.023325,0.0074,69
"Nov 21, 2021","The RSM Classic","Jones, Matt",0.540025,0.006375,0.2446,0.163225,0.079,0.039175,0.023325,0.007375,CUT
"Nov 21, 2021","The RSM Classic","Kizzire, Patton",0.534925,0.01,0.2384,0.1588,0.08,0.03975,0.022725,0.007175,CUT
"Nov 21, 2021","The RSM Classic","McCarthy, Denny",0.542925,0.005575,0.246775,0.16305,0.07945,0.03845,0.021275,0.0071,T10
"Nov 21, 2021","The RSM Classic","Rodgers, Patrick",0.5449,0.0063,0.243975,0.164325,0.0819,0.040475,0.02335,0.006999999999999999,T57
"Nov 21, 2021","The RSM Classic","Kisner, Kevin",0.511775,0.006925,0.234325,0.15645,0.0776,0.03765,0.0224,0.006975,CUT
"Nov 21, 2021","The RSM Classic","Jaeger, Stephan",0.53475,0.00845,0.240475,0.1627,0.0814,0.0389,0.022425,0.0069,CUT
"Nov 21, 2021","The RSM Classic","Day, Jason",0.529,0.0094,0.229875,0.154025,0.0761,0.0359,0.02135,0.006875,CUT
"Nov 21, 2021","The RSM Classic","Long, Adam",0.516975,0.009575,0.223025,0.149475,0.072875,0.03665,0.0217,0.006875,T16
"Nov 21, 2021","The RSM Classic","Knox, Russell",0.530875,0.00675,0.236275,0.15905,0.078525,0.037925,0.020725,0.0067,T40
"Nov 21, 2021","The RSM Classic","Mitchell, Keith",0.5212,0.00865,0.2296,0.152975,0.0747,0.035175,0.0198,0.006625,T12
"Nov 21, 2021","The RSM Classic","Steele, Brendan",0.5205,0.0063,0.22635,0.148575,0.0729,0.035875,0.02085,0.006625,T51
"Nov 21, 2021","The RSM Classic","Hadwin, Adam",0.53065,0.00985,0.230125,0.155725,0.078175,0.037175,0.02115,0.0066,T51
"Nov 21, 2021","The RSM Classic","Griffin, Lanto",0.537425,0.00565,0.232925,0.15145,0.07200000000000001,0.0361,0.0216,0.00655,T40
"Nov 21, 2021","The RSM Classic","Whaley, Vincent",0.5194,0.008775,0.2228,0.148325,0.0723,0.034075,0.0193,0.0065,T63
"Nov 21, 2021","The RSM Classic","Lee, Danny",0.517125,0.008775,0.2231,0.149025,0.071975,0.03485,0.02065,0.00645,CUT
"Nov 21, 2021","The RSM Classic","Huh, John",0.5198,0.00535,0.2287,0.151175,0.073325,0.03565,0.020325,0.00605,T12
"Nov 21, 2021","The RSM Classic","Davis, Cameron",0.515575,0.00905,0.2199,0.145575,0.071575,0.0338,0.01965,0.00585,CUT
"Nov 21, 2021","The RSM Classic","Hickok, Kramer",0.499325,0.0076,0.210475,0.1377,0.065,0.03115,0.0179,0.005825,CUT
"Nov 21, 2021","The RSM Classic","Higgs, Harry",0.510975,0.006125,0.216825,0.14165,0.066725,0.0325,0.018825,0.005775,CUT
"Nov 21, 2021","The RSM Classic","Kuchar, Matt",0.524575,0.00495,0.2275,0.14845,0.070575,0.0331,0.018575,0.005725,T37
"Nov 21, 2021","The RSM Classic","Swafford, Hudson",0.49685,0.00855,0.205775,0.136375,0.06445,0.0304,0.01815,0.005675,CUT
"Nov 21, 2021","The RSM Classic","Duncan, Tyler",0.500325,0.007075,0.2108,0.1376,0.06485,0.0315,0.0191,0.005575,CUT
"Nov 21, 2021","The RSM Classic","Putnam, Andrew",0.51505,0.006525,0.2147,0.140075,0.065825,0.029875,0.01745,0.005575,CUT
"Nov 21, 2021","The RSM Classic","Armour, Ryan",0.4787,0.005325,0.1965,0.126725,0.0606,0.02885,0.01735,0.00555,CUT
"Nov 21, 2021","The RSM Classic","Sabbatini, Rory",0.4954,0.007675,0.20625,0.135275,0.06415,0.031125,0.017375,0.005525,DQ
"Nov 21, 2021","The RSM Classic","Grace, Branden",0.514775,0.008575,0.2168,0.1423,0.06805,0.032325,0.0183,0.00545,CUT
"Nov 21, 2021","The RSM Classic","Norlander, Henrik",0.49895,0.006675,0.2062,0.135075,0.06475,0.030675,0.018525,0.005275,CUT
"Nov 21, 2021","The RSM Classic","Stuard, Brian",0.4998,0.0063,0.206525,0.13435,0.0646,0.0293,0.017175,0.005075,CUT
"Nov 21, 2021","The RSM Classic","Lebioda, Hank",0.4968,0.004775,0.20115,0.129,0.05825,0.027675,0.01505,0.00505,CUT
"Nov 21, 2021","The RSM Classic","Sigg, Greyson",0.49325,0.0048,0.198825,0.128425,0.05895,0.02815,0.016125,0.005025,CUT
"Nov 21, 2021","The RSM Classic","Cink, Stewart",0.5011,0.008025,0.209125,0.1369,0.06615,0.031325,0.01735,0.004925,CUT
"Nov 21, 2021","The RSM Classic","Piercy, Scott",0.495075,0.007875,0.203675,0.13425,0.065,0.031075,0.017575,0.00465,T70
"Nov 21, 2021","The RSM Classic","Lahiri, Anirban",0.468675,0.005925,0.17565,0.1116,0.049575,0.023125,0.0134,0.004375,CUT
"Nov 21, 2021","The RSM Classic","Frittelli, Dylan",0.49845,0.004275,0.19685,0.124025,0.05675,0.0263,0.014325,0.00425,CUT
"Nov 21, 2021","The RSM Classic","Stallings, Scott",0.492725,0.006925,0.190725,0.122875,0.0557,0.025075,0.014325,0.0042,T29
"Nov 21, 2021","The RSM Classic","Pendrith, Taylor",0.489875,0.00725,0.1989,0.127875,0.059225,0.0268,0.015,0.0042,T26
"Nov 21, 2021","The RSM Classic","Spaun, J.J.",0.4754,0.00445,0.18385,0.11645,0.0539,0.0249,0.01365,0.00415,T16
"Nov 21, 2021","The RSM Classic","Svensson, Adam",0.490175,0.00685,0.19535,0.12345,0.0559,0.02505,0.01425,0.004075,CUT
"Nov 21, 2021","The RSM Classic","Hardy, Nick",0.476875,0.00385,0.17995,0.1138,0.05205,0.023775,0.01295,0.004,T63
"Nov 21, 2021","The RSM Classic","Sloan, Roger",0.47735,0.0051,0.185925,0.120025,0.055775,0.02635,0.014375,0.004,T61
"Nov 21, 2021","The RSM Classic","Garnett, Brice",0.481525,0.005,0.190875,0.122425,0.0568,0.027000000000000003,0.014925,0.003925,CUT
"Nov 21, 2021","The RSM Classic","Riley, Davis",0.460875,0.0046,0.166675,0.104525,0.047175,0.020675,0.0119,0.003775,CUT
"Nov 21, 2021","The RSM Classic","Wallace, Matt",0.49195,0.0057,0.1934,0.124225,0.056425,0.025675,0.013999999999999999,0.00375,67
"Nov 21, 2021","The RSM Classic","Novak, Andrew",0.4562,0.006925,0.1693,0.107375,0.04855,0.022825,0.013625,0.003625,T26
"Nov 21, 2021","The RSM Classic","Herman, Jim",0.438875,0.00455,0.163075,0.1035,0.0474,0.021225,0.011525,0.003575,T47
"Nov 21, 2021","The RSM Classic","Landry, Andrew",0.436525,0.005425,0.1541,0.097125,0.044125,0.019925,0.01075,0.0034,CUT
"Nov 21, 2021","The RSM Classic","Reeves, Seth",0.420675,0.00505,0.13955,0.085425,0.037775,0.016775,0.00925,0.003325,CUT
"Nov 21, 2021","The RSM Classic","Johnson, Zach",0.4649,0.00385,0.17305,0.106675,0.04735,0.021175,0.01185,0.0032,T16
"Nov 21, 2021","The RSM Classic","Aphibarnrat, Kiradech",0.44525,0.004825,0.161475,0.100425,0.044975,0.021,0.012025,0.003175,T70
"Nov 21, 2021","The RSM Classic","Theegala, Sahith",0.4505,0.00665,0.160475,0.09995,0.044325,0.02015,0.010875,0.003175,CUT
"Nov 21, 2021","The RSM Classic","NeSmith, Matthew",0.451925,0.0043,0.163525,0.1003,0.045325,0.020675,0.01165,0.00315,T29
"Nov 21, 2021","The RSM Classic","Snedeker, Brandt",0.4406,0.005,0.1489,0.091525,0.03995,0.017525,0.009925,0.003025,T47
"Nov 21, 2021","The RSM Classic","Hodges, Lee",0.451525,0.00575,0.165125,0.1044,0.045725,0.020825,0.01125,0.003025,T57
"Nov 21, 2021","The RSM Classic","Ryder, Sam",0.440775,0.003875,0.1495,0.0933,0.039675,0.01745,0.0097,0.002925,CUT
"Nov 21, 2021","The RSM Classic","Villegas, Camilo",0.43225,0.005275,0.1491,0.092925,0.042525,0.0195,0.010775,0.0029,CUT
"Nov 21, 2021","The RSM Classic","Yuan, Yechun",0.418975,0.00495,0.14400000000000002,0.0893,0.039275,0.01755,0.009725,0.002825,CUT
"Nov 21, 2021","The RSM Classic","Bramlett, Joseph",0.428575,0.00355,0.143875,0.0871,0.0386,0.017475,0.008975,0.0028,CUT
"Nov 21, 2021","The RSM Classic","Poston, J.T.",0.4207,0.003775,0.13785,0.0844,0.035725,0.01585,0.00865,0.00275,CUT
"Nov 21, 2021","The RSM Classic","McGreevy, Max",0.4342,0.005175,0.149625,0.092625,0.0388,0.01645,0.0094,0.002675,T16
"Nov 21, 2021","The RSM Classic","Lashley, Nate",0.436375,0.004175,0.1511,0.09325,0.04205,0.017875,0.01,0.00265,T51
