tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2022,Hero World Challenge,478,draftkings,,"Hovland, Viktor",18841,9900,,1,6,0,0,5,108.0,30,149.0
pga,2021,2022,Hero World Challenge,478,draftkings,,"Burns, Sam",19483,7500,,T3,6,3,0,0,100.5,18,127.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"Scheffler, Scottie",18417,7800,,2,6,3,0,0,94.5,20,123.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"Thomas, Justin",14139,10200,,T5,6,0,0,0,100.0,14,120.0
pga,2021,2022,Hero World Challenge,478,draftkings,,"Reed, Patrick",14838,6400,,T3,0,3,0,5,89.5,18,115.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"Morikawa, Collin",22085,10600,,T5,6,3,0,0,92.0,14,115.0
pga,2021,2022,Hero World Challenge,478,draftkings,,"Berger, Daniel",17606,7200,,T7,3,0,0,0,98.5,10,111.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"Hatton, Tyrrell",14796,6500,,T9,0,0,0,0,87.0,8,95.0
pga,2021,2022,Hero World Challenge,478,draftkings,,"Finau, Tony",11676,7000,,T7,0,0,0,0,83.5,10,93.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"Rose, Justin",6093,6100,,T9,3,0,0,0,81.5,8,92.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"English, Harris",14577,6200,,T14,3,0,0,0,82.5,6,91.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"DeChambeau, Bryson",19841,9300,,T14,3,0,0,0,81.0,6,90.0
pga,2021,2022,Hero World Challenge,478,draftkings,,"Simpson, Webb",11049,6700,,17,6,0,0,0,79.0,5,90.0
pga,2021,2022,Hero World Challenge,478,draftkings,,"Koepka, Brooks",16243,6800,,T9,3,0,0,0,78.0,8,89.0
pga,2021,2022,Hero World Challenge,478,draftkings,,"Ancer, Abraham",18238,7300,,T14,3,0,0,0,80.0,6,89.0
pga,2021,2022,Hero World Challenge,478,draftkings,,"Schauffele, Xander",19895,8700,,T12,3,0,0,0,76.5,6,85.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"McIlroy, Rory",10091,10800,,18,0,0,0,0,80.5,5,85.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"Fitzpatrick, Matt",17646,6600,,T12,3,0,0,0,74.0,6,83.0
pga,2021,2022,Hero World Challenge,478,draftkings,,"Stenson, Henrik",5994,6000,,19,0,0,0,0,62.5,5,67.5
pga,2021,2022,Hero World Challenge,478,draftkings,,"Spieth, Jordan",14636,8300,,20,3,0,0,0,59.5,5,67.5
