tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Smith, Cameron",15856,8300,0.3217,1,12,6,0,5,133.0,30,186.0
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Rahm, Jon",19195,11000,0.1692,2,9,9,0,5,122.5,20,165.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Jones, Matt",8605,6000,0.0422,3,6,9,0,0,129.5,18,162.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Cantlay, Patrick",15466,9700,0.1629,4,6,6,0,5,106.5,16,139.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Thomas, Justin",14139,10600,0.3369,T5,6,3,0,0,116.0,14,139.0
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Morikawa, Collin",22085,10800,0.1926,T5,6,3,0,0,112.5,14,135.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Berger, Daniel",17606,8400,0.2615,T5,3,6,0,5,105.5,14,133.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Davis, Cam",17786,6200,0.0924,T10,9,6,0,5,106.0,7,133.0
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Im, Sungjae",17488,8200,0.2389,T8,3,3,0,5,105.5,9,125.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Kisner, Kevin",11328,6000,0.0459,T8,6,3,0,5,102.0,9,125.0
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Schauffele, Xander",19895,9500,0.2789,12,6,0,0,5,106.5,6,123.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Power, Seamus",10104,6600,0.1548,T15,6,9,0,0,97.5,6,118.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Matsuyama, Hideki",13562,8700,0.1555,T13,6,3,0,5,95.5,6,115.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Na, Kevin",7452,7100,0.0729,T13,3,6,0,5,95.5,6,115.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Leishman, Marc",7649,7500,0.2206,T10,3,0,0,5,99.5,7,114.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Reed, Patrick",14838,7900,0.2249,T15,6,3,0,0,97.0,6,112.0
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Higgo, Garrick",24342,6400,0.0721,T25,12,3,0,0,93.0,4,112.0
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Homa, Max",17538,6700,0.135,T15,3,6,0,0,96.5,6,111.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Finau, Tony",11676,8000,0.2442,T19,6,3,0,0,94.5,5,108.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Koepka, Brooks",16243,8500,0.1344,T28,9,0,0,0,93.0,3,105.0
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Gooch, Talor",18580,7600,0.2616,T15,0,3,0,0,95.5,6,104.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Burns, Sam",19483,9100,0.2542,T19,3,6,0,0,88.5,5,102.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Cink, Stewart",5665,6000,0.0426,T21,6,3,0,0,89.5,4,102.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"DeChambeau, Bryson",19841,10200,0.1889,T25,6,0,0,0,92.0,4,102.0
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Horschel, Billy",11276,7000,0.1564,T23,3,3,0,0,91.5,4,101.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Hovland, Viktor",18841,10000,0.2278,T30,6,3,0,0,89.5,3,101.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Spieth, Jordan",14636,8900,0.1875,T21,3,6,0,0,87.5,4,100.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Dahmen, Joel",14509,6100,0.1799,T28,6,3,0,0,88.5,3,100.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Kim, Si Woo",14609,6900,0.0741,T23,6,3,0,0,86.5,4,99.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"van Rooyen, Erik",17550,6100,0.0801,T25,3,6,0,0,85.5,4,98.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Grace, Branden",11952,6300,0.0332,T33,6,0,0,0,82.5,2,90.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Lee, K.H.",13497,6000,0.0937,T33,6,3,0,0,79.5,2,90.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"English, Harris",14577,7800,0.1218,T30,0,3,0,0,80.5,3,86.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Mickelson, Phil",1547,6500,0.1082,T30,0,0,0,0,83.5,3,86.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Herbert, Lucas",17064,6100,0.0929,37,0,0,0,0,80.0,2,82.0
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Ancer, Abraham",18238,8100,0.1338,T35,3,0,0,0,76.5,2,81.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Glover, Lucas",7399,6000,0.0336,T35,3,0,0,0,76.5,2,81.5
pga,2022,2022,Sentry Tournament of Champions,16,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],"Kokrak, Jason",12337,7700,0.1624,38,0,3,0,0,73.0,2,78.0
