tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,Sentry Tournament of Champions,16,"Smith, Cameron",15856,1,1,Plantation Course at Kapalua,656,65,3.426,0.419,-0.304,1.065,1.179,4.605,303.6,0.867,0.833,0.833,33.403,35.431
pga,2022,2022,Sentry Tournament of Champions,16,"Smith, Cameron",15856,1,2,Plantation Course at Kapalua,656,64,0.654,0.691,2.337,0.134,3.162,3.816,302.8,0.733,0.889,0.5,53.599,22.418
pga,2022,2022,Sentry Tournament of Champions,16,"Smith, Cameron",15856,1,3,Plantation Course at Kapalua,656,64,2.101,-0.402,1.537,0.475,1.61,3.711,316,0.667,0.889,0.8,40.887,28.209
pga,2022,2022,Sentry Tournament of Champions,16,"Smith, Cameron",15856,1,4,Plantation Course at Kapalua,656,65,0.284,0.982,-0.852,2.323,2.453,2.737,330.2,0.933,0.889,1,13.98,31.791
pga,2022,2022,Sentry Tournament of Champions,16,"Rahm, Jon",19195,2,1,Plantation Course at Kapalua,656,66,0.555,0.621,1.096,1.334,3.05,3.605,302.9,0.933,0.889,0.75,40.511,33.433
pga,2022,2022,Sentry Tournament of Champions,16,"Rahm, Jon",19195,2,2,Plantation Course at Kapalua,656,66,0.039,-0.37,0.489,1.658,1.777,1.816,310.5,1,1,1,,27.376
pga,2022,2022,Sentry Tournament of Champions,16,"Rahm, Jon",19195,2,3,Plantation Course at Kapalua,656,61,3.53,0.396,3.322,-0.537,3.181,6.711,316,0.867,0.889,1,,21.822
pga,2022,2022,Sentry Tournament of Champions,16,"Rahm, Jon",19195,2,4,Plantation Course at Kapalua,656,66,0.143,1.062,0.346,0.186,1.594,1.737,322.3,0.733,0.889,1,19.013,27.293
pga,2022,2022,Sentry Tournament of Champions,16,"Jones, Matt",8605,3,1,Plantation Course at Kapalua,656,70,1.456,0.177,-2.525,0.498,-1.851,-0.395,302,0.733,0.667,1,30.84,33.229
pga,2022,2022,Sentry Tournament of Champions,16,"Jones, Matt",8605,3,2,Plantation Course at Kapalua,656,67,0.511,0.357,-0.093,0.041,0.305,0.816,308.4,0.667,0.889,1,30.451,23.249
pga,2022,2022,Sentry Tournament of Champions,16,"Jones, Matt",8605,3,3,Plantation Course at Kapalua,656,62,-0.291,3.08,1.538,1.384,6.002,5.711,320.6,0.8,0.944,0.833,15.537,28.986
pga,2022,2022,Sentry Tournament of Champions,16,"Jones, Matt",8605,3,4,Plantation Course at Kapalua,656,61,4.665,-0.689,2.015,0.746,2.072,6.737,318.3,0.867,0.944,0.667,38.907,27.449
pga,2022,2022,Sentry Tournament of Champions,16,"Cantlay, Patrick",15466,4,1,Plantation Course at Kapalua,656,66,1.907,-0.117,0.951,0.865,1.698,3.605,300,0.8,0.778,0.75,66.105,26.402
pga,2022,2022,Sentry Tournament of Champions,16,"Cantlay, Patrick",15466,4,2,Plantation Course at Kapalua,656,67,-2.32,-0.901,3.672,0.365,3.136,0.816,307.4,0.733,1,0,29.639,23.324
pga,2022,2022,Sentry Tournament of Champions,16,"Cantlay, Patrick",15466,4,3,Plantation Course at Kapalua,656,66,1.191,1.091,-1.259,0.688,0.52,1.711,320.1,0.733,0.778,0.5,46.87,34.06
pga,2022,2022,Sentry Tournament of Champions,16,"Cantlay, Patrick",15466,4,4,Plantation Course at Kapalua,656,67,0.158,-0.032,0.212,0.399,0.579,0.737,316.3,0.733,0.889,0.667,68.988,24.534
pga,2022,2022,Sentry Tournament of Champions,16,"Morikawa, Collin",22085,T5,1,Plantation Course at Kapalua,656,68,-0.064,-0.794,1.095,1.369,1.669,1.605,299.9,1,0.889,0.429,,32.459
pga,2022,2022,Sentry Tournament of Champions,16,"Morikawa, Collin",22085,T5,2,Plantation Course at Kapalua,656,70,-1.431,-0.452,-1.321,1.02,-0.753,-2.184,299.9,0.867,0.833,0.4,20.229,25.59
pga,2022,2022,Sentry Tournament of Champions,16,"Morikawa, Collin",22085,T5,3,Plantation Course at Kapalua,656,67,-0.086,-1.284,2.031,0.05,0.797,0.711,298.5,0.8,0.944,0.5,12.726,32.929
pga,2022,2022,Sentry Tournament of Champions,16,"Morikawa, Collin",22085,T5,4,Plantation Course at Kapalua,656,62,2.03,0.8,1.689,1.218,3.707,5.737,314.9,1,0.944,1,,23.775
pga,2022,2022,Sentry Tournament of Champions,16,"Thomas, Justin",14139,T5,1,Plantation Course at Kapalua,656,74,-2.368,0.398,-1.824,-0.6,-2.027,-4.395,302.9,0.8,0.722,0.667,34.294,38.129
pga,2022,2022,Sentry Tournament of Champions,16,"Thomas, Justin",14139,T5,2,Plantation Course at Kapalua,656,67,-1.384,0.854,0.371,0.975,2.2,0.816,308.8,0.867,0.889,0.6,14.5,30.345
pga,2022,2022,Sentry Tournament of Champions,16,"Thomas, Justin",14139,T5,3,Plantation Course at Kapalua,656,61,1.305,1.026,3.432,0.948,5.406,6.711,311.6,0.867,1,1,11.054,23.557
pga,2022,2022,Sentry Tournament of Champions,16,"Thomas, Justin",14139,T5,4,Plantation Course at Kapalua,656,65,1.891,-0.155,-0.727,1.728,0.846,2.737,327.3,1,0.778,0.6,,30.007
pga,2022,2022,Sentry Tournament of Champions,16,"Berger, Daniel",17606,T5,1,Plantation Course at Kapalua,656,66,0.785,0.384,1.924,0.513,2.82,3.605,288,1,0.889,0.75,,28.614
pga,2022,2022,Sentry Tournament of Champions,16,"Berger, Daniel",17606,T5,2,Plantation Course at Kapalua,656,66,-1.353,0.328,2.403,0.438,3.169,1.816,297.5,0.933,0.889,0.75,,21.506
pga,2022,2022,Sentry Tournament of Champions,16,"Berger, Daniel",17606,T5,3,Plantation Course at Kapalua,656,66,-1.228,0.695,1.81,0.434,2.939,1.711,302.7,0.8,0.889,0.857,24.449,29.602
pga,2022,2022,Sentry Tournament of Champions,16,"Berger, Daniel",17606,T5,4,Plantation Course at Kapalua,656,69,-1.946,0.049,0.257,0.376,0.683,-1.263,306.3,0.933,0.778,0.833,29.751,36.408
pga,2022,2022,Sentry Tournament of Champions,16,"Kisner, Kevin",11328,T8,1,Plantation Course at Kapalua,656,69,1.284,0.364,-0.201,-0.841,-0.679,0.605,270.6,0.933,0.778,0.6,,33.737
pga,2022,2022,Sentry Tournament of Champions,16,"Kisner, Kevin",11328,T8,2,Plantation Course at Kapalua,656,68,1.187,1.133,-1.717,-0.787,-1.371,-0.184,283.7,0.867,0.722,1,76.132,34.183
pga,2022,2022,Sentry Tournament of Champions,16,"Kisner, Kevin",11328,T8,3,Plantation Course at Kapalua,656,66,-0.112,-0.328,2.933,-0.782,1.823,1.711,288.7,0.8,0.944,1,20.515,23.084
pga,2022,2022,Sentry Tournament of Champions,16,"Kisner, Kevin",11328,T8,4,Plantation Course at Kapalua,656,65,3.031,-0.929,1.702,-1.067,-0.294,2.737,291.9,0.8,0.944,0.75,34.039,30.187
pga,2022,2022,Sentry Tournament of Champions,16,"Im, Sungjae",17488,T8,1,Plantation Course at Kapalua,656,67,0.352,-0.101,1.517,0.838,2.253,2.605,299.9,0.867,0.889,0.833,55.861,27.979
pga,2022,2022,Sentry Tournament of Champions,16,"Im, Sungjae",17488,T8,2,Plantation Course at Kapalua,656,67,-0.798,-0.055,1.266,0.403,1.614,0.816,304.6,0.8,0.944,0.667,12.415,26.42
pga,2022,2022,Sentry Tournament of Champions,16,"Im, Sungjae",17488,T8,3,Plantation Course at Kapalua,656,65,3.093,1.468,-1.492,-0.358,-0.382,2.711,315.2,0.467,0.833,0.8,39.053,40.616
pga,2022,2022,Sentry Tournament of Champions,16,"Im, Sungjae",17488,T8,4,Plantation Course at Kapalua,656,69,-0.557,-0.928,-1.261,1.482,-0.706,-1.263,323.9,0.867,0.833,0.714,33.868,31.735
pga,2022,2022,Sentry Tournament of Champions,16,"Davis, Cam",17786,T10,1,Plantation Course at Kapalua,656,69,0.416,0.047,-0.56,0.703,0.189,0.605,292.4,0.867,0.833,0.429,46.741,35.218
pga,2022,2022,Sentry Tournament of Champions,16,"Davis, Cam",17786,T10,2,Plantation Course at Kapalua,656,68,-0.177,-0.713,0.412,0.294,-0.007,-0.184,304.4,0.6,0.833,0.333,54.633,21.26
pga,2022,2022,Sentry Tournament of Champions,16,"Davis, Cam",17786,T10,3,Plantation Course at Kapalua,656,66,-1.153,0.723,1.429,0.712,2.864,1.711,310.8,0.733,0.944,0.667,43.669,27.833
pga,2022,2022,Sentry Tournament of Champions,16,"Davis, Cam",17786,T10,4,Plantation Course at Kapalua,656,66,1.617,0.788,-1.278,0.61,0.12,1.737,312,0.867,0.778,1,64.268,41.109
pga,2022,2022,Sentry Tournament of Champions,16,"Leishman, Marc",7649,T10,1,Plantation Course at Kapalua,656,69,0.6,-0.474,-0.552,1.032,0.005,0.605,300.8,0.933,0.889,0.857,12.887,37.213
pga,2022,2022,Sentry Tournament of Champions,16,"Leishman, Marc",7649,T10,2,Plantation Course at Kapalua,656,67,1.774,0.094,-0.656,-0.396,-0.958,0.816,299.1,0.6,0.778,0.8,65.281,34.453
pga,2022,2022,Sentry Tournament of Champions,16,"Leishman, Marc",7649,T10,3,Plantation Course at Kapalua,656,65,-0.568,-0.437,3.122,0.594,3.279,2.711,308.9,0.8,0.944,0.667,35.555,19.686
pga,2022,2022,Sentry Tournament of Champions,16,"Leishman, Marc",7649,T10,4,Plantation Course at Kapalua,656,68,1.024,-0.745,0.202,-0.744,-1.287,-0.263,310.1,0.8,0.944,0.333,,35.975
pga,2022,2022,Sentry Tournament of Champions,16,"Schauffele, Xander",19895,12,1,Plantation Course at Kapalua,656,69,1.782,0.001,-0.8,-0.377,-1.177,0.605,298.1,0.733,0.889,0.833,31.984,43.778
pga,2022,2022,Sentry Tournament of Champions,16,"Schauffele, Xander",19895,12,2,Plantation Course at Kapalua,656,67,1.059,0.965,-1.948,0.74,-0.243,0.816,305.7,0.867,0.833,0.286,18.806,42.645
pga,2022,2022,Sentry Tournament of Champions,16,"Schauffele, Xander",19895,12,3,Plantation Course at Kapalua,656,68,0.224,0.061,-0.259,-0.315,-0.513,-0.289,310.7,0.8,0.778,0.625,,32.123
pga,2022,2022,Sentry Tournament of Champions,16,"Schauffele, Xander",19895,12,4,Plantation Course at Kapalua,656,66,-0.849,-0.252,2.733,0.104,2.586,1.737,310.2,0.8,0.889,0.5,14.077,26.024
pga,2022,2022,Sentry Tournament of Champions,16,"Matsuyama, Hideki",13562,T13,1,Plantation Course at Kapalua,656,69,0.238,-0.146,1.691,-1.177,0.367,0.605,292,0.667,0.889,0.5,38.132,35.093
pga,2022,2022,Sentry Tournament of Champions,16,"Matsuyama, Hideki",13562,T13,2,Plantation Course at Kapalua,656,65,1.193,-0.061,2.003,-0.319,1.623,2.816,297.6,0.733,0.778,0.75,26.384,26.951
pga,2022,2022,Sentry Tournament of Champions,16,"Matsuyama, Hideki",13562,T13,3,Plantation Course at Kapalua,656,68,0.126,0.15,-0.313,-0.252,-0.415,-0.289,304.4,0.667,0.889,0.6,33.345,33.38
pga,2022,2022,Sentry Tournament of Champions,16,"Matsuyama, Hideki",13562,T13,4,Plantation Course at Kapalua,656,69,-3.653,1.838,0.122,0.429,2.39,-1.263,307.9,0.933,0.889,0.667,1.597,27.369
pga,2022,2022,Sentry Tournament of Champions,16,"Na, Kevin",7452,T13,1,Plantation Course at Kapalua,656,67,0.492,-0.325,2.424,0.015,2.113,2.605,283.3,0.933,0.833,0.75,71.18,25.878
pga,2022,2022,Sentry Tournament of Champions,16,"Na, Kevin",7452,T13,2,Plantation Course at Kapalua,656,68,-0.642,-0.016,0.108,0.366,0.458,-0.184,294.6,0.933,0.944,0.6,22.165,26.033
pga,2022,2022,Sentry Tournament of Champions,16,"Na, Kevin",7452,T13,3,Plantation Course at Kapalua,656,68,0.885,0.529,-1.083,-0.62,-1.174,-0.289,286.7,0.867,0.833,0.714,26.563,30.257
pga,2022,2022,Sentry Tournament of Champions,16,"Na, Kevin",7452,T13,4,Plantation Course at Kapalua,656,68,-1.247,0.244,1.073,-0.334,0.984,-0.263,295.7,1,0.833,0.833,,27.369
pga,2022,2022,Sentry Tournament of Champions,16,"Gooch, Talor",18580,T15,1,Plantation Course at Kapalua,656,68,-0.468,1.188,-0.204,1.09,2.073,1.605,297.1,0.933,0.833,0.667,33.124,28.736
pga,2022,2022,Sentry Tournament of Champions,16,"Gooch, Talor",18580,T15,2,Plantation Course at Kapalua,656,70,-1.65,0.528,-1.118,0.056,-0.534,-2.184,293.8,0.867,0.833,0.5,47.177,33.456
pga,2022,2022,Sentry Tournament of Champions,16,"Gooch, Talor",18580,T15,3,Plantation Course at Kapalua,656,67,0.563,-1.169,1.341,-0.024,0.148,0.711,302.7,0.8,0.833,0.75,26.827,18.504
pga,2022,2022,Sentry Tournament of Champions,16,"Gooch, Talor",18580,T15,4,Plantation Course at Kapalua,656,67,-0.788,0.52,0.71,0.294,1.525,0.737,312.2,0.867,0.833,0.75,52.28,22.643
