bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1015,2022-01-13 12:22,15856,+900,2022-01-10 19:32,CUT,"Smith, Cameron",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+1601,2022-01-13 12:22,11049,+1500,2022-01-10 19:32,T61,"Simpson, Webb",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+1651,2022-01-13 12:22,17488,+1600,2022-01-10 19:32,CUT,"Im, Sungjae",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+1802,2022-01-13 12:22,7649,+2000,2022-01-10 19:32,T36,"Leishman, Marc",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
1,paid in full,+1802,2022-01-13 12:22,13562,+1800,2022-01-10 19:32,1,"Matsuyama, Hideki",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+2032,2022-01-13 12:22,17576,+2200,2022-01-10 19:32,11,"Conners, Corey",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+2807,2022-01-13 12:22,18580,+3000,2022-01-10 19:32,T27,"Gooch, Talor",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+2807,2022-01-13 12:22,18238,+2800,2022-01-10 19:32,CUT,"Ancer, Abraham",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+2881,2022-01-13 12:22,7452,+2500,2022-01-10 19:32,T20,"Na, Kevin",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+3389,2022-01-13 12:22,14578,+3300,2022-01-10 19:32,2,"Henley, Russell",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+3597,2022-01-13 12:22,11328,+3500,2022-01-10 19:32,T3,"Kisner, Kevin",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+3597,2022-01-13 12:22,14577,+3300,2022-01-10 19:32,T55,"English, Harris",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+4009,2022-01-13 12:22,10104,+4000,2022-01-10 19:32,T3,"Power, Seamus",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+4510,2022-01-13 12:22,12337,+4500,2022-01-10 19:32,T17,"Kokrak, Jason",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+4590,2022-01-13 12:22,18103,+5000,2022-01-10 19:32,T17,"Bezuidenhout, Christiaan",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+4964,2022-01-13 12:22,14609,+6000,2022-01-10 19:32,T55,"Kim, Si Woo",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+5128,2022-01-13 12:22,11276,+5000,2022-01-10 19:32,T36,"Horschel, Billy",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+5128,2022-01-13 12:22,8605,+4500,2022-01-10 19:32,CUT,"Jones, Matt",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+5135,2022-01-13 12:22,18634,+4500,2022-01-10 19:32,T27,"McNealy, Maverick",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+5512,2022-01-13 12:22,6892,+5500,2022-01-10 19:32,T36,"Howell III, Charles",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+5640,2022-01-13 12:22,17786,+5500,2022-01-10 19:32,T27,"Davis, Cameron",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+5979,2022-01-13 12:22,14509,+6000,2022-01-10 19:32,CUT,"Dahmen, Joel",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+6013,2022-01-13 12:22,11019,+8000,2022-01-10 19:32,CUT,"Steele, Brendan",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+6118,2022-01-13 12:22,12423,+8000,2022-01-10 19:32,T27,"Kirk, Chris",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+7686,2022-01-13 12:22,17550,+8000,2022-01-10 19:32,T20,"Van Rooyen, Erik",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+8017,2022-01-13 12:22,12808,+10000,2022-01-10 19:32,CUT,"Grillo, Emiliano",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+8179,2022-01-13 12:22,12425,+8000,2022-01-10 19:32,T48,"Todd, Brendon",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+8179,2022-01-13 12:22,15575,+8000,2022-01-10 19:32,CUT,"Hoge, Tom",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+8179,2022-01-13 12:22,7820,+8000,2022-01-10 19:32,T12,"Palmer, Ryan",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+8198,2022-01-13 12:22,19870,+7000,2022-01-10 19:32,T48,"McCarthy, Denny",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+8210,2022-01-13 12:22,17365,+7000,2022-01-10 19:32,T7,"Mitchell, Keith",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+9202,2022-01-13 12:22,5665,+10000,2022-01-10 19:32,T36,"Cink, Stewart",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+9222,2022-01-13 12:22,8825,+8000,2022-01-10 19:32,T48,"Harman, Brian",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+9235,2022-01-13 12:22,13497,+8000,2022-01-10 19:32,T48,"Lee, Kyounghoon",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+10022,2022-01-13 12:22,18474,+12500,2022-01-10 19:32,CUT,"Smalley, Alex",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+10223,2022-01-13 12:22,19729,+10000,2022-01-10 19:32,CUT,"Kanaya, Takumi",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+10223,2022-01-13 12:22,18554,+8000,2022-01-10 19:32,CUT,"Rai, Aaron",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+10223,2022-01-13 12:22,15473,+10000,2022-01-10 19:32,CUT,"Long, Adam",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+10223,2022-01-13 12:22,11952,+10000,2022-01-10 19:32,CUT,"Grace, Branden",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
0,loss,+10223,2022-01-13 12:22,13470,+10000,2022-01-10 19:32,T42,"Kizzire, Patton",pinnacle,2022-01-16,Sony Open in Hawaii,win,2022,2022,6
