date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Feb 13, 2022","WM Phoenix Open","Rahm, Jon",0.88685,0.04885,0.745,0.6462,0.48405,0.33785,0.24935,0.117925,T10
"Feb 13, 2022","WM Phoenix Open","Cantlay, Patrick",0.85055,0.033775,0.6641,0.55295,0.379625,0.244325,0.171,0.0709,2
"Feb 13, 2022","WM Phoenix Open","Thomas, Justin",0.8382,0.031775,0.637675,0.52535,0.352925,0.223475,0.15335,0.062875,T8
"Feb 13, 2022","WM Phoenix Open","Berger, Daniel",0.8261,0.02705,0.621,0.504825,0.329225,0.2037,0.1355,0.053375,CUT
"Feb 13, 2022","WM Phoenix Open","Matsuyama, Hideki",0.817575,0.026875,0.595025,0.480525,0.3122,0.19415,0.131025,0.050975,T8
"Feb 13, 2022","WM Phoenix Open","Hovland, Viktor",0.801725,0.02625,0.5788,0.461525,0.29515,0.17675,0.1165,0.044525,CUT
"Feb 13, 2022","WM Phoenix Open","Scheffler, Scottie",0.77715,0.021125,0.516375,0.400125,0.2432,0.1394,0.088475,0.032275,1
"Feb 13, 2022","WM Phoenix Open","Burns, Sam",0.7325,0.01965,0.460975,0.345575,0.20125,0.1095,0.0693,0.024025,CUT
"Feb 13, 2022","WM Phoenix Open","Schauffele, Xander",0.74195,0.017125,0.47095,0.3522,0.2007,0.108325,0.0677,0.0225,T3
"Feb 13, 2022","WM Phoenix Open","Henley, Russell",0.7315,0.017,0.45375,0.33605,0.189375,0.1013,0.062325,0.0214,T33
"Feb 13, 2022","WM Phoenix Open","Watson, Bubba",0.737975,0.016625,0.44965,0.332475,0.18695,0.099225,0.060925,0.021225,T14
"Feb 13, 2022","WM Phoenix Open","Oosthuizen, Louis",0.706575,0.015775,0.4163,0.303375,0.16905,0.08855,0.053675,0.0183,T14
"Feb 13, 2022","WM Phoenix Open","Fitzpatrick, Matthew",0.72475,0.013325,0.41845,0.3007,0.160675,0.082225,0.04935,0.0164,T10
"Feb 13, 2022","WM Phoenix Open","Gooch, Talor",0.724275,0.01365,0.4237,0.306,0.166375,0.086425,0.05195,0.01615,T26
"Feb 13, 2022","WM Phoenix Open","Varner III, Harold",0.7108,0.013475,0.399925,0.2876,0.1516,0.0763,0.0454,0.0149,CUT
"Feb 13, 2022","WM Phoenix Open","List, Luke",0.71605,0.011825,0.4061,0.2886,0.153325,0.079775,0.047825,0.014825,T53
"Feb 13, 2022","WM Phoenix Open","Power, Seamus",0.694225,0.013575,0.395025,0.282325,0.1517,0.0773,0.04575,0.014025,CUT
"Feb 13, 2022","WM Phoenix Open","Conners, Corey",0.69845,0.013625,0.398325,0.28495,0.150975,0.075175,0.04435,0.013999999999999999,T38
"Feb 13, 2022","WM Phoenix Open","Finau, Tony",0.71525,0.011575,0.4001,0.284225,0.14865,0.074725,0.043725,0.013425,CUT
"Feb 13, 2022","WM Phoenix Open","Spieth, Jordan",0.6639,0.01365,0.35675,0.24935,0.128875,0.065075,0.038925,0.012825,T60
"Feb 13, 2022","WM Phoenix Open","Horschel, Billy",0.702825,0.0103,0.3858,0.2707,0.1396,0.06765,0.0399,0.01275,T6
"Feb 13, 2022","WM Phoenix Open","Scott, Adam",0.696925,0.011375,0.37885,0.266225,0.139525,0.06905,0.0404,0.012275,T38
"Feb 13, 2022","WM Phoenix Open","Wise, Aaron",0.678025,0.010675,0.35795,0.25025,0.1296,0.063,0.037225,0.0107,CUT
