tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Niemann, Joaquin",18079,7800,0.1173,1,0,0,0,0,103.0,30,133.0
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Young, Cameron",26651,6700,0.0275,T2,3,3,0,0,88.0,20,114.0
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Morikawa, Collin",22085,10400,0.1301,T2,0,0,0,5,88.5,20,113.5
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Scott, Adam",6430,8200,0.1688,T4,3,3,0,0,89.5,16,111.5
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Hovland, Viktor",18841,9400,0.1325,T4,6,3,0,0,84.5,16,109.5
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Thomas, Justin",14139,10700,0.1194,6,3,3,0,0,82.5,12,100.5
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Scheffler, Scottie",18417,9200,0.0883,T7,3,0,0,0,80.5,10,93.5
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"McNealy, Maverick",18634,7200,0.0865,T7,0,0,0,5,77.5,10,92.5
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Jones, Matt",8605,6900,0.0088,T15,3,0,0,0,82.5,6,91.5
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Homa, Max",17538,8300,0.1137,T10,3,0,0,0,81.0,7,91.0
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Reavie, Chez",7961,6300,0.0024,T10,0,3,0,0,76.5,7,86.5
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Lee, Danny",11826,6100,0.0018,T21,3,0,0,0,79.0,4,86.0
pga,2022,2022,The Genesis Invitational,7,draftkings,PGA TOUR $1.2M Pitch + Putt [$300K to 1st],"Grillo, Emiliano",12808,6300,0.0082,T21,3,3,0,0,75.5,4,85.5
