date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Rahm, Jon",0.887575,0.043825,0.7271,0.625325,0.45955,0.319775,0.23405,0.1094,T17
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Hovland, Viktor",0.827375,0.025325,0.594825,0.475375,0.307675,0.186875,0.126025,0.049725,T2
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","McIlroy, Rory",0.80925,0.02815,0.57485,0.459375,0.292175,0.176825,0.119175,0.0489,T13
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Scheffler, Scottie",0.800025,0.029225,0.55255,0.434275,0.27335,0.1625,0.10855,0.042625,1
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Im, Sungjae",0.787475,0.025675,0.534175,0.415925,0.256825,0.1505,0.09915,0.0364,T20
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Matsuyama, Hideki",0.7795,0.023,0.51415,0.39505,0.237525,0.136175,0.0891,0.033775,T20
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Fitzpatrick, Matthew",0.756675,0.0195,0.468175,0.34955,0.202075,0.1149,0.07265,0.0268,T9
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Burns, Sam",0.734425,0.0148,0.422325,0.3059,0.173875,0.09625,0.05945,0.020125,T9
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Garcia, Sergio",0.745875,0.013425,0.436025,0.315325,0.1733,0.0921,0.057375,0.019525,T38
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Zalatoris, Will",0.7293,0.0147,0.42315,0.303725,0.16715,0.08835,0.054475,0.01845,T38
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Hatton, Tyrrell",0.723525,0.013725,0.40605,0.294575,0.1631,0.086625,0.05265,0.018125,T2
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Horschel, Billy",0.7319,0.01305,0.410775,0.2918,0.155375,0.080125,0.048125,0.017225,T2
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Leishman, Marc",0.725875,0.0119,0.402025,0.288275,0.1569,0.0822,0.048975,0.0168,T68
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","McNealy, Maverick",0.718275,0.0123,0.392425,0.27805,0.149125,0.07725,0.048575,0.0167,73
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Scott, Adam",0.709625,0.01375,0.398175,0.284725,0.15385,0.079225,0.047775,0.016175,T26
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Power, Seamus",0.721525,0.012525,0.3967,0.284,0.149675,0.077725,0.047,0.01565,CUT
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Gooch, Talor",0.69525,0.015,0.374425,0.264325,0.140175,0.072975,0.04465,0.015075,T7
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Conners, Corey",0.730975,0.01285,0.4071,0.287625,0.154,0.079325,0.0477,0.01495,T11
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Casey, Paul",0.717725,0.012325,0.38615,0.273325,0.145475,0.074075,0.04465,0.01455,72
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Mitchell, Keith",0.702375,0.013999999999999999,0.38425,0.270825,0.144975,0.074775,0.04635,0.0144,T61
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","List, Luke",0.69505,0.0128,0.369225,0.258625,0.136525,0.06755,0.0407,0.013725,CUT
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Na, Kevin",0.691425,0.011525,0.3544,0.24535,0.12775,0.064425,0.0389,0.01305,CUT
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Rose, Justin",0.67475,0.014225,0.349525,0.245125,0.1279,0.065825,0.03875,0.0129,CUT
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Kokrak, Jason",0.691275,0.012325,0.353775,0.247275,0.129525,0.064875,0.039225,0.012425,T26
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Kim, Si Woo",0.6761,0.012875,0.347675,0.240725,0.123375,0.0622,0.03605,0.011425,T26
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Henley, Russell",0.692775,0.01345,0.370475,0.258575,0.13405,0.065275,0.0384,0.0114,T13
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Homa, Max",0.65975,0.011825,0.327325,0.2262,0.1157,0.058475,0.03435,0.011125,T17
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Griffin, Lanto",0.68775,0.010075,0.341775,0.23325,0.117675,0.0586,0.033125,0.0108,T52
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Hoge, Tom",0.687675,0.010425,0.342125,0.233975,0.117325,0.058175,0.034425,0.0106,T32
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Bradley, Keegan",0.666575,0.012025,0.331875,0.22905,0.11425,0.055575,0.031975,0.0103,T11
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Van Rooyen, Erik",0.67505,0.0105,0.329225,0.224525,0.111725,0.0552,0.03275,0.01005,CUT
"Mar 6, 2022","Arnold Palmer Invitational presented by Mastercard","Fleetwood, Tommy",0.6903,0.009875,0.3485,0.23895,0.11895,0.057275,0.033275,0.00985,T20
