tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Scheffler, Scottie",18417,10600,0.141,1,0,0,0,0,76.5,30,106.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Horschel, Billy",11276,8900,0.0968,T2,3,0,0,0,73.5,20,96.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Hovland, Viktor",18841,10800,0.1363,T2,3,0,0,0,71.0,20,94.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Hatton, Tyrrell",14796,9300,0.1001,T2,0,0,0,0,72.5,20,92.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Woodland, Gary",12577,7800,0.0509,T5,0,3,0,0,68.5,14,85.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Kirk, Chris",12423,7500,0.141,T5,0,0,0,0,70.0,14,84.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Gooch, Talor",18580,8600,0.0623,T7,0,0,0,0,67.0,10,77.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Burns, Sam",19483,8800,0.0789,T9,0,0,0,0,68.0,8,76.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Young, Cameron",26651,7500,0.157,T13,3,0,0,0,66.0,6,75.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Herbert, Lucas",17064,6400,0.0024,T7,0,0,0,0,63.0,10,73.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Watney, Nick",7955,6000,0.0057,T20,0,0,0,0,67.5,5,72.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Henley, Russell",14578,8500,0.096,T13,3,0,0,0,62.5,6,71.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Hossler, Beau",15470,6700,0.0193,T20,0,0,0,0,66.0,5,71.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"McDowell, Graeme",7548,6100,0.0014,T13,3,0,0,0,61.0,6,70.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Homa, Max",17538,8700,0.0869,T17,0,0,5,0,58.5,5,68.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"McIlroy, Rory",10091,11100,0.2337,T13,0,0,0,0,62.5,6,68.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Zalatoris, Will",19428,9400,0.2159,T38,6,0,0,0,56.5,2,64.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Bradley, Keegan",13872,7300,0.086,T11,0,0,0,0,58.5,6,64.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Fitzpatrick, Matt",17646,9200,0.2136,T9,0,3,0,0,53.0,8,64.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Pendrith, Taylor",17780,6500,0.0287,T42,3,0,0,0,59.5,1,63.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Garcia, Sergio",5689,8100,0.0832,T38,0,0,0,0,60.5,2,62.5
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Lee, K.H.",13497,7000,0.0211,T42,3,0,0,0,57.0,1,61.0
pga,2022,2022,Arnold Palmer Invitational presented by Mastercard,9,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Scott, Adam",6430,9000,0.1405,T26,0,0,0,0,57.5,3,60.5
