"","1","2","3","4","5","6"
"1",21259308,21259197,21272894,21259283,21259198,21259214
"2",21259279,21259276,21259197,21259198,21259286,21259249
"3",21259197,21259292,21259301,21259271,21259198,21259264
"4",21259275,21259309,21259282,21259197,21259263,21259198
"5",21259225,21259315,21259325,21259197,21259201,21259217
"6",21259197,21259294,21259213,21259319,21259201,21259276
"7",21259216,21259228,21259202,21259287,21259197,21259288
"8",21259199,21259233,21259197,21259225,21259305,21259318
"9",21259305,21259231,21259197,21259230,21259251,21259201
"10",21259302,21259238,21259226,21259197,21259201,21259252
"11",21259229,21259284,21259259,21259197,21259266,21259199
"12",21259197,21259229,21259200,21259255,21259282,21259242
"13",21259200,21272897,21259214,21259197,21259305,21259272
"14",21259251,21259201,21259197,21259320,21259219,21259312
"15",21259317,21259203,21259220,21259316,21259197,21259214
"16",21272895,21259206,21259197,21259291,21259253,21259207
"17",21259201,21259252,21259228,21259304,21259197,21259243
"18",21259217,21259197,21259285,21259199,21259313,21259303
"19",21259199,21259271,21259197,21259318,21259242,21259272
"20",21259219,21259299,21259203,21259197,21259304,21259215
