tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Smith, Cameron",15856,9400,0.096,1,6,0,0,0,85.0,30,121.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Lahiri, Anirban",12669,6100,0.0005,2,0,0,0,0,87.5,20,107.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Kisner, Kevin",11328,7100,0.0153,4,3,0,0,0,80.5,16,99.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Casey, Paul",7108,7400,0.0694,3,3,3,0,0,74.0,18,98.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Hovland, Viktor",18841,10100,0.1372,T9,3,0,5,0,80.5,8,96.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Bradley, Keegan",13872,6900,0.072,5,6,0,0,0,76.0,14,96.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Henley, Russell",14578,7400,0.1325,T13,3,0,0,0,85.5,6,94.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Johnson, Dustin",12422,9800,0.0592,T9,3,0,0,0,83.0,8,94.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Kizzire, Patton",13470,6900,0.0088,T22,3,0,0,0,81.5,4,88.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Varner III, Harold",16602,6800,0.0078,T6,3,0,0,0,72.5,12,87.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Ghim, Doug",24550,6400,0.0052,T6,3,0,0,0,71.5,12,86.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Steele, Brendan",11019,6500,0.0028,T13,0,0,0,0,77.5,6,83.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Straka, Sepp",17511,7000,0.0061,T9,3,0,0,0,72.5,8,83.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Mitchell, Keith",17365,7100,0.0262,T13,3,0,0,0,73.5,6,82.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Lowry, Shane",13900,8000,0.1285,T13,0,0,5,0,71.5,6,82.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Knox, Russell",13831,7100,0.0194,T6,0,3,0,0,66.5,12,81.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"van Rooyen, Erik",17550,7100,0.0073,T13,0,0,0,0,74.5,6,80.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Hadwin, Adam",13965,6500,0.0273,T9,0,0,0,0,71.0,8,79.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Hatton, Tyrrell",14796,7800,0.122,T13,0,0,0,0,72.5,6,78.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Berger, Daniel",17606,8800,0.241,T13,3,0,0,0,69.0,6,78.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Pendrith, Taylor",17780,6200,0.0078,T13,0,3,0,0,69.0,6,78.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Niemann, Joaquin",18079,8400,0.0753,T22,3,0,0,0,70.5,4,77.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Homa, Max",17538,7500,0.0814,T13,3,0,0,0,68.0,6,77.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Streelman, Kevin",8480,6400,0.0043,T22,3,0,0,0,70.0,4,77.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Zalatoris, Will",19428,8900,0.0977,T26,3,0,0,0,69.5,3,75.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Redman, Doc",24481,7100,0.001,T26,3,0,0,0,69.0,3,75.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Reed, Patrick",14838,7300,0.0151,T26,0,0,0,0,70.0,3,73.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Burns, Sam",19483,7900,0.0891,T26,0,0,0,0,70.0,3,73.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"McIlroy, Rory",10091,10800,0.11,T33,3,3,0,0,64.5,2,72.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Garcia, Sergio",5689,7400,0.0787,T26,0,0,0,0,69.0,3,72.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Fleetwood, Tommy",12294,7400,0.0464,T22,3,0,0,0,65.0,4,72.0
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Thomas, Justin",14139,10400,0.2273,T33,0,3,0,0,66.5,2,71.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Power, Seamus",10104,7200,0.0249,T33,0,0,0,0,68.5,2,70.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Munoz, Sebastian",20770,6700,0.0269,T33,3,3,0,0,62.5,2,70.5
pga,2022,2022,THE PLAYERS Championship,11,draftkings,$2.5M Fantasy Golf  Millionaire [$1M to 1st + ToC Semifinal Entry] (PGA TOUR),"Noren, Alex",10419,7000,0.0687,T26,0,0,0,0,67.0,3,70.0
