bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1083,2022-03-10 02:01,19195,+1400,2022-03-07 15:22,T55,"Rahm, Jon",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+1450,2022-03-10 02:01,22085,+1592,2022-03-07 15:22,CUT,"Morikawa, Collin",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+1603,2022-03-10 02:01,14139,+1600,2022-03-07 15:22,T33,"Thomas, Justin",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+2071,2022-03-10 02:01,18841,+2000,2022-03-07 15:22,T9,"Hovland, Viktor",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+2197,2022-03-10 02:01,15466,+2000,2022-03-07 15:22,CUT,"Cantlay, Patrick",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+2310,2022-03-10 02:01,10091,+2400,2022-03-07 15:22,T33,"McIlroy, Rory",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+2325,2022-03-10 02:01,17606,+2800,2022-03-07 15:22,T13,"Berger, Daniel",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+2501,2022-03-10 02:01,18417,+2600,2022-03-07 15:22,T55,"Scheffler, Scottie",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+2828,2022-03-10 02:01,19895,+3304,2022-03-07 15:22,CUT,"Schauffele, Xander",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+3104,2022-03-10 02:01,16243,+4648,2022-03-07 15:22,CUT,"Koepka, Brooks",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
1,paid in full,+3585,2022-03-10 02:01,15856,+3504,2022-03-07 15:22,1,"Smith, Cameron",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+3621,2022-03-10 02:01,17646,+4005,2022-03-07 15:22,CUT,"Fitzpatrick, Matthew",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+3917,2022-03-10 02:01,12422,+3881,2022-03-07 15:22,T9,"Johnson, Dustin",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+4076,2022-03-10 02:01,13900,+5006,2022-03-07 15:22,T13,"Lowry, Shane",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+4158,2022-03-10 02:01,17576,+5506,2022-03-07 15:22,T26,"Conners, Corey",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+4511,2022-03-10 02:01,17488,+4505,2022-03-07 15:22,T55,"Im, Sungjae",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+4671,2022-03-10 02:01,14796,+5506,2022-03-07 15:22,T13,"Hatton, Tyrrell",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+4692,2022-03-10 02:01,14578,+5506,2022-03-07 15:22,T13,"Henley, Russell",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+4877,2022-03-10 02:01,19428,+5318,2022-03-07 15:22,T26,"Zalatoris, Will",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+4912,2022-03-10 02:01,7672,+5006,2022-03-07 15:22,T42,"Oosthuizen, Louis",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+4989,2022-03-10 02:01,11276,+4505,2022-03-07 15:22,WD,"Horschel, Billy",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+5069,2022-03-10 02:01,14636,+5785,2022-03-07 15:22,CUT,"Spieth, Jordan",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+5221,2022-03-10 02:01,6430,+5006,2022-03-07 15:22,CUT,"Scott, Adam",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+5359,2022-03-10 02:01,19483,+5506,2022-03-07 15:22,T26,"Burns, Sam",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+5471,2022-03-10 02:01,18079,+5006,2022-03-07 15:22,T22,"Niemann, Joaquin",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+6330,2022-03-10 02:01,14609,+7008,2022-03-07 15:22,WD,"Kim, Si Woo",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+6620,2022-03-10 02:01,18238,+6608,2022-03-07 15:22,T33,"Ancer, Abraham",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+6653,2022-03-10 02:01,18580,+5986,2022-03-07 15:22,CUT,"Gooch, Talor",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+7084,2022-03-10 02:01,12423,+7460,2022-03-07 15:22,CUT,"Kirk, Chris",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+7514,2022-03-10 02:01,12577,+7960,2022-03-07 15:22,CUT,"Woodland, Gary",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+7664,2022-03-10 02:01,9771,+10016,2022-03-07 15:22,CUT,"Day, Jason",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+7937,2022-03-10 02:01,5689,+6608,2022-03-07 15:22,T26,"Garcia, Sergio",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+8060,2022-03-10 02:01,7108,+7008,2022-03-07 15:22,3,"Casey, Paul",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+8064,2022-03-10 02:01,15575,+6690,2022-03-07 15:22,T33,"Hoge, Tom",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+8547,2022-03-10 02:01,11676,+8511,2022-03-07 15:22,CUT,"Finau, Tony",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+8606,2022-03-10 02:01,17538,+8009,2022-03-07 15:22,T13,"Homa, Max",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+8731,2022-03-10 02:01,12337,+9958,2022-03-07 15:22,T53,"Kokrak, Jason",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+8734,2022-03-10 02:01,13872,+8040,2022-03-07 15:22,5,"Bradley, Keegan",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
0,loss,+8811,2022-03-10 02:01,11049,+6007,2022-03-07 15:22,CUT,"Simpson, Webb",pinnacle,2022-03-13,THE PLAYERS Championship,win,2022,2022,11
