tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,THE PLAYERS Championship,11,"Smith, Cameron",15856,1,1,TPC Sawgrass,11,69,2.887,-0.311,0.499,-0.174,0.015,2.902,290.5,0.571,0.722,0.833,36.32,33.682
pga,2022,2022,THE PLAYERS Championship,11,"Smith, Cameron",15856,1,2,TPC Sawgrass,11,71,4.241,1.194,0.436,-2.414,-0.784,3.457,272.9,0.429,0.444,0.714,32.277,32.922
pga,2022,2022,THE PLAYERS Championship,11,"Smith, Cameron",15856,1,3,TPC Sawgrass,11,69,0.25,0.551,2.888,-1.232,2.207,2.457,283.1,0.429,0.611,1.0,35.196,18.434
pga,2022,2022,THE PLAYERS Championship,11,"Smith, Cameron",15856,1,4,TPC Sawgrass,11,66,4.143,-0.039,2.822,-1.369,1.414,5.571,277.8,0.571,0.722,0.714,63.932,29.373
pga,2022,2022,THE PLAYERS Championship,11,"Lahiri, Anirban",12669,2,1,TPC Sawgrass,11,67,1.43,-0.858,3.388,0.941,3.472,4.902,278.8,0.786,0.833,1.0,30.676,31.136
pga,2022,2022,THE PLAYERS Championship,11,"Lahiri, Anirban",12669,2,2,TPC Sawgrass,11,73,-1.355,0.795,0.435,1.582,2.812,1.457,274.5,0.786,0.667,0.5,49.815,35.588
pga,2022,2022,THE PLAYERS Championship,11,"Lahiri, Anirban",12669,2,3,TPC Sawgrass,11,67,3.471,-1.347,1.75,0.583,0.986,4.457,274.4,0.786,0.778,0.833,32.656,31.879
pga,2022,2022,THE PLAYERS Championship,11,"Lahiri, Anirban",12669,2,4,TPC Sawgrass,11,69,2.107,1.483,-1.395,0.362,0.45,2.571,275.9,0.714,0.611,0.857,31.966,39.17
pga,2022,2022,THE PLAYERS Championship,11,"Casey, Paul",7108,3,1,TPC Sawgrass,11,70,-0.597,0.067,2.487,-0.056,2.499,1.902,283.7,0.714,0.722,0.75,39.758,25.416
pga,2022,2022,THE PLAYERS Championship,11,"Casey, Paul",7108,3,2,TPC Sawgrass,11,69,3.486,0.32,2.425,-0.774,1.971,5.457,274.6,0.643,0.611,0.833,24.533,33.486
pga,2022,2022,THE PLAYERS Championship,11,"Casey, Paul",7108,3,3,TPC Sawgrass,11,69,0.513,-0.395,2.451,-0.112,1.944,2.457,276.1,0.571,0.778,0.833,35.533,25.881
pga,2022,2022,THE PLAYERS Championship,11,"Casey, Paul",7108,3,4,TPC Sawgrass,11,69,1.476,1.543,-0.312,-0.15,1.081,2.571,273.4,0.571,0.611,0.818,46.161,40.085
pga,2022,2022,THE PLAYERS Championship,11,"Kisner, Kevin",11328,4,1,TPC Sawgrass,11,68,0.184,2.815,0.762,0.14,3.718,3.902,271.2,0.571,0.667,0.778,53.759,31.902
pga,2022,2022,THE PLAYERS Championship,11,"Kisner, Kevin",11328,4,2,TPC Sawgrass,11,74,-0.487,1.557,-1.388,0.775,0.944,0.457,266.8,0.643,0.667,0.714,17.396,43.195
pga,2022,2022,THE PLAYERS Championship,11,"Kisner, Kevin",11328,4,3,TPC Sawgrass,11,68,3.193,0.619,-1.315,0.96,0.264,3.457,269.2,0.857,0.667,0.857,32.964,29.657
pga,2022,2022,THE PLAYERS Championship,11,"Kisner, Kevin",11328,4,4,TPC Sawgrass,11,68,3.001,0.998,-0.613,0.171,0.556,3.571,265.4,0.786,0.722,0.8,61.501,33.497
pga,2022,2022,THE PLAYERS Championship,11,"Bradley, Keegan",13872,5,1,TPC Sawgrass,11,72,-1.445,-0.14,-0.326,1.812,1.347,-0.098,282.4,0.714,0.778,0.667,76.41,29.915
pga,2022,2022,THE PLAYERS Championship,11,"Bradley, Keegan",13872,5,2,TPC Sawgrass,11,71,-0.214,0.023,1.799,1.849,3.671,3.457,286.7,0.643,0.778,0.833,44.759,34.159
pga,2022,2022,THE PLAYERS Championship,11,"Bradley, Keegan",13872,5,3,TPC Sawgrass,11,68,-1.598,1.487,1.8,1.768,5.055,3.457,283.4,0.857,0.611,0.625,47.982,23.161
pga,2022,2022,THE PLAYERS Championship,11,"Bradley, Keegan",13872,5,4,TPC Sawgrass,11,68,2.195,-0.083,1.353,0.092,1.362,3.571,286.3,0.714,0.778,0.714,56.857,31.722
pga,2022,2022,THE PLAYERS Championship,11,"Knox, Russell",13831,T6,1,TPC Sawgrass,11,71,0.655,0.131,-1.044,1.159,0.247,0.902,282.1,0.714,0.833,0.8,41.187,36.859
pga,2022,2022,THE PLAYERS Championship,11,"Knox, Russell",13831,T6,2,TPC Sawgrass,11,71,0.355,0.488,0.669,1.945,3.102,3.457,272.8,0.857,0.722,0.4,66.048,40.404
pga,2022,2022,THE PLAYERS Championship,11,"Knox, Russell",13831,T6,3,TPC Sawgrass,11,68,-0.142,2.726,0.132,0.741,3.599,3.457,272.1,0.857,0.833,0.833,19.868,28.965
pga,2022,2022,THE PLAYERS Championship,11,"Knox, Russell",13831,T6,4,TPC Sawgrass,11,70,0.639,0.471,1.361,-0.914,0.918,1.571,270.1,0.643,0.889,0.667,55.021,33.151
pga,2022,2022,THE PLAYERS Championship,11,"Varner III, Harold",16602,T6,1,TPC Sawgrass,11,69,1.698,-0.089,0.117,1.175,1.204,2.902,284.7,0.786,0.778,0.714,27.685,36.223
pga,2022,2022,THE PLAYERS Championship,11,"Varner III, Harold",16602,T6,2,TPC Sawgrass,11,69,2.771,-0.168,1.594,1.26,2.686,5.457,271.1,0.786,0.667,0.889,37.666,40.59
pga,2022,2022,THE PLAYERS Championship,11,"Varner III, Harold",16602,T6,3,TPC Sawgrass,11,72,-3.778,0.747,2.697,-0.209,3.235,-0.543,278.0,0.714,0.833,0.5,44.534,27.831
pga,2022,2022,THE PLAYERS Championship,11,"Varner III, Harold",16602,T6,4,TPC Sawgrass,11,70,-0.154,0.236,0.745,0.73,1.711,1.571,279.3,0.714,0.778,0.571,42.088,34.515
pga,2022,2022,THE PLAYERS Championship,11,"Ghim, Doug",24550,T6,1,TPC Sawgrass,11,70,-0.416,0.016,2.28,0.021,2.318,1.902,267.1,0.571,0.833,0.5,31.631,27.15
pga,2022,2022,THE PLAYERS Championship,11,"Ghim, Doug",24550,T6,2,TPC Sawgrass,11,70,2.085,1.063,-0.053,1.362,2.372,4.457,270.4,0.714,0.722,0.889,70.028,40.545
pga,2022,2022,THE PLAYERS Championship,11,"Ghim, Doug",24550,T6,3,TPC Sawgrass,11,68,2.1,-0.382,0.363,1.376,1.357,3.457,267.5,1.0,0.778,0.857,,33.801
pga,2022,2022,THE PLAYERS Championship,11,"Ghim, Doug",24550,T6,4,TPC Sawgrass,11,72,-2.424,-0.066,1.033,1.014,1.981,-0.429,273.4,0.929,0.722,0.6,39.31,38.946
pga,2022,2022,THE PLAYERS Championship,11,"Johnson, Dustin",12422,T9,1,TPC Sawgrass,11,69,0.617,-0.497,1.643,1.138,2.285,2.902,293.0,0.571,0.833,0.75,30.01,32.242
pga,2022,2022,THE PLAYERS Championship,11,"Johnson, Dustin",12422,T9,2,TPC Sawgrass,11,73,0.754,1.049,-0.762,0.416,0.703,1.457,271.3,0.429,0.667,0.75,34.611,36.297
pga,2022,2022,THE PLAYERS Championship,11,"Johnson, Dustin",12422,T9,3,TPC Sawgrass,11,76,-0.681,-1.404,-1.335,-1.123,-3.862,-4.543,284.7,0.571,0.556,0.6,49.842,29.076
pga,2022,2022,THE PLAYERS Championship,11,"Johnson, Dustin",12422,T9,4,TPC Sawgrass,11,63,4.674,-0.957,3.02,1.82,3.883,8.571,295.5,0.714,0.833,0.667,42.105,21.992
pga,2022,2022,THE PLAYERS Championship,11,"Hadwin, Adam",13965,T9,1,TPC Sawgrass,11,72,2.725,-0.175,-0.656,-1.993,-2.823,-0.098,281.0,0.5,0.556,0.667,49.797,36.934
pga,2022,2022,THE PLAYERS Championship,11,"Hadwin, Adam",13965,T9,2,TPC Sawgrass,11,72,-1.867,0.308,2.042,1.974,4.324,2.457,281.8,0.714,0.667,0.667,22.643,30.72
pga,2022,2022,THE PLAYERS Championship,11,"Hadwin, Adam",13965,T9,3,TPC Sawgrass,11,70,0.973,-0.115,2.339,-1.74,0.484,1.457,274.2,0.714,0.667,1.0,47.686,26.682
pga,2022,2022,THE PLAYERS Championship,11,"Hadwin, Adam",13965,T9,4,TPC Sawgrass,11,67,3.875,-0.446,0.45,0.678,0.682,4.571,282.6,0.786,0.556,0.727,34.253,34.888
pga,2022,2022,THE PLAYERS Championship,11,"Straka, Sepp",17511,T9,1,TPC Sawgrass,11,69,2.574,-0.567,-0.74,1.634,0.328,2.902,284.9,0.786,0.833,0.6,47.907,43.879
pga,2022,2022,THE PLAYERS Championship,11,"Straka, Sepp",17511,T9,2,TPC Sawgrass,11,74,2.15,0.214,-3.438,1.531,-1.693,0.457,280.6,0.571,0.722,0.667,44.358,32.683
pga,2022,2022,THE PLAYERS Championship,11,"Straka, Sepp",17511,T9,3,TPC Sawgrass,11,71,-0.555,-0.159,1.008,0.163,1.012,0.457,278.2,0.5,0.778,0.5,44.135,24.212
pga,2022,2022,THE PLAYERS Championship,11,"Straka, Sepp",17511,T9,4,TPC Sawgrass,11,67,1.829,0.599,2.039,0.09,2.728,4.571,285.5,0.643,0.778,0.857,35.032,31.569
pga,2022,2022,THE PLAYERS Championship,11,"Hovland, Viktor",18841,T9,1,TPC Sawgrass,11,71,-1.855,-1.17,2.512,1.414,2.757,0.902,285.7,0.857,0.778,0.286,,30.372
pga,2022,2022,THE PLAYERS Championship,11,"Hovland, Viktor",18841,T9,2,TPC Sawgrass,11,73,-0.712,0.131,0.604,1.434,2.169,1.457,275.0,0.714,0.778,0.6,22.588,38.651
pga,2022,2022,THE PLAYERS Championship,11,"Hovland, Viktor",18841,T9,3,TPC Sawgrass,11,68,-1.993,0.214,3.614,1.622,5.45,3.457,282.9,0.786,1.0,0.75,40.557,33.543
pga,2022,2022,THE PLAYERS Championship,11,"Hovland, Viktor",18841,T9,4,TPC Sawgrass,11,69,1.417,-1.83,2.759,0.211,1.14,2.571,286.8,0.929,0.722,0.5,20.684,28.988
pga,2022,2022,THE PLAYERS Championship,11,"Steele, Brendan",11019,T13,1,TPC Sawgrass,11,73,-1.624,-0.256,-1.607,2.388,0.526,-1.098,281.9,0.929,0.611,0.667,57.212,32.217
pga,2022,2022,THE PLAYERS Championship,11,"Steele, Brendan",11019,T13,2,TPC Sawgrass,11,69,2.354,-0.293,1.296,2.1,3.103,5.457,280.7,0.786,0.778,0.5,28.527,37.282
pga,2022,2022,THE PLAYERS Championship,11,"Steele, Brendan",11019,T13,3,TPC Sawgrass,11,69,-0.925,-1.041,2.604,1.819,3.382,2.457,281.6,0.857,0.778,0.571,32.64,26.42
