tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Burns, Sam",19483,9600,0.1609,1,3,0,0,5,94.0,30,132.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"NeSmith, Matthew",16433,6800,0.0193,T3,3,6,0,0,87.5,18,114.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Riley, Davis",19872,6400,0.0106,2,0,3,0,0,91.5,20,114.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Harman, Brian",8825,7600,0.0864,T5,6,3,0,5,85.5,14,113.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Thomas, Justin",14139,11000,0.1999,T3,6,0,0,0,88.0,18,112.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Fitzpatrick, Matt",17646,9000,0.1751,T5,0,3,0,5,75.5,14,97.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Cink, Stewart",5665,7000,0.0066,T7,0,3,0,5,75.0,10,93.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Streelman, Kevin",8480,7700,0.0471,T7,3,3,0,5,70.5,10,91.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Streb, Robert",14852,6300,0.0038,T7,3,0,0,0,78.5,10,91.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hadwin, Adam",13965,7900,0.1629,T7,6,0,0,0,75.0,10,91.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Stuard, Brian",13022,6700,0.0107,T16,3,3,0,5,74.0,5,90.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Noren, Alex",10419,8700,0.1554,T12,0,3,0,0,80.5,6,89.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Theegala, Sahith",23014,7200,0.0366,T7,0,0,0,0,79.0,10,89.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Woodland, Gary",12577,8500,0.0852,T21,6,3,0,0,74.0,4,87.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Koepka, Brooks",16243,9400,0.0716,T12,0,3,0,0,76.5,6,85.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Schauffele, Xander",19895,10300,0.1128,T12,0,3,0,0,76.0,6,85.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Lowry, Shane",13900,9700,0.0933,T12,0,3,0,5,69.5,6,83.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Vegas, Jhonattan",13508,7500,0.0689,T27,0,0,0,0,79.5,3,82.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Donald, Luke",4163,6500,0.0046,T16,3,0,0,0,74.5,5,82.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Kuchar, Matt",6169,7000,0.0309,T16,0,3,0,0,74.0,5,82.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Stallings, Scott",12359,7100,0.0249,T16,0,3,0,0,73.0,5,81.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Merritt, Troy",13367,6600,0.131,T27,3,0,0,0,74.0,3,80.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Duncan, Tyler",18187,6200,0.0141,T25,0,0,0,0,75.5,4,79.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Fleetwood, Tommy",12294,9100,0.0641,T16,0,0,0,0,74.0,5,79.0
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Lee, Danny",11826,6600,0.0172,T48,3,0,0,0,74.5,1,78.5
pga,2022,2022,Valspar Championship,475,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hatton, Tyrrell",14796,9800,0.1086,T21,0,0,0,0,74.5,4,78.5
