bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+965,2022-03-16 20:55,14139,+1292,2022-03-15 11:23,T3,"Thomas, Justin",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+1255,2022-03-16 20:55,18841,+1327,2022-03-15 11:23,T33,"Hovland, Viktor",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+1497,2022-03-16 20:55,22085,+1396,2022-03-15 11:23,T68,"Morikawa, Collin",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+1700,2022-03-16 20:55,12422,+2685,2022-03-15 11:23,T39,"Johnson, Dustin",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+2233,2022-03-16 20:55,19895,+2800,2022-03-15 11:23,T12,"Schauffele, Xander",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
1,paid in full,+2672,2022-03-16 20:55,19483,+2487,2022-03-15 11:23,1,"Burns, Sam",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+2719,2022-03-16 20:55,7672,+2158,2022-03-15 11:23,T62,"Oosthuizen, Louis",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+3020,2022-03-16 20:55,13900,+3072,2022-03-15 11:23,T12,"Lowry, Shane",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+3294,2022-03-16 20:55,14796,+3504,2022-03-15 11:23,T21,"Hatton, Tyrrell",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+3525,2022-03-16 20:55,17646,+3446,2022-03-15 11:23,T5,"Fitzpatrick, Matthew",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+3667,2022-03-16 20:55,18238,+4022,2022-03-15 11:23,CUT,"Ancer, Abraham",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+4241,2022-03-16 20:55,16243,+4849,2022-03-15 11:23,T12,"Koepka, Brooks",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+4457,2022-03-16 20:55,12337,+4946,2022-03-15 11:23,CUT,"Kokrak, Jason",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+4837,2022-03-16 20:55,13872,+4449,2022-03-15 11:23,CUT,"Bradley, Keegan",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+5134,2022-03-16 20:55,11049,+4041,2022-03-15 11:23,T48,"Simpson, Webb",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+5246,2022-03-16 20:55,12577,+6375,2022-03-15 11:23,T21,"Woodland, Gary",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+5904,2022-03-16 20:55,10419,+5425,2022-03-15 11:23,T12,"Noren, Alex",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+6284,2022-03-16 20:55,13965,+6839,2022-03-15 11:23,T7,"Hadwin, Adam",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+6326,2022-03-16 20:55,13831,+6095,2022-03-15 11:23,T57,"Knox, Russell",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+6552,2022-03-16 20:55,7334,+5391,2022-03-15 11:23,CUT,"Watson, Bubba",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+6606,2022-03-16 20:55,18103,+5881,2022-03-15 11:23,T62,"Bezuidenhout, Christiaan",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+6720,2022-03-16 20:55,22051,+5840,2022-03-15 11:23,CUT,"Wise, Aaron",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+6939,2022-03-16 20:55,9771,+7671,2022-03-15 11:23,CUT,"Day, Jason",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+7095,2022-03-16 20:55,14013,+7516,2022-03-15 11:23,T62,"Tringale, Cameron",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
0,loss,+7228,2022-03-16 20:55,12294,+5840,2022-03-15 11:23,T16,"Fleetwood, Tommy",pinnacle,2022-03-20,Valspar Championship,win,2022,2022,475
