tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Ramey, Chad",19840,7800,0.0456,1,3,3,0,0,90.0,30,126.0
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Smalley, Alex",18474,9000,0.1416,T2,3,3,0,0,93.0,20,119.0
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Martin, Ben",14007,6400,0.0085,T2,6,0,0,0,91.5,20,117.5
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Percy, Cameron",5874,7200,0.0288,T4,3,0,0,0,90.5,16,109.5
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Vegas, Jhonattan",13508,10600,0.2343,T4,0,3,0,0,89.0,16,108.0
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Lipsky, David",15980,7900,0.1087,T7,3,0,0,0,90.0,10,103.0
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Trainer, Martin",15634,6200,0.0045,T7,0,6,0,0,82.5,10,98.5
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Hojgaard, Rasmus",23838,8600,0.0889,6,0,6,0,0,79.5,12,97.5
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Schenk, Adam",19477,7300,0.0352,T7,3,3,0,0,80.0,10,96.0
pga,2022,2022,Corales Puntacana Championship,522,draftkings,PGA TOUR $300K Pitch + Putt [$100K to 1st] (PGA TOUR),"Nimmer, Bryson",26013,6300,0.0029,T11,3,3,0,0,81.5,6,93.5
