tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,Corales Puntacana Championship,522,"Ramey, Chad",19840,1,1,Corales Golf Club,244,70,,,,,,2.758,295.0,0.714,0.556,,,
pga,2022,2022,Corales Puntacana Championship,522,"Ramey, Chad",19840,1,2,Corales Golf Club,244,65,,,,,,5.949,296.0,0.929,0.833,,,
pga,2022,2022,Corales Puntacana Championship,522,"Ramey, Chad",19840,1,3,Corales Golf Club,244,69,,,,,,1.677,280.5,0.643,0.5,,,
pga,2022,2022,Corales Puntacana Championship,522,"Ramey, Chad",19840,1,4,Corales Golf Club,244,67,,,,,,2.862,288.5,0.857,0.778,,,
pga,2022,2022,Corales Puntacana Championship,522,"Martin, Ben",14007,T2,1,Corales Golf Club,244,66,,,,,,6.758,283.0,0.5,0.722,,,
pga,2022,2022,Corales Puntacana Championship,522,"Martin, Ben",14007,T2,2,Corales Golf Club,244,66,,,,,,4.949,293.0,0.857,0.889,,,
pga,2022,2022,Corales Puntacana Championship,522,"Martin, Ben",14007,T2,3,Corales Golf Club,244,70,,,,,,0.677,294.5,0.786,0.611,,,
pga,2022,2022,Corales Puntacana Championship,522,"Martin, Ben",14007,T2,4,Corales Golf Club,244,70,,,,,,-0.138,274.0,0.786,0.722,,,
pga,2022,2022,Corales Puntacana Championship,522,"Smalley, Alex",18474,T2,1,Corales Golf Club,244,69,,,,,,3.758,320.0,0.714,0.667,,,
pga,2022,2022,Corales Puntacana Championship,522,"Smalley, Alex",18474,T2,2,Corales Golf Club,244,65,,,,,,5.949,311.5,0.714,0.778,,,
pga,2022,2022,Corales Puntacana Championship,522,"Smalley, Alex",18474,T2,3,Corales Golf Club,244,73,,,,,,-2.323,287.0,0.643,0.833,,,
pga,2022,2022,Corales Puntacana Championship,522,"Smalley, Alex",18474,T2,4,Corales Golf Club,244,65,,,,,,4.862,301.0,0.786,0.889,,,
pga,2022,2022,Corales Puntacana Championship,522,"Vegas, Jhonattan",13508,T4,1,Corales Golf Club,244,70,,,,,,2.758,310.5,0.643,0.5,,,
pga,2022,2022,Corales Puntacana Championship,522,"Vegas, Jhonattan",13508,T4,2,Corales Golf Club,244,70,,,,,,0.949,326.5,0.643,0.722,,,
pga,2022,2022,Corales Puntacana Championship,522,"Vegas, Jhonattan",13508,T4,3,Corales Golf Club,244,65,,,,,,5.677,287.0,0.929,0.667,,,
pga,2022,2022,Corales Puntacana Championship,522,"Vegas, Jhonattan",13508,T4,4,Corales Golf Club,244,68,,,,,,1.862,318.5,0.5,0.833,,,
pga,2022,2022,Corales Puntacana Championship,522,"Percy, Cameron",5874,T4,1,Corales Golf Club,244,71,,,,,,1.758,281.5,0.786,0.556,,,
