tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Spaun, J.J.",17536,6700,0.0521,1,6,0,0,0,90.0,30,126.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Kuchar, Matt",6169,7800,0.0817,T2,9,0,0,0,79.0,20,108.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Jones, Matt",8605,7000,0.0423,T2,3,0,0,0,79.0,20,102.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Hossler, Beau",15470,7000,0.059,T4,6,0,0,0,80.0,16,102.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Bradley, Keegan",13872,9200,0.1072,T8,6,0,0,0,83.0,9,98.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Hadwin, Adam",13965,8900,0.1861,T4,0,0,0,0,80.5,16,96.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Howell III, Charles",6892,7400,0.0351,T4,3,0,0,0,74.5,16,93.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Merritt, Troy",13367,7300,0.0885,T4,0,0,0,0,75.5,16,91.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Frittelli, Dylan",11955,7200,0.0437,T8,3,3,0,0,71.0,9,86.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Schwab, Matthias",15016,7000,0.0444,T8,0,3,0,0,73.5,9,85.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Stenson, Henrik",5994,6300,0.0039,T18,3,0,0,0,75.0,5,83.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Whaley, Vince",25908,6500,0.0,T29,0,0,0,0,79.5,3,82.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Woodland, Gary",12577,9300,0.1555,T8,3,3,0,0,67.5,9,82.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Hojgaard, Rasmus",23838,7900,0.0696,T18,3,0,0,0,73.0,5,81.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Chappell, Kevin",13305,6700,0.0208,T18,0,3,0,0,73.0,5,81.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Todd, Brendon",12425,6900,0.0085,T8,0,0,0,0,71.0,9,80.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Lahiri, Anirban",12669,7100,0.0523,T13,3,0,0,0,71.0,6,80.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"McNealy, Maverick",18634,9500,0.1835,T35,3,0,0,0,74.0,2,79.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Johnson, Zach",6986,6600,0.0056,T13,0,0,0,0,72.5,6,78.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Glover, Lucas",7399,7400,0.0658,T18,0,3,0,0,70.0,5,78.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Kim, Si Woo",14609,9600,0.1076,T13,0,0,0,0,72.0,6,78.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Vegas, Jhonattan",13508,8600,0.1416,T18,0,0,0,0,71.5,5,76.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"McCarthy, Denny",19870,7500,0.0994,T18,0,0,0,0,71.5,5,76.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Snedeker, Brandt",8820,6300,0.0111,T18,3,3,0,0,65.5,5,76.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Wolfe, Jared",18164,0,0.0,T29,0,0,0,0,73.0,3,76.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Stallings, Scott",12359,7400,0.0507,T13,0,0,0,0,69.5,6,75.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Swafford, Hudson",14706,6400,0.0114,T58,3,0,0,0,72.5,0,75.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Conners, Corey",17576,9800,0.2529,T35,0,3,0,0,69.5,2,74.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Gutschewski, Scott",7305,0,0.0,T18,0,0,0,0,69.0,5,74.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Pereira, Mito",19455,8100,0.1394,T13,0,0,0,0,68.0,6,74.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Lashley, Nate",10943,6900,0.0282,T18,0,0,0,0,68.5,5,73.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Baddeley, Aaron",6252,6000,0.0111,T18,0,3,0,0,64.0,5,72.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Bland, Richard",6516,7200,0.0317,T29,0,0,0,0,68.5,3,71.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Sigg, Greyson",23482,6700,0.036,T41,0,3,0,0,67.0,1,71.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Kirk, Chris",12423,9400,0.1776,T35,0,0,0,0,69.0,2,71.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Rai, Aaron",18554,6800,0.0204,T29,3,0,0,0,64.5,3,70.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Ramey, Chad",19840,7300,0.0187,T41,0,0,0,0,69.5,1,70.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Streelman, Kevin",8480,8700,0.151,T18,0,0,0,0,65.5,5,70.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Spieth, Jordan",14636,10600,0.1878,T35,0,3,0,0,64.5,2,69.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Skinns, David",10873,6000,0.0002,T48,3,0,0,0,65.5,1,69.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Laird, Martin",9586,7500,0.0536,T29,0,3,0,0,62.0,3,68.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"MacIntyre, Robert",23323,7900,0.0879,T35,0,0,0,0,65.5,2,67.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Knox, Russell",13831,8300,0.0838,T61,3,3,0,0,61.0,0,67.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Finau, Tony",11676,9100,0.1134,T29,0,3,0,0,60.5,3,66.5
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Pan, C.T.",15475,7200,0.0393,T41,0,3,0,0,62.0,1,66.0
pga,2022,2022,Valero Texas Open,41,draftkings,PGA TOUR $350K Drive the Green [$50K to 1st],"Huh, John",14606,6400,0.0023,T41,0,0,0,0,64.5,1,65.5
