tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,Valero Texas Open,41,"Spaun, J.J.",17536,1,1,TPC San Antonio (Oaks Course),770,67,0.218,1.924,1.788,0.888,4.6,4.818,292.8,0.786,0.667,0.667,11.833,48.237
pga,2022,2022,Valero Texas Open,41,"Spaun, J.J.",17536,1,2,TPC San Antonio (Oaks Course),770,70,0.668,-0.345,0.755,0.957,1.368,2.036,281.9,0.929,0.778,0.5,,37.827
pga,2022,2022,Valero Texas Open,41,"Spaun, J.J.",17536,1,3,TPC San Antonio (Oaks Course),770,69,1.813,-0.401,0.892,0.405,0.895,2.708,292.6,0.643,0.778,0.571,47.578,31.262
pga,2022,2022,Valero Texas Open,41,"Spaun, J.J.",17536,1,4,TPC San Antonio (Oaks Course),770,69,0.344,2.129,-0.699,0.406,1.837,2.181,296.7,0.571,0.611,0.818,42.931,36.657
pga,2022,2022,Valero Texas Open,41,"Kuchar, Matt",6169,T2,1,TPC San Antonio (Oaks Course),770,67,3.18,1.999,-0.477,0.117,1.638,4.818,280.9,0.714,0.556,0.909,42.207,32.484
pga,2022,2022,Valero Texas Open,41,"Kuchar, Matt",6169,T2,2,TPC San Antonio (Oaks Course),770,69,1.416,-0.649,2.383,-0.115,1.62,3.036,285.6,0.714,0.833,0.75,101.48,27.123
pga,2022,2022,Valero Texas Open,41,"Kuchar, Matt",6169,T2,3,TPC San Antonio (Oaks Course),770,72,1.323,0.465,-0.214,-1.865,-1.615,-0.292,284.2,0.429,0.667,0.818,45.629,38.716
pga,2022,2022,Valero Texas Open,41,"Kuchar, Matt",6169,T2,4,TPC San Antonio (Oaks Course),770,69,1.523,-0.846,0.21,1.293,0.658,2.181,290.6,0.786,0.611,0.75,43.738,28.759
pga,2022,2022,Valero Texas Open,41,"Jones, Matt",8605,T2,1,TPC San Antonio (Oaks Course),770,68,0.722,0.955,1.824,0.316,3.096,3.818,297.9,0.429,0.667,0.727,37.882,29.418
pga,2022,2022,Valero Texas Open,41,"Jones, Matt",8605,T2,2,TPC San Antonio (Oaks Course),770,75,-1.439,-1.03,-0.959,0.463,-1.525,-2.964,312.2,0.5,0.667,0.5,45.666,37.21
pga,2022,2022,Valero Texas Open,41,"Jones, Matt",8605,T2,3,TPC San Antonio (Oaks Course),770,68,2.76,-0.502,1.268,0.183,0.948,3.708,307.2,0.571,0.667,0.889,47.148,34.235
pga,2022,2022,Valero Texas Open,41,"Jones, Matt",8605,T2,4,TPC San Antonio (Oaks Course),770,66,0.292,2.546,1.245,1.097,4.889,5.181,304.9,0.643,0.778,0.75,36.959,37.575
pga,2022,2022,Valero Texas Open,41,"Merritt, Troy",13367,T4,1,TPC San Antonio (Oaks Course),770,69,3.584,-0.201,1.34,-1.904,-0.766,2.818,293.0,0.357,0.667,0.857,42.482,27.755
pga,2022,2022,Valero Texas Open,41,"Merritt, Troy",13367,T4,2,TPC San Antonio (Oaks Course),770,71,0.86,1.845,-1.394,-0.276,0.176,1.036,303.6,0.429,0.5,0.727,55.513,33.058
pga,2022,2022,Valero Texas Open,41,"Merritt, Troy",13367,T4,3,TPC San Antonio (Oaks Course),770,69,3.669,-1.854,0.907,-0.013,-0.961,2.708,292.3,0.5,0.556,0.8,32.72,24.173
pga,2022,2022,Valero Texas Open,41,"Merritt, Troy",13367,T4,4,TPC San Antonio (Oaks Course),770,69,1.769,-0.742,0.442,0.711,0.412,2.181,294.9,0.714,0.611,0.818,38.952,31.985
pga,2022,2022,Valero Texas Open,41,"Hadwin, Adam",13965,T4,1,TPC San Antonio (Oaks Course),770,70,0.426,-0.498,1.061,0.83,1.392,1.818,289.6,0.643,0.778,0.857,35.4,26.411
pga,2022,2022,Valero Texas Open,41,"Hadwin, Adam",13965,T4,2,TPC San Antonio (Oaks Course),770,70,-0.39,0.44,1.195,0.79,2.426,2.036,303.1,0.571,0.667,0.727,44.485,35.068
pga,2022,2022,Valero Texas Open,41,"Hadwin, Adam",13965,T4,3,TPC San Antonio (Oaks Course),770,71,-1.687,1.408,0.047,0.941,2.395,0.708,300.8,0.571,0.778,0.444,44.95,37.024
pga,2022,2022,Valero Texas Open,41,"Hadwin, Adam",13965,T4,4,TPC San Antonio (Oaks Course),770,67,0.498,1.602,1.665,0.415,3.683,4.181,298.1,0.786,0.722,0.667,27.471,38.214
pga,2022,2022,Valero Texas Open,41,"Hossler, Beau",15470,T4,1,TPC San Antonio (Oaks Course),770,73,1.514,0.064,-2.323,-0.437,-2.696,-1.182,307.2,0.571,0.667,0.6,35.103,45.687
pga,2022,2022,Valero Texas Open,41,"Hossler, Beau",15470,T4,2,TPC San Antonio (Oaks Course),770,66,3.51,-0.113,2.003,0.635,2.526,6.036,302.3,0.643,0.778,0.889,38.772,25.979
pga,2022,2022,Valero Texas Open,41,"Hossler, Beau",15470,T4,3,TPC San Antonio (Oaks Course),770,67,1.329,-0.104,1.963,1.521,3.379,4.708,302.7,0.714,0.833,0.857,29.631,30.288
pga,2022,2022,Valero Texas Open,41,"Hossler, Beau",15470,T4,4,TPC San Antonio (Oaks Course),770,72,0.504,2.41,-3.318,-0.416,-1.323,-0.819,291.4,0.5,0.5,0.571,66.058,36.672
pga,2022,2022,Valero Texas Open,41,"Howell III, Charles",6892,T4,1,TPC San Antonio (Oaks Course),770,70,0.494,0.948,0.01,0.366,1.325,1.818,297.6,0.714,0.611,0.7,78.002,31.215
pga,2022,2022,Valero Texas Open,41,"Howell III, Charles",6892,T4,2,TPC San Antonio (Oaks Course),770,67,1.256,-0.216,2.787,1.208,3.78,5.036,301.8,0.786,0.778,0.667,33.818,32.658
pga,2022,2022,Valero Texas Open,41,"Howell III, Charles",6892,T4,3,TPC San Antonio (Oaks Course),770,72,-2.339,0.862,-0.161,1.347,2.047,-0.292,303.2,0.786,0.722,0.429,44.059,28.849
pga,2022,2022,Valero Texas Open,41,"Howell III, Charles",6892,T4,4,TPC San Antonio (Oaks Course),770,69,-1.198,0.088,1.096,2.194,3.379,2.181,312.4,0.714,0.667,0.667,34.492,34.476
pga,2022,2022,Valero Texas Open,41,"Frittelli, Dylan",11955,T8,1,TPC San Antonio (Oaks Course),770,70,-1.248,1.489,2.454,-0.876,3.066,1.818,297.1,0.5,0.722,0.714,29.122,30.795
pga,2022,2022,Valero Texas Open,41,"Frittelli, Dylan",11955,T8,2,TPC San Antonio (Oaks Course),770,66,2.976,0.569,1.7,0.79,3.06,6.036,296.8,0.571,0.778,0.833,34.156,33.129
pga,2022,2022,Valero Texas Open,41,"Frittelli, Dylan",11955,T8,3,TPC San Antonio (Oaks Course),770,70,0.303,0.173,0.466,0.767,1.405,1.708,301.4,0.5,0.722,0.778,38.779,37.448
pga,2022,2022,Valero Texas Open,41,"Frittelli, Dylan",11955,T8,4,TPC San Antonio (Oaks Course),770,73,1.841,-1.62,-1.57,-0.471,-3.66,-1.819,303.6,0.429,0.556,0.706,52.989,47.523
pga,2022,2022,Valero Texas Open,41,"Todd, Brendon",12425,T8,1,TPC San Antonio (Oaks Course),770,68,-0.135,1.346,2.484,0.123,3.953,3.818,275.6,0.857,0.722,1.0,36.932,27.678
pga,2022,2022,Valero Texas Open,41,"Todd, Brendon",12425,T8,2,TPC San Antonio (Oaks Course),770,69,2.769,0.171,0.107,-0.012,0.267,3.036,279.5,0.786,0.611,0.778,45.399,36.691
pga,2022,2022,Valero Texas Open,41,"Todd, Brendon",12425,T8,3,TPC San Antonio (Oaks Course),770,72,-1.151,0.043,0.755,0.062,0.859,-0.292,286.2,0.643,0.778,0.625,53.204,37.747
pga,2022,2022,Valero Texas Open,41,"Todd, Brendon",12425,T8,4,TPC San Antonio (Oaks Course),770,70,2.914,-0.348,-1.477,0.091,-1.733,1.181,273.3,0.857,0.667,0.75,34.436,42.446
pga,2022,2022,Valero Texas Open,41,"Woodland, Gary",12577,T8,1,TPC San Antonio (Oaks Course),770,70,-0.416,0.002,1.825,0.407,2.234,1.818,294.6,0.571,0.611,0.6,38.678,29.979
pga,2022,2022,Valero Texas Open,41,"Woodland, Gary",12577,T8,2,TPC San Antonio (Oaks Course),770,67,1.703,0.359,3.381,-0.408,3.333,5.036,305.6,0.357,0.833,0.857,37.592,24.235
pga,2022,2022,Valero Texas Open,41,"Woodland, Gary",12577,T8,3,TPC San Antonio (Oaks Course),770,72,-0.481,-0.237,0.523,-0.096,0.189,-0.292,307.6,0.571,0.722,0.667,40.645,29.061
pga,2022,2022,Valero Texas Open,41,"Woodland, Gary",12577,T8,4,TPC San Antonio (Oaks Course),770,70,0.937,-0.724,0.222,0.745,0.244,1.181,300.2,0.643,0.722,0.667,44.568,33.23
pga,2022,2022,Valero Texas Open,41,"Bradley, Keegan",13872,T8,1,TPC San Antonio (Oaks Course),770,71,-2.367,0.707,1.879,0.599,3.185,0.818,292.7,0.714,0.778,0.556,53.121,34.874
