bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1047,2022-04-07 07:00,19195,+1215,2022-04-04 14:14,T27,"Rahm, Jon",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+1281,2022-04-07 07:00,14139,+1366,2022-04-04 14:14,T8,"Thomas, Justin",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+1631,2022-04-07 07:00,15856,+1758,2022-04-04 14:14,T3,"Smith, Cameron",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+1739,2022-04-07 07:00,12422,+1897,2022-04-04 14:14,T12,"Johnson, Dustin",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+1888,2022-04-07 07:00,10091,+2218,2022-04-04 14:14,2,"McIlroy, Rory",pinnacle,2022-04-10,The Masters,win,2022,2022,14
1,paid in full,+1932,2022-04-07 07:00,18417,+1620,2022-04-04 14:14,1,"Scheffler, Scottie",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+2209,2022-04-07 07:00,16243,+2154,2022-04-04 14:14,CUT,"Koepka, Brooks",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+2287,2022-04-07 07:00,18841,+2288,2022-04-04 14:14,T27,"Hovland, Viktor",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+2342,2022-04-07 07:00,15466,+2291,2022-04-04 14:14,T39,"Cantlay, Patrick",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+2435,2022-04-07 07:00,14636,+2328,2022-04-04 14:14,CUT,"Spieth, Jordan",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+2530,2022-04-07 07:00,19895,+2788,2022-04-04 14:14,CUT,"Schauffele, Xander",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+2588,2022-04-07 07:00,22085,+2197,2022-04-04 14:14,5,"Morikawa, Collin",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+4271,2022-04-07 07:00,19428,+3764,2022-04-04 14:14,T6,"Zalatoris, Will",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+4526,2022-04-07 07:00,13900,+5041,2022-04-04 14:14,T3,"Lowry, Shane",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+4577,2022-04-07 07:00,19483,+5338,2022-04-04 14:14,CUT,"Burns, Sam",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+4610,2022-04-07 07:00,17646,+5282,2022-04-04 14:14,T14,"Fitzpatrick, Matthew",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+4841,2022-04-07 07:00,17606,+5219,2022-04-04 14:14,T50,"Berger, Daniel",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+5078,2022-04-07 07:00,13562,+5450,2022-04-04 14:14,T14,"Matsuyama, Hideki",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+5117,2022-04-07 07:00,18079,+5511,2022-04-04 14:14,T35,"Niemann, Joaquin",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+5281,2022-04-07 07:00,7672,+4834,2022-04-04 14:14,WD,"Oosthuizen, Louis",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+5524,2022-04-07 07:00,11676,+5805,2022-04-04 14:14,T35,"Finau, Tony",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+5657,2022-04-07 07:00,5321,+7843,2022-04-04 14:14,47,"Woods, Tiger",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+5887,2022-04-07 07:00,14796,+5917,2022-04-04 14:14,52,"Hatton, Tyrrell",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+5957,2022-04-07 07:00,19841,+6509,2022-04-04 14:14,CUT,"DeChambeau, Bryson",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+6176,2022-04-07 07:00,17576,+7015,2022-04-04 14:14,T6,"Conners, Corey",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+6432,2022-04-07 07:00,6430,+6081,2022-04-04 14:14,T48,"Scott, Adam",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+6731,2022-04-07 07:00,14578,+7602,2022-04-04 14:14,T30,"Henley, Russell",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+7781,2022-04-07 07:00,17488,+7165,2022-04-04 14:14,T8,"Im, Sungjae",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+7977,2022-04-07 07:00,12577,+9081,2022-04-04 14:14,CUT,"Woodland, Gary",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+9110,2022-04-07 07:00,14609,+8700,2022-04-04 14:14,T39,"Kim, Si Woo",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+9396,2022-04-07 07:00,7649,+8779,2022-04-04 14:14,T30,"Leishman, Marc",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+9555,2022-04-07 07:00,12294,+10471,2022-04-04 14:14,T14,"Fleetwood, Tommy",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+9911,2022-04-07 07:00,17538,+9254,2022-04-04 14:14,T48,"Homa, Max",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+10115,2022-04-07 07:00,6093,+8856,2022-04-04 14:14,CUT,"Rose, Justin",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+10343,2022-04-07 07:00,14838,+9708,2022-04-04 14:14,T35,"Reed, Patrick",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+10400,2022-04-07 07:00,7334,+12487,2022-04-04 14:14,T39,"Watson, Bubba",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+10744,2022-04-07 07:00,11276,+8779,2022-04-04 14:14,43,"Horschel, Billy",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+10808,2022-04-07 07:00,13944,+13432,2022-04-04 14:14,CUT,"Pieters, Thomas",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+10977,2022-04-07 07:00,18238,+11951,2022-04-04 14:14,CUT,"Ancer, Abraham",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+11143,2022-04-07 07:00,26651,+13446,2022-04-04 14:14,CUT,"Young, Cameron",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+11553,2022-04-07 07:00,18580,+9247,2022-04-04 14:14,T14,"Gooch, Talor",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+11568,2022-04-07 07:00,10104,+9265,2022-04-04 14:14,T27,"Power, Seamus",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+12121,2022-04-07 07:00,16602,+9330,2022-04-04 14:14,T23,"Varner III, Harold",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+12261,2022-04-07 07:00,11049,+11951,2022-04-04 14:14,T35,"Simpson, Webb",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+12936,2022-04-07 07:00,7960,+10766,2022-04-04 14:14,CUT,"List, Luke",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+13302,2022-04-07 07:00,15556,+47575,2022-04-04 14:14,T50,"Hughes, Mackenzie",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+13756,2022-04-07 07:00,5689,+10693,2022-04-04 14:14,T23,"Garcia, Sergio",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+13944,2022-04-07 07:00,23323,+19804,2022-04-04 14:14,T23,"Macintyre, Robert",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+15716,2022-04-07 07:00,12337,+21885,2022-04-04 14:14,T14,"Kokrak, Jason",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+16129,2022-04-07 07:00,17550,+21945,2022-04-04 14:14,CUT,"Van Rooyen, Erik",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+16690,2022-04-07 07:00,15575,+9260,2022-04-04 14:14,T39,"Hoge, Tom",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+17414,2022-04-07 07:00,8825,+13526,2022-04-04 14:14,CUT,"Harman, Brian",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+18823,2022-04-07 07:00,11328,+12236,2022-04-04 14:14,T44,"Kisner, Kevin",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+18891,2022-04-07 07:00,17511,+15826,2022-04-04 14:14,T30,"Straka, Sepp",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+18989,2022-04-07 07:00,18103,+15710,2022-04-04 14:14,T44,"Bezuidenhout, Christiaan",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+21240,2022-04-07 07:00,17064,+21450,2022-04-04 14:14,CUT,"Herbert, Lucas",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+21353,2022-04-07 07:00,7452,+21885,2022-04-04 14:14,T14,"Na, Kevin",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+22037,2022-04-07 07:00,17536,+17584,2022-04-04 14:14,T23,"Spaun, J.J.",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+22167,2022-04-07 07:00,4052,+15789,2022-04-04 14:14,T14,"Westwood, Lee",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+22369,2022-04-07 07:00,23542,+31861,2022-04-04 14:14,T10,"Champ, Cameron",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+23231,2022-04-07 07:00,5665,+53635,2022-04-04 14:14,CUT,"Cink, Stewart",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+25211,2022-04-07 07:00,25919,+30925,2022-04-04 14:14,CUT,"Wolff, Matthew",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+25752,2022-04-07 07:00,17786,+27294,2022-04-04 14:14,46,"Davis, Cameron",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+28204,2022-04-07 07:00,5513,+114074,2022-04-04 14:14,CUT,"Weir, Mike",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+28259,2022-04-07 07:00,7655,+25536,2022-04-04 14:14,CUT,"Molinari, Francesco",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+29253,2022-04-07 07:00,12920,+53241,2022-04-04 14:14,T12,"Willett, Danny",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+31674,2022-04-07 07:00,7399,+116479,2022-04-04 14:14,T30,"Glover, Lucas",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+34116,2022-04-07 07:00,5716,+30438,2022-04-04 14:14,CUT,"Harrington, Padraig",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+34610,2022-04-07 07:00,7820,+53365,2022-04-04 14:14,CUT,"Palmer, Ryan",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+34942,2022-04-07 07:00,16841,+21238,2022-04-04 14:14,T14,"Lee, Min Woo",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+34998,2022-04-07 07:00,44,+114117,2022-04-04 14:14,CUT,"Couples, Fred",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+35305,2022-04-07 07:00,13497,+53784,2022-04-04 14:14,CUT,"Lee, Kyounghoon",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+36145,2022-04-07 07:00,653,+28556,2022-04-04 14:14,CUT,"Singh, Vijay",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+37320,2022-04-07 07:00,19729,+115186,2022-04-04 14:14,CUT,"Kanaya, Takumi",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+37934,2022-04-07 07:00,6986,+21112,2022-04-04 14:14,CUT,"Johnson, Zach",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+38584,2022-04-07 07:00,24342,+20677,2022-04-04 14:14,CUT,"Higgo, Garrick",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+38860,2022-04-07 07:00,14140,+115560,2022-04-04 14:14,T14,"Higgs, Harry",pinnacle,2022-04-10,The Masters,win,2022,2022,14
0,loss,+43572,2022-04-07 07:00,23113,+114065,2022-04-04 14:14,CUT,"Hagestad, Stewart",pinnacle,2022-04-10,The Masters,win,2022,2022,14
