player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1496,,,G,Scottie Scheffler,70.61,9.5,84.09,88,32,0,0,11000,,35127,1496
2024,,,G,Max Homa,61.29,10.7,58.21,81.5,26.5,0,0,7100,,36137,2024
2167,,,G,J.J. Spaun,48.66,0.72,39.62,73.5,23.5,0,0,6700,,36093,2167
693781,,,G,Matthew Wolff,37.7,1.3,42.42,64.5,21,0,0,6500,,777097,693781
762740,,,G,James Piot,32.41,0.04,16.9,58.07,18.5,0,0,6000,,3384211,762740
1870,,,G,Daniel Berger,71.48,9.7,77.43,88.57,52.5,0,0,9000,,34742,1870
1760,,,G,Tom Hoge,55.64,6.8,50.86,78,25,0,0,6700,,34888,1760
300102,,,G,Collin Morikawa,67.94,9,76.41,87,30.43,0,0,10200,,36083,300102
1551,,,G,Jose Maria Olazabal,29.52,0.14,11.71,51.5,17.5,0,0,6100,,36597,1551
1860,,,G,Corey Conners,64.75,24.1,68.27,84,28,0,0,7600,,37123,1860
2125,,,G,Tony Finau,63.92,13.3,73.6,84,27.5,0,0,8100,,34873,2125
2158,,,G,Lucas Glover,49.87,0.7,42.3,74,24,0,0,6400,,34876,2158
1641,,,G,Larry Mize,28.12,0.07,11.71,38.5,17,0,0,6100,,34796,1641
1356,,,G,Tyrrell Hatton,67.21,12.1,67.07,86,29.5,0,0,8000,,35279,1356
2049,,,G,Zach Johnson,44.08,0.71,37.59,69.5,22,0,0,6400,,34772,2049
670464,,,G,Robert Macintyre,60.95,11.2,55.55,82,26.5,0,0,7000,,1156742,670464
1005,,,G,Stewart Cink,45.4,3.2,49.31,70.5,22.5,0,0,6400,,34863,1005
1049,,,G,Kevin Na,47.71,7.4,51.04,72.5,23,0,0,6800,,34798,1049
1654,,,G,Russell Henley,61.96,15.3,68.2,82.07,27,0,0,7800,,34884,1654
1566,,,G,Sandy Lyle,28.34,0.06,11.71,38.5,17,0,0,6100,,34789,1566
510218,,,G,Cameron Champ,42.65,2.6,46.32,69.5,22,0,0,6600,,37122,510218
1149,,,G,Dustin Johnson,70.62,13.8,78.34,89,32.5,0,0,10500,,34771,1149
670620,,,G,Sungjae Im,66.53,4.1,66.93,85.5,28.5,0,0,8400,,382250,670620
762910,,,G,Aaron Jarvis,32.730000000000004,0.03,12.99,53,21.5,0,0,6000,,3436947,762910
1600,,,G,Harris English,,0,,,,0,0,6700,,34758,1600
696569,,,G,Cameron Young,57.92,13,56.5,80.07,25.5,0,0,7000,,1074862,696569
1579,,,G,Will Zalatoris,64.22,12.8,78.51,84.5,27,0,0,9200,,35055,1579
670533,,,G,Garrick Higgo,46.81,1.1,34.1,73,22.5,0,0,6300,,2879219,670533
1931,,,G,Hideki Matsuyama,64.71,1.8,75.59,85,28,0,0,9300,,34791,1931
330678,,,G,Cameron Davis,50.32,0.75,48.61,75.5,23.5,0,0,6500,,36131,330678
1701,,,G,Justin Thomas,79.14,22.6,89.95,96.5,62,0,0,10300,,34818,1701
1437,,,G,Bernhard Langer,27.83,0.94,15.09,38,17,0,0,6100,,34783,1437
690049,,,G,Viktor Hovland,72.25,8.5,84.66,89.57,52.93,0,0,10100,,658704,690049
190,,,G,Harold Varner III,55.02,2.3,51.9,78.5,25,0,0,6600,,34947,190
693416,,,G,Takumi Kanaya,41.58,0.48,25.73,67.5,21,0,0,6000,,748254,693416
1813,,,G,Francesco Molinari,44.92,0.79,41.87,70,22.5,0,0,6900,,34915,1813
1725,,,G,Billy Horschel,58.11,6.6,59.33,79.5,26,0,0,7400,,34768,1725
1406,,,G,Hudson Swafford,43.65,0.66,39.62,70.5,22,0,0,6300,,34940,1406
1417,,,G,Brooks Koepka,63.93,20.5,78.48,85,28,0,0,9400,,34779,1417
185304,,,G,Seamus Power,59.22,4.3,58.18,80.5,26,0,0,7200,,35404,185304
693648,,,G,Min Woo Lee,47.17,0.23,27.92,73.5,23,0,0,6500,,2667551,693648
1716,,,G,Vijay Singh,31.62,0.13,12.81,57,18,0,0,6000,,34809,1716
171,,,G,Jordan Spieth,65.4,13.2,81.13,84.5,28.5,0,0,9800,,34812,171
1859,,,G,Paul Casey,65.81,11.8,78.22,84.5,29,0,0,7600,,34747,1859
193,,,G,Charl Schwartzel,38.05,0.64,38.22,65.5,21,0,0,6200,,34806,193
1408,,,G,Patrick Cantlay,73.8,10.5,82.5,91.5,56.5,0,0,9500,,36297,1408
680,,,G,Jon Rahm,82.14,18.1,95.59,97.5,65.5,0,0,10800,,35126,680
350,,,G,Thomas Pieters,57.71,9.7,50.93,80,25.5,0,0,6600,,35299,350
780,,,G,Sergio Garcia,59.41,3.4,58.91,81,26,0,0,7800,,34761,780
762909,,,G,Austin Greaser,33.33,0.02,12.99,54,20.5,0,0,6000,,3436948,762909
142,,,G,Marc Leishman,55,13.6,62.52,78.5,25,0,0,7300,,34785,142
395,,,G,Shane Lowry,66.97,14.8,70.67,85.5,29.5,0,0,8800,,34788,395
297,,,G,Padraig Harrington,51.56,0.26,34.67,76,24,0,0,6200,,34974,297
782,,,G,Patrick Reed,49.73,5.7,55.05,75,24,0,0,7400,,34803,782
463,,,G,Rory McIlroy,70.36,11.6,85.87,88.5,32,0,0,10000,,34793,463
584,,,G,Louis Oosthuizen,67.87,8.6,75.83,85.5,30,0,0,8900,,34800,584
199,,,G,Danny Willett,47.43,1.1,37.24,73,23,0,0,6300,,34824,199
871,,,G,Tommy Fleetwood,62.53,8.8,57.91,82.5,27.5,0,0,7700,,35276,871
662,,,G,Abraham Ancer,58.48,2.3,63.42,80,26,0,0,7900,,34959,662
552,,,G,Mackenzie Hughes,46.15,3.4,43.11,71,22.5,0,0,6300,,36080,552
453,,,G,Christiaan Bezuidenhout,58.2,7.7,50.87,79,25.5,0,0,6700,,1156736,453
509671,,,G,Joaquin Niemann,65.57,11.7,66.42,84,28.5,0,0,8200,,37138,509671
113,,,G,Lucas Herbert,44.17,1.3,39.27,71,22.5,0,0,6400,,382245,113
73285,,,G,Sepp Straka,49.38,7.5,48.4,75,23.5,0,0,6600,,565467,73285
411,,,G,Bubba Watson,54.7,4.9,56.29,77.57,25,0,0,7300,,34820,411
895,,,G,Kevin Kisner,46.58,3.1,46.48,71.5,22.5,0,0,6800,,34776,895
467,,,G,Bryson DeChambeau,60.97,3.4,61.12,82,26.5,0,0,9100,,34753,467
468,,,G,Ryan Palmer,53.2,2.1,42.24,76.5,24.5,0,0,6500,,34924,468
524,,,G,Mike Weir,46.84,0.16,11.77,73,23,0,0,6200,,34821,524
1080,,,G,Jason Kokrak,56.29,2.5,56.43,79.5,25.5,0,0,7200,,34900,1080
987,,,G,Guido Migliozzi,46.86,0.47,36.12,72.07,23,0,0,6200,,2927747,987
2060,,,G,Fred Couples,28.39,0.59,15.35,38.5,17,0,0,6100,,34751,2060
625,,,G,Justin Rose,53.22,5.7,63.52,77,24,0,0,7500,,34804,625
559,,,G,Luke List,56.92,9.1,57.95,80.5,25,0,0,7000,,34904,559
703,,,G,Webb Simpson,61.81,5.4,64.46,82.07,27,0,0,7500,,34808,703
699011,,,G,Keita Nakajima,38.98,0.25,27.72,65,21,0,0,6400,,3146449,699011
417,,,G,Erik Van Rooyen,51.99,7.1,49.44,75.5,24.5,0,0,6700,,458398,417
1491,,,G,Kyoung-Hoon Lee,49.66,0.95,40.74,74,24,0,0,6200,,37949,1491
638,,,G,Lee Westwood,49.09,0.91,49.82,73.5,23,0,0,6900,,34822,638
1194,,,G,Cameron Smith,68.85,21.8,80.49,86.5,30.93,0,0,9900,,34810,1194
902,,,G,Xander Schauffele,75,15.6,87.64,92,58.5,0,0,9600,,36091,902
805,,,G,Brian Harman,56.77,9.4,53.25,78,25.5,0,0,6800,,34882,805
1284,,,G,Si Woo Kim,56.85,16.4,56.93,79,25.5,0,0,7100,,34895,1284
1075,,,G,Matt Fitzpatrick,65.4,16.8,69.78,84.5,29,0,0,7700,,34759,1075
722158,,,G,Laird Shepherd,30.48,0.07,13.61,54,18,0,0,6000,,2976031,722158
698025,,,G,Harry Higgs,40.49,0.57,36.53,67.5,21,0,0,6300,,1266428,698025
729,,,G,Talor Gooch,59.26,3.9,61.76,81.5,26.5,0,0,8700,,37126,729
1594,,,G,Tiger Woods,37.45,11.4,67.5,64,20.5,0,0,8500,,34826,1594
1154,,,G,Sam Burns,66.29,12.4,69.39,85.07,29.43,0,0,8600,,35095,1154
1055,,,G,Gary Woodland,57.37,12.2,58.25,80,25.5,0,0,6900,,35025,1055
2078,,,G,Adam Scott,62.33,12.9,73.06,83.5,27,0,0,8300,,34807,2078
432574,,,G,Stewart Hagestad,28.32,0.05,12.14,39,16.5,0,0,6000,,36596,432574
