date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Apr 10, 2022","The Masters","Rahm, Jon",0.880325,0.04095,0.748675,0.62495,0.430275,0.273625,0.192675,0.082825,T27
"Apr 10, 2022","The Masters","Thomas, Justin",0.870275,0.04235,0.7345,0.605575,0.4058,0.254825,0.1725,0.072475,T8
"Apr 10, 2022","The Masters","Scheffler, Scottie",0.849775,0.0404,0.692625,0.558675,0.360725,0.21875,0.1444,0.05565,1
"Apr 10, 2022","The Masters","McIlroy, Rory",0.8365,0.026475,0.657075,0.519175,0.322625,0.189575,0.124125,0.048725,2
"Apr 10, 2022","The Masters","Smith, Cameron",0.829525,0.031975,0.646475,0.5023,0.30885,0.1816,0.117925,0.0449,T3
"Apr 10, 2022","The Masters","Cantlay, Patrick",0.833325,0.0235,0.6488,0.50585,0.30635,0.177675,0.115725,0.04345,T39
"Apr 10, 2022","The Masters","Matsuyama, Hideki",0.809175,0.032125,0.606525,0.459375,0.2717,0.150975,0.0968,0.0347,T14
"Apr 10, 2022","The Masters","Johnson, Dustin",0.8029,0.022575,0.5942,0.4497,0.263275,0.14795,0.0952,0.034475,T12
"Apr 10, 2022","The Masters","Hovland, Viktor",0.81185,0.0223,0.61,0.46185,0.26795,0.14645,0.091225,0.032325,T27
"Apr 10, 2022","The Masters","Schauffele, Xander",0.815975,0.0196,0.609625,0.458975,0.264075,0.142625,0.087425,0.030275,CUT
"Apr 10, 2022","The Masters","Zalatoris, Will",0.792,0.016575,0.56515,0.415725,0.23105,0.122325,0.0759,0.025175,T6
"Apr 10, 2022","The Masters","Fitzpatrick, Matthew",0.7803,0.0164,0.5512,0.39875,0.214825,0.110025,0.0677,0.0219,T14
"Apr 10, 2022","The Masters","Koepka, Brooks",0.774825,0.016625,0.540375,0.390225,0.209075,0.11105,0.067325,0.0216,CUT
"Apr 10, 2022","The Masters","Lowry, Shane",0.77625,0.023,0.5476,0.395675,0.21645,0.109775,0.06675,0.021225,T3
"Apr 10, 2022","The Masters","Burns, Sam",0.755275,0.01685,0.510175,0.36145,0.19275,0.098975,0.059825,0.01945,CUT
"Apr 10, 2022","The Masters","Oosthuizen, Louis",0.756475,0.02135,0.513575,0.369625,0.194525,0.09865,0.0594,0.01935,WD
"Apr 10, 2022","The Masters","Berger, Daniel",0.770825,0.01905,0.534125,0.380425,0.200125,0.101275,0.060425,0.019125,T50
"Apr 10, 2022","The Masters","Morikawa, Collin",0.7542,0.016625,0.502975,0.3517,0.182625,0.093125,0.055625,0.01825,5
"Apr 10, 2022","The Masters","Spieth, Jordan",0.7474,0.0158,0.4958,0.3499,0.1829,0.092,0.0546,0.018225,CUT
