"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"1","Justin Thomas",22064239,11100,101.91,0.075,0.0665,2,-0.00849999999999999,-0.1133,82.79,18.6,103.5,64.5,0.8057,0.0311,0.5796,0.4648,0.3019,0.1861,0.1271,0.0514,35,5.99,0.1,-12.92,6,0.1529,69.5,"2022-04-17","RBC Heritage"
"2","Cameron Smith",22064240,10800,98.56,0.0724,0.0522,3,-0.0202,-0.279,74.46,12.1,94,33,0.7924,0.0216,0.5631,0.4453,0.2902,0.1774,0.1204,0.0488,100,4.83,-0.53,-36.25,0,0.1443,25.5,"2022-04-17","RBC Heritage"
"3","Dustin Johnson",22064241,10500,71.83,0.0484,0.0427,5,-0.0057,-0.1178,75.14,11.3,95.5,34,0.6993,0.0121,0.4054,0.2936,0.1633,0.091,0.0556,0.0202,100,4.07,-0.8,-7.58,4,0.0992,25,"2022-04-17","RBC Heritage"
"4","Collin Morikawa",22064242,10200,88.64,0.0613,0.0675,1,0.0062,0.1011,73.35,23.8,92.5,31.5,0.7649,0.0194,0.513,0.3975,0.249,0.1501,0.1005,0.0399,26,6.62,2.23,17.11,40,0.2472,73.5,"2022-04-17","RBC Heritage"
"5","Patrick Cantlay",22064243,10000,87.57,0.07,0.0463,4,-0.0237,-0.3386,82.64,10.9,101,65.5,0.7978,0.0296,0.5666,0.452,0.2907,0.1785,0.122,0.0489,2,4.63,0.54,-42.78,0,0.1404,106.5,"2022-04-17","RBC Heritage"
"6","Shane Lowry",22064244,9800,71.35,0.0527,0.0347,6,-0.018,-0.3416,74.53,17.5,93,39,0.7748,0.0263,0.5283,0.4106,0.2527,0.1476,0.0984,0.0382,3,3.54,-0.27,-31.61,0,0.173,105.5,"2022-04-17","RBC Heritage"
"7","Corey Conners",22064245,9700,70.58,0.036,0.0306,7,-0.0054,-0.15,72.73,16.2,92,33.5,0.7614,0.023,0.4974,0.3792,0.229,0.1287,0.0822,0.0303,12,3.15,-0.52,-6.87,10,0.1499,97,"2022-04-17","RBC Heritage"
"8","Daniel Berger",22064246,9600,81.5,0.0372,0.0287,9,-0.0085,-0.2285,81.48,14.8,98.5,65.5,0.7354,0.0182,0.4443,0.3306,0.1885,0.1031,0.0643,0.0226,21,2.99,-0.54,-12.95,2,0.1523,72,"2022-04-17","RBC Heritage"
"9","Sungjae Im",22064248,9300,81.36,0.0303,0.0279,10,-0.0024,-0.0792,71.93,12.2,92,32.43,0.7343,0.0159,0.4569,0.344,0.2021,0.1147,0.0736,0.0271,21,3,-0.15,-0.82,12,0.116,82.5,"2022-04-17","RBC Heritage"
"10","Jordan Spieth",22064249,9200,64.5,0.0173,0.0204,14,0.0031,0.1792,67.03,10.3,88,29,0.6184,0.0129,0.2877,0.193,0.0951,0.0463,0.0269,0.0087,1,2.22,-0.8,10.09,20,0.0445,121.5,"2022-04-17","RBC Heritage"
"11","Joaquin Niemann",22064250,9100,73.33,0.0244,0.0291,8,0.0047,0.1926,72.69,17.5,92.5,31.43,0.7011,0.0113,0.4028,0.2926,0.1595,0.0833,0.0508,0.017,12,3.2,0.3,13.64,32,0.1353,83,"2022-04-17","RBC Heritage"
"12","Russell Henley",22064251,9000,86.46,0.0305,0.0273,11,-0.0032,-0.1049,70.81,20.4,90.5,31,0.7536,0.0215,0.477,0.3608,0.2141,0.12,0.0766,0.0285,100,3.03,0.24,-2.28,18,0.187,26,"2022-04-17","RBC Heritage"
"13","Webb Simpson",22064252,8800,72.33,0.0238,0.0225,12,-0.0013,-0.0546,67.22,15.7,88,29.5,0.6723,0.0101,0.3584,0.254,0.1355,0.0684,0.0412,0.0121,59,2.56,-0.01,1.41,18,0.161,59.5,"2022-04-17","RBC Heritage"
"14","Billy Horschel",22064253,8700,80.78,0.0234,0.0206,13,-0.0028,-0.1197,65.11,9.6,87,28.43,0.7286,0.0185,0.436,0.321,0.1784,0.0966,0.061,0.0212,21,2.37,-0.09,-1.57,8,0.1197,72.5,"2022-04-17","RBC Heritage"
"15","Tyrrell Hatton",22064254,8600,78.5,0.0193,0.0178,18,-0.0015,-0.0777,71.12,7.3,91.5,31,0.6824,0.0162,0.3755,0.2709,0.1482,0.0771,0.048,0.0158,26,2.07,-0.29,0.94,8,0.1051,77.5,"2022-04-17","RBC Heritage"
"16","Harold Varner III",22064255,8500,63.82,0.0164,0.0157,22,-0.000700000000000003,-0.0427,61.95,9.1,84.07,27.5,0.6812,0.0111,0.3802,0.2707,0.1441,0.0736,0.044,0.0151,3,1.85,-0.41,2.48,12,0.0911,104.5,"2022-04-17","RBC Heritage"
"17","Si Woo Kim",22064256,8400,70.78,0.0171,0.0152,24,-0.0019,-0.1111,58.74,10.4,82.5,26.5,0.6928,0.0158,0.3887,0.2796,0.1529,0.0806,0.0486,0.0168,42,1.81,-0.36,0.14,10,0.0831,65,"2022-04-17","RBC Heritage"
"18","Alex Noren",22064257,8300,69.21,0.0207,0.0175,19,-0.0032,-0.1546,65.8,12.3,87.5,28,0.6828,0.011,0.3744,0.2663,0.1422,0.0725,0.0449,0.0154,42,2.11,0.03,-2.3,10,0.1405,66,"2022-04-17","RBC Heritage"
"19","Tommy Fleetwood",22064258,8200,69.65,0.0169,0.0188,16,0.0019,0.1124,67.56,10.4,88.5,29,0.6672,0.0093,0.3454,0.2363,0.12,0.0588,0.0338,0.0102,10,2.29,0.3,7.94,18,0.1199,88,"2022-04-17","RBC Heritage"
"20","Kevin Kisner",22064259,8100,66.32,0.0202,0.0193,15,-0.000899999999999998,-0.0446,52.55,10.5,77.5,25.5,0.6397,0.0133,0.3168,0.2152,0.1102,0.055,0.0328,0.0106,100,2.38,0.48,2.35,12,0.1125,26.5,"2022-04-17","RBC Heritage"
"21","Chris Kirk",22064260,8000,68.35,0.0161,0.0152,24,-9e-04,-0.0559,68.47,11.8,89.5,29,0.6978,0.0145,0.3906,0.282,0.1526,0.0795,0.0486,0.0163,100,1.9,0.09,2.24,14,0.1124,24.5,"2022-04-17","RBC Heritage"
"22","Maverick McNealy",22064261,7900,78.23,0.0192,0.0173,20,-0.0019,-0.099,61.06,13,84,27,0.6808,0.0108,0.3757,0.266,0.1416,0.074,0.0454,0.0151,26,2.19,0.47,0.38,14,0.1824,73,"2022-04-17","RBC Heritage"
"23","Jason Kokrak",22064262,7900,69.65,0.0155,0.0133,25,-0.0022,-0.1419,59.01,7.3,82.5,26.5,0.6379,0.0117,0.3149,0.2152,0.11,0.0549,0.0316,0.0098,35,1.68,-0.04,-0.33,6,0.0727,66,"2022-04-17","RBC Heritage"
"24","Matt Kuchar",22064263,7800,70.5,0.0118,0.0124,27,6e-04,0.0508,54.38,13.7,79,26,0.6727,0.0081,0.3572,0.2472,0.126,0.0644,0.0378,0.0131,3,1.59,-0.04,5.2,18,0.1447,101,"2022-04-17","RBC Heritage"
"25","Kevin Na",22064264,7800,59.21,0.0189,0.0183,17,-6e-04,-0.0317,54.05,12.7,78,25.5,0.6917,0.0161,0.3836,0.2744,0.151,0.0815,0.0507,0.0173,26,2.35,0.72,3.02,16,0.1241,74.5,"2022-04-17","RBC Heritage"
"26","Brian Harman",22064265,7700,60.62,0.0113,0.0121,28,8e-04,0.0708,61.59,8.9,84.5,27.5,0.6717,0.0085,0.35,0.242,0.1246,0.0609,0.0358,0.0118,35,1.57,0.03,5.63,14,0.1144,68,"2022-04-17","RBC Heritage"
"27","Mito Pereira",22064266,7700,66.84,0.0105,0.0071,48,-0.0034,-0.3238,64.75,8,86.5,28,0.6226,0.0095,0.2848,0.1872,0.0897,0.0423,0.0234,0.0069,26,0.92,-0.62,-2.57,6,0.0618,70.5,"2022-04-17","RBC Heritage"
"28","Adam Hadwin",22064267,7600,69.75,0.0193,0.0172,21,-0.0021,-0.1088,60.14,19.9,83.57,27,0.6732,0.0105,0.3626,0.2573,0.1379,0.0699,0.043,0.0135,26,2.26,0.81,0.09,20,0.2105,73.5,"2022-04-17","RBC Heritage"
"29","Tom Hoge",22064268,7600,70.68,0.0139,0.0128,26,-0.0011,-0.0791,59.65,13.4,82.5,27,0.6799,0.015,0.3652,0.2565,0.1349,0.0683,0.0402,0.0136,100,1.68,0.23,1.89,16,0.1251,16.5,"2022-04-17","RBC Heritage"
"30","Kevin Streelman",22064269,7500,58.53,0.0125,0.0105,31,-0.002,-0.16,62.07,11.2,84.5,27,0.6547,0.013,0.3272,0.2262,0.116,0.0582,0.0345,0.0107,100,1.4,0.04,0.11,12,0.1112,20.5,"2022-04-17","RBC Heritage"
