player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,43.66,0.46,34.8,71.5,23,0,0,6200,,34908,1210
2145,,,G,Chesson Hadley,37.41,0.2,28.4,65,21,0,0,6000,,34879,2145
2167,,,G,J.J. Spaun,53.75,5.6,55.9,79.07,25,0,0,7300,,36093,2167
2178,,,G,Pat Perez,53.23,1.3,61.1,79,25,0,0,6400,,36099,2178
762740,,,G,James Piot,33.32,0.04,15.2,59,20,0,0,6000,,3384211,762740
1870,,,G,Daniel Berger,81.48,14.8,92.2,98.5,65.5,0,0,9600,,34742,1870
1760,,,G,Tom Hoge,59.65,13.4,68.5,82.5,27,0,0,7600,,34888,1760
300102,,,G,Collin Morikawa,73.35,23.8,90.7,92.5,31.5,0,0,10200,,36083,300102
1112,,,G,Robert Streb,45.17,0.26,35.6,72.5,23.5,0,0,6200,,34814,1112
2168,,,G,Kevin Tway,39.7,0.13,33.4,67,22,0,0,6000,,35139,2168
1860,,,G,Corey Conners,72.73,16.2,86.4,92,33.5,0,0,9700,,37123,1860
1179,,,G,Brandon Hagy,41.71,0.15,26.6,70.5,22.5,0,0,6100,,36079,1179
2158,,,G,Lucas Glover,55.96,3.2,65.8,80.5,26,0,0,7200,,34876,2158
1883,,,G,Danny Lee,44.47,0.54,40.5,71.5,23.5,0,0,6300,,34784,1883
1663,,,G,Chez Reavie,47.86,0.29,42.2,74,24,0,0,6300,,34927,1663
1356,,,G,Tyrrell Hatton,71.12,7.3,78.4,91.5,31,0,0,8600,,35279,1356
1477,,,G,Sung Kang,32.09,0.11,24.7,56.57,19.5,0,0,6100,,34893,1477
404847,,,G,Sahith Theegala,55.83,4.4,51.5,80.5,25.5,0,0,7100,,37149,404847
2016,,,G,Scott Brown,47.7,0.08,33.5,75,24,0,0,6000,,34856,2016
2049,,,G,Zach Johnson,46.66,0.55,47.4,73.5,24,0,0,6500,,34772,2049
1961,,,G,Scott Stallings,52.55,2.8,56.7,77.5,25,0,0,7000,,34999,1961
1631,,,G,Charley Hoffman,54.93,0.9,57.4,80.5,25.5,0,0,6900,,34766,1631
1653,,,G,C.T. Pan,54.79,4.8,60.3,80,25.5,0,0,7000,,35389,1653
1554,,,G,Kevin Streelman,62.07,11.2,71.7,84.5,27,0,0,7500,,34815,1554
74908,,,G,Wesley Bryan,43.75,1.8,36.9,72,23,0,0,6100,,35076,74908
1698,,,G,Henrik Norlander,45.07,0.82,42.3,72,23,0,0,6100,,34917,1698
1115,,,G,Nick Watney,36.33,0.17,31.1,64,20.5,0,0,6100,,36095,1115
1005,,,G,Stewart Cink,48.4,3.6,53.9,75.5,24.5,0,0,7200,,34863,1005
2006,,,G,Brian Gay,33.14,0.14,27.4,59,19.5,0,0,6000,,34875,2006
1049,,,G,Kevin Na,54.05,12.7,75.8,78,25.5,0,0,7800,,34798,1049
320038,,,G,Sebastian Munoz,58.51,6.8,64.4,81.5,27,0,0,7300,,36138,320038
1654,,,G,Russell Henley,70.81,20.4,88,90.5,31,0,0,9000,,34884,1654
1237,,,G,Rickie Fowler,53.62,3.9,49.9,78.5,25.5,0,0,7000,,34760,1237
1149,,,G,Dustin Johnson,75.14,11.3,90.4,95.5,34,0,0,10500,,34771,1149
2128,,,G,Camilo Villegas,45.42,0.23,36,72.5,23.5,0,0,6100,,34948,2128
670620,,,G,Sungjae Im,71.93,12.2,85.3,92,32.43,0,0,9300,,382250,670620
692004,,,G,Hank Lebioda,48.87,0.25,42.6,75.5,24,0,0,6200,,565462,692004
1941,,,G,Matthew NeSmith,51.68,8.4,52.9,77.5,25.5,0,0,6600,,35080,1941
1842,,,G,Tyler Duncan,46.31,0.51,36.4,73,23.5,0,0,6200,,37911,1842
696569,,,G,Cameron Young,59.97,3.4,63.4,83,27,0,0,7500,,1074862,696569
1622,,,G,Joel Dahmen,54.42,6,64.8,79.5,25.5,0,0,6800,,36136,1622
1996,,,G,Davis Love III,29.42,0.08,15.7,48,18,0,0,6000,,34787,1996
1655,,,G,James Hahn,45.68,0.23,37,72.5,23.43,0,0,6000,,34881,1655
1314,,,G,Graeme McDowell,35.12,0.43,33.4,62,20.5,0,0,6200,,34792,1314
1216,,,G,Russell Knox,57.24,7.7,65.3,81.07,26,0,0,7300,,34778,1216
1018,,,G,Denny McCarthy,52.6,4.9,64.9,77.5,25,0,0,7200,,35117,1018
670533,,,G,Garrick Higgo,49.43,0.9,35.1,76.5,24.5,0,0,6500,,2879219,670533
692005,,,G,Adam Long,47.45,1.2,42.2,74,23.93,0,0,6400,,565464,692005
1832,,,G,Brice Garnett,46.31,0.3,42,73,24,0,0,6200,,34968,1832
671028,,,G,Mito Pereira,64.75,8,71.5,86.5,28,0,0,7700,,278841,671028
1645,,,G,Charles Howell III,61.37,4.6,67.7,84,27,0,0,7100,,34889,1645
1799,,,G,Adam Hadwin,60.14,19.9,76.9,83.57,27,0,0,7600,,34880,1799
1689,,,G,Beau Hossler,47.52,2.7,47.4,74.5,24.5,0,0,6800,,36293,1689
1107,,,G,Brian Stuard,47.94,4.3,55.3,74.5,24,0,0,6700,,35002,1107
2119,,,G,Chad Ramey,44.64,0.81,44.5,72,23,0,0,6700,,3083529,2119
330678,,,G,Cameron Davis,52.76,1.3,60.2,79,25,0,0,6800,,36131,330678
1701,,,G,Justin Thomas,82.79,18.6,94.5,103.5,64.5,0,0,11100,,34818,1701
1822,,,G,Luke Donald,47.51,2.2,44.7,74,23.5,0,0,6300,,34870,1822
1888,,,G,Roger Sloan,50.1,0.19,39.2,76,24.5,0,0,6200,,466730,1888
190,,,G,Harold Varner III,61.95,9.1,74,84.07,27.5,0,0,8500,,34947,190
1625,,,G,Davis Riley,53.53,4.6,51.3,79.07,25.5,0,0,7000,,1000174,1625
1427,,,G,Satoshi Kodaira,49.09,0.58,37.7,76.07,24.5,0,0,6400,,35290,1427
1438,,,G,Brendon Todd,50.03,1.9,56.5,75,24.5,0,0,6800,,34943,1438
1449,,,G,Cameron Tringale,58.44,5.2,67,82,26.5,0,0,7000,,35004,1449
693416,,,G,Takumi Kanaya,43.75,0.35,37.1,71,23,0,0,6300,,748254,693416
1901,,,G,Jim Furyk,50.31,0.62,44.7,76,24.5,0,0,6300,,35039,1901
1725,,,G,Billy Horschel,65.11,9.6,81.3,87,28.43,0,0,8700,,34768,1725
1406,,,G,Hudson Swafford,46.64,1.9,46.2,73.5,23.5,0,0,6500,,34940,1406
670625,,,G,Doug Ghim,55.03,2.2,58.1,79.5,26,0,0,6900,,201095,670625
1914,,,G,Maverick McNealy,61.06,13,71.9,84,27,0,0,7900,,37136,1914
171,,,G,Jordan Spieth,67.03,10.3,79.9,88,29,0,0,9200,,34812,171
193,,,G,Charl Schwartzel,38.72,1.1,37.7,67,21.5,0,0,6600,,34806,193
1639,,,G,Matt Kuchar,54.38,13.7,76.1,79,26,0,0,7800,,34780,1639
1408,,,G,Patrick Cantlay,82.64,10.9,92.5,101,65.5,0,0,10000,,36297,1408
670627,,,G,Doc Redman,44.93,1.3,41,72,23,0,0,6400,,139893,670627
1409,,,G,Troy Merritt,54,4.2,59.6,79,25.5,0,0,7400,,34794,1409
473728,,,G,Nate Lashley,50.62,3.2,44.1,77,24.5,0,0,6700,,37914,473728
299906,,,G,Ryan Brehm,34.36,0.56,27.4,61,20,0,0,6100,,36071,299906
395,,,G,Shane Lowry,74.53,17.5,91.2,93,39,0,0,9800,,34788,395
199,,,G,Danny Willett,49.36,1.4,44.9,75.5,24.5,0,0,6900,,34824,199
871,,,G,Tommy Fleetwood,67.56,10.4,79.4,88.5,29,0,0,8200,,35276,871
552,,,G,Mackenzie Hughes,49.42,1.1,55.4,75,24,0,0,6900,,36080,552
648084,,,G,Lanto Griffin,54.46,3,62.4,79,26,0,0,6800,,37913,648084
509671,,,G,Joaquin Niemann,72.69,17.5,88.9,92.5,31.43,0,0,9100,,37138,509671
73285,,,G,Sepp Straka,55.56,5.1,60.8,80,26,0,0,7200,,565467,73285
400,,,G,Brandt Snedeker,47.67,1.4,48.4,74,24,0,0,6800,,34811,400
895,,,G,Kevin Kisner,52.55,10.5,64.8,77.5,25.5,0,0,8100,,34776,895
610,,,G,Emiliano Grillo,54.51,1.4,56.9,80,26,0,0,6700,,34764,610
654,,,G,Michael Thompson,48.75,0.73,52.4,74.5,24,0,0,6500,,34942,654
665,,,G,Andrew Putnam,47.94,0.42,51.8,74,24,0,0,6400,,37085,665
688,,,G,Henrik Stenson,43.26,0.71,47.9,71,23,0,0,6500,,34813,688
648099,,,G,Adam Schenk,43.06,0.42,36.7,71.5,22.5,0,0,6200,,37919,648099
700,,,G,Nick Taylor,51.34,0.79,51.3,78,24.5,0,0,6600,,34941,700
1080,,,G,Jason Kokrak,59.01,7.3,71,82.5,26.5,0,0,7900,,34900,1080
