date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Apr 17, 2022","RBC Heritage","Thomas, Justin",0.8057,0.0311,0.57955,0.4648,0.301925,0.186125,0.127125,0.051375,T35
"Apr 17, 2022","RBC Heritage","Cantlay, Patrick",0.797825,0.02965,0.5666,0.452025,0.290675,0.178475,0.122025,0.0489,2
"Apr 17, 2022","RBC Heritage","Smith, Cameron",0.79235,0.0216,0.56305,0.4453,0.290175,0.1774,0.120375,0.0488,CUT
"Apr 17, 2022","RBC Heritage","Fitzpatrick, Matthew",0.7867,0.020475,0.550075,0.43185,0.268575,0.15735,0.1038,0.04165,CUT
"Apr 17, 2022","RBC Heritage","Morikawa, Collin",0.7649,0.019375,0.513,0.39745,0.24895,0.1501,0.100475,0.0399,T26
"Apr 17, 2022","RBC Heritage","Lowry, Shane",0.774775,0.026275,0.528325,0.41065,0.252675,0.1476,0.0984,0.038175,T3
"Apr 17, 2022","RBC Heritage","Conners, Corey",0.76135,0.023,0.4974,0.379175,0.228975,0.128675,0.082175,0.030275,T12
"Apr 17, 2022","RBC Heritage","Henley, Russell",0.75365,0.0215,0.477025,0.3608,0.2141,0.12,0.07665,0.028525,CUT
"Apr 17, 2022","RBC Heritage","Im, Sungjae",0.73435,0.015925,0.4569,0.34395,0.2021,0.114675,0.07365,0.027075,T21
"Apr 17, 2022","RBC Heritage","Berger, Daniel",0.73545,0.01825,0.444275,0.330625,0.188525,0.103125,0.064325,0.022625,T21
"Apr 17, 2022","RBC Heritage","Horschel, Billy",0.7286,0.018525,0.436025,0.320975,0.17845,0.0966,0.061025,0.021225,T21
"Apr 17, 2022","RBC Heritage","Johnson, Dustin",0.6993,0.01215,0.4054,0.2936,0.163275,0.091025,0.055625,0.020225,CUT
"Apr 17, 2022","RBC Heritage","Na, Kevin",0.691725,0.016075,0.383575,0.274375,0.15105,0.0815,0.050725,0.017325,T26
"Apr 17, 2022","RBC Heritage","Niemann, Joaquin",0.701075,0.011275,0.402775,0.292575,0.1595,0.083275,0.050775,0.017,T12
"Apr 17, 2022","RBC Heritage","Kim, Si Woo",0.692825,0.01585,0.3887,0.27965,0.152925,0.0806,0.048625,0.016775,T42
"Apr 17, 2022","RBC Heritage","Kirk, Chris",0.69775,0.014525,0.3906,0.282,0.152625,0.079475,0.048625,0.0163,CUT
"Apr 17, 2022","RBC Heritage","Hatton, Tyrrell",0.682425,0.01615,0.3755,0.270925,0.14825,0.077075,0.04795,0.015775,T26
"Apr 17, 2022","RBC Heritage","Noren, Alex",0.68285,0.011000000000000001,0.3744,0.266325,0.142175,0.072525,0.044875,0.015375,T42
"Apr 17, 2022","RBC Heritage","McNealy, Maverick",0.680775,0.010825,0.375675,0.266025,0.141625,0.074025,0.04535,0.0151,T26
"Apr 17, 2022","RBC Heritage","Varner III, Harold",0.681225,0.0111,0.38025,0.2707,0.1441,0.07355,0.044000000000000004,0.015075,T3
"Apr 17, 2022","RBC Heritage","Hoge, Tom",0.6799,0.014975,0.3652,0.256475,0.13495,0.0683,0.04015,0.013575,CUT
"Apr 17, 2022","RBC Heritage","Hadwin, Adam",0.67315,0.0105,0.3626,0.257275,0.1379,0.06995,0.043,0.013525,T26
"Apr 17, 2022","RBC Heritage","Kuchar, Matt",0.6727,0.00815,0.35725,0.2472,0.125975,0.064375,0.037825,0.013075,T3
"Apr 17, 2022","RBC Heritage","Simpson, Webb",0.672325,0.0101,0.35835,0.25395,0.135475,0.06845,0.04125,0.0121,T59
"Apr 17, 2022","RBC Heritage","Harman, Brian",0.671675,0.0085,0.350025,0.24205,0.1246,0.060925,0.0358,0.01175,T35
"Apr 17, 2022","RBC Heritage","Spaun, J.J.",0.6592,0.013825,0.339625,0.233625,0.121325,0.0609,0.036575,0.01105,CUT
"Apr 17, 2022","RBC Heritage","Streelman, Kevin",0.6547,0.01295,0.327225,0.2262,0.11605,0.0582,0.034525,0.0107,CUT
