"","G","G","G","G","G","G"
"1",22188973,22188979,22188985,22189083,22189088,22189090
"2",22188973,22188975,22188987,22189088,22189090,22189091
"3",22188973,22188982,22188985,22189067,22189078,22189091
"4",22188973,22188975,22189024,22189036,22189054,22189091
"5",22188973,22188978,22189024,22189036,22189066,22189071
"6",22188973,22188978,22189024,22189036,22189066,22189070
"7",22188975,22188979,22189024,22189036,22189040,22189061
"8",22188975,22188979,22189024,22189036,22189045,22189060
"9",22188979,22188982,22189013,22189024,22189036,22189055
"10",22188979,22188982,22189013,22189017,22189040,22189063
"11",22188979,22188987,22189013,22189017,22189031,22189040
"12",22188985,22188987,22188998,22189017,22189040,22189042
"13",22188987,22188991,22188998,22189017,22189019,22189042
"14",22188987,22188991,22188998,22189013,22189019,22189048
"15",22188987,22188990,22188998,22189013,22189022,22189049
"16",22188990,22188991,22188998,22189012,22189022,22189037
"17",22188990,22188991,22188995,22189012,22189030,22189033
"18",22188990,22188991,22189003,22189012,22189015,22189030
"19",22188990,22188991,22189006,22189012,22189015,22189026
"20",22188994,22188995,22189006,22189007,22189009,22189026
