"","event_name","player_name","salary","ownership","streak_pts","bogey_free_pts","hole_in_one_pts","sub_70_pts","hole_score_pts","finish_pts","total_pts","open_odds","close_odds","odds_delta","odds_delta_per","date","make_cut","top_20","top_10","top_5","top_3","win","dg_id","round_score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","driving_dist","driving_acc","gir","scrambling","prox_rgh","prox_fw"
"1","The American Express","Landry, Andrew",6500,0.0023,12,3,0,5,108.5,30,158.5,NA,NA,NA,NA,"Jan 19, 2020",0.431525,0.0923,0.040375,0.01815,0.009675,0.00255,14000,65.5,1.8065,-0.9005,1.941,1.183,2.223,4.35475,277.1,0.857,0.861,NA,12.3715,30.4105
"2","The American Express","Ancer, Abraham",8900,0.1513,6,6,0,5,99,20,136,0.0225,0.0225,0,0,"Jan 19, 2020",0.71395,0.31615,0.18165,0.1019,0.0651,0.022875,18238,66,2.3785,0.8885,1.743,0.693,3.324,3.72625,281.25,0.714,0.8335,NA,24.1565,25.914
"3","The American Express","Scheffler, Scottie",9500,0.2509,3,6,0,0,109,18,136,0.0297,0.0297,0,0,"Jan 19, 2020",0.70115,0.303725,0.174925,0.096525,0.062,0.021675,18417,66.25,0.4835,0.099,0.5,1.1205,1.719,3.47625,289.05,0.6425,0.75,NA,60.5085,25.878
"4","The American Express","Straka, Sepp",6200,0.0046,3,9,0,5,90.5,16,123.5,NA,NA,NA,NA,"Jan 19, 2020",0.424275,0.093075,0.041175,0.018375,0.010375,0.002625,17511,67,1.752,-0.564,2.783,0.9185,3.137,2.7845,287.85,0.6785,0.944,NA,22.363,21.061
"5","The American Express","Cappelen, Sebastian",6100,8e-04,6,0,0,0,97.5,12,115.5,NA,NA,NA,NA,"Jan 19, 2020",0.2626,0.03365,0.011625,0.004475,0.002,0.000625,14776,67.25,1.507,-0.069,-0.53,0.4815,-0.118,2.5345,293.15,0.5,0.6945,NA,30.163,37.582
"6","The American Express","Burns, Sam",6100,0.0041,3,3,0,0,95.5,12,113.5,NA,NA,NA,NA,"Jan 19, 2020",0.410975,0.083875,0.03685,0.01665,0.009,0.00245,19483,67.25,0.8665,1.273,1.3255,0.0650000000000001,2.663,2.60475,286,0.5355,0.75,NA,34.471,28.0635
"7","The American Express","Cauley, Bud",7300,0.0647,0,3,0,0,94.5,16,113.5,0.0137,0.0137,0,0,"Jan 19, 2020",0.614875,0.2097,0.107625,0.053175,0.0326,0.0109,14502,67,1.1045,-0.108,0.617,0.5895,1.098,2.72625,277.75,0.786,0.639,NA,23.032,29.0805
"8","The American Express","Im, Sungjae",11000,0.258,0,3,0,5,96,7,111,0.0542,0.0542,0,0,"Jan 19, 2020",0.775925,0.39495,0.2436,0.145425,0.09555,0.037725,17488,67.5,1.3295,0.779,0.1575,-0.563,0.373,2.22625,288.15,0.5355,0.639,NA,27.186,25.048
"9","The American Express","Hoge, Tom",6500,0.0068,3,3,0,0,92,12,110,NA,NA,NA,NA,"Jan 19, 2020",0.487675,0.118425,0.0553,0.0245,0.01405,0.004175,15575,67.25,1.1185,0.294,2.214,0.4035,2.911,2.60475,277.4,0.6785,0.75,NA,26.333,26.2605
"10","The American Express","Moore, Ryan",8300,0.0488,0,3,0,5,89.5,12,109.5,0.0181,0.0181,0,0,"Jan 19, 2020",0.5887,0.193725,0.097525,0.048975,0.03015,0.00925,7489,67.25,0.5915,-0.9625,2.644,-0.07,1.611,2.47625,278.5,0.607,0.75,NA,36.8195,24.835
