tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Rahm, Jon",19195,11300,0.4041,1,3,3,0,5,88.5,30,129.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Wu, Brandon",25213,7300,0.0381,T2,3,6,0,0,86.0,20,115.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Kitayama, Kurt",21891,7100,0.0239,T2,0,0,0,0,92.0,20,112.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Finau, Tony",11676,10400,0.1322,T2,3,3,0,0,86.0,20,112.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Riley, Davis",19872,8500,0.0817,5,0,0,0,5,89.5,14,108.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Wise, Aaron",22051,9500,0.1615,T6,6,6,0,0,82.0,12,106.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Lipsky, David",15980,7700,0.0526,T6,0,3,0,5,85.0,12,105.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Champ, Cameron",23542,9400,0.0929,T6,3,0,0,0,86.0,12,101.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Smalley, Alex",18474,7400,0.097,T6,3,0,0,0,82.5,12,97.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Jaeger, Stephan",16394,6500,0.0042,T15,3,3,0,0,85.0,6,97.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Lashley, Nate",10943,7500,0.0867,T11,3,6,0,0,79.5,6,94.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Trainer, Martin",15634,6300,0.0087,T11,3,0,0,0,85.0,6,94.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Brown, Scott",11330,6400,0.0099,T51,6,0,0,0,85.0,0,91.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Byrd, Jonathan",6931,6200,0.0083,T15,6,0,0,0,76.0,6,88.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Long, Adam",15473,7800,0.0927,T15,0,3,0,0,79.0,6,88.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Rodgers, Patrick",16283,7600,0.0804,10,0,3,0,0,77.5,7,87.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Kodaira, Satoshi",13531,6500,0.0076,T15,3,0,0,0,78.0,6,87.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Malnati, Peter",14926,6900,0.0389,T15,0,0,0,0,79.5,6,85.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Mullinax, Trey",18761,6800,0.0261,T24,0,0,0,0,80.5,4,84.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Griffin, Lanto",15330,8300,0.1215,T15,3,3,0,0,72.0,6,84.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Kraft, Kelly",15852,6000,0.0018,T15,0,0,0,0,77.0,6,83.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Reavie, Chez",7961,6800,0.0122,T13,0,0,0,0,77.0,6,83.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Kohles, Ben",16395,6500,0.004,T42,3,0,0,0,79.0,1,83.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Hagy, Brandon",18695,6400,0.0105,T42,6,3,0,0,72.0,1,82.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Murray, Grayson",14655,6100,0.004,T13,0,3,0,0,72.5,6,81.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Woodland, Gary",12577,9900,0.1671,T24,6,0,0,0,71.0,4,81.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Novak, Andrew",23475,6700,0.0122,T15,3,0,0,0,71.5,6,80.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Tringale, Cameron",14013,9700,0.1472,T33,3,0,0,0,74.5,2,79.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Lebioda, Hank",21943,6700,0.0179,T29,0,3,0,0,73.0,3,79.0
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Gligic, Michael",13404,6400,0.0018,T24,3,0,0,0,71.5,4,78.5
pga,2022,2022,Mexico Open at Vidanta,540,draftkings,PGA TOUR $400K Drive the Green [$50K to 1st],"Hubbard, Mark",16333,8000,0.1949,T51,0,0,0,0,78.5,0,78.5
