"","G","G","G","G","G","G"
"1",22311713,22311718,22311740,22311764,22311778,22311779
"2",22311713,22311714,22311756,22311763,22311764,22311778
"3",22311713,22311714,22311740,22311778,22311784,22311785
"4",22311713,22311714,22311756,22311763,22311764,22311779
"5",22311713,22311714,22311750,22311764,22311778,22311779
"6",22311714,22311715,22311740,22311754,22311763,22311764
"7",22311714,22311715,22311740,22311753,22311754,22311779
"8",22311714,22311718,22311732,22311754,22311763,22311784
"9",22311715,22311718,22311732,22311754,22311756,22311785
"10",22311715,22311718,22311732,22311753,22311756,22311785
"11",22311718,22311721,22311722,22311753,22311775,22311785
"12",22311720,22311721,22311722,22311760,22311766,22311775
"13",22311720,22311721,22311722,22311760,22311766,22311777
"14",22311720,22311721,22311722,22311753,22311766,22311781
"15",22311720,22311722,22311732,22311745,22311746,22311760
"16",22311720,22311722,22311732,22311745,22311746,22311766
"17",22311717,22311719,22311736,22311745,22311750,22311766
"18",22311717,22311719,22311742,22311745,22311746,22311750
"19",22311717,22311719,22311723,22311772,22311776,22311777
"20",22311717,22311719,22311723,22311772,22311777,22311781
