tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,Mexico Open at Vidanta,540,"Rahm, Jon",19195,1,1,Vidanta Vallarta,978,64,1.48,1.138,0.91,2.756,4.805,6.285,315.4,0.923,0.833,0.8,57.15,29.47
pga,2022,2022,Mexico Open at Vidanta,540,"Rahm, Jon",19195,1,2,Vidanta Vallarta,978,66,2.612,0.237,1.304,0.728,2.269,4.881,313.7,0.615,0.778,0.571,50.131,33.986
pga,2022,2022,Mexico Open at Vidanta,540,"Rahm, Jon",19195,1,3,Vidanta Vallarta,978,68,-0.023,0.897,-0.287,1.48,2.091,2.068,318.0,0.769,0.722,0.875,41.522,37.156
pga,2022,2022,Mexico Open at Vidanta,540,"Rahm, Jon",19195,1,4,Vidanta Vallarta,978,69,-0.517,-0.24,0.694,0.604,1.058,0.541,323.1,0.462,0.889,0.714,39.605,34.754
pga,2022,2022,Mexico Open at Vidanta,540,"Finau, Tony",11676,T2,1,Vidanta Vallarta,978,71,-2.259,0.776,0.08,0.687,1.544,-0.715,301.9,0.615,0.778,0.667,44.477,46.025
pga,2022,2022,Mexico Open at Vidanta,540,"Finau, Tony",11676,T2,2,Vidanta Vallarta,978,68,-3.072,0.326,4.922,0.705,5.953,2.881,300.8,0.462,0.889,0.25,48.819,18.288
pga,2022,2022,Mexico Open at Vidanta,540,"Finau, Tony",11676,T2,3,Vidanta Vallarta,978,66,1.87,1.408,-0.381,1.17,2.198,4.068,306.7,0.769,0.722,0.833,48.755,27.17
pga,2022,2022,Mexico Open at Vidanta,540,"Finau, Tony",11676,T2,4,Vidanta Vallarta,978,63,1.476,1.008,3.539,0.518,5.065,6.541,296.2,0.538,0.944,0.75,45.612,22.8
pga,2022,2022,Mexico Open at Vidanta,540,"Kitayama, Kurt",21891,T2,1,Vidanta Vallarta,978,64,2.372,0.143,1.819,1.95,3.913,6.285,309.7,0.846,0.833,0.429,50.243,34.314
pga,2022,2022,Mexico Open at Vidanta,540,"Kitayama, Kurt",21891,T2,2,Vidanta Vallarta,978,70,-1.373,0.335,1.627,0.292,2.254,0.881,309.4,0.692,0.722,0.75,50.199,26.9
pga,2022,2022,Mexico Open at Vidanta,540,"Kitayama, Kurt",21891,T2,3,Vidanta Vallarta,978,66,4.426,-0.76,-0.102,0.503,-0.358,4.068,316.3,0.462,0.667,0.714,45.608,31.821
pga,2022,2022,Mexico Open at Vidanta,540,"Kitayama, Kurt",21891,T2,4,Vidanta Vallarta,978,68,-0.458,0.585,0.845,0.569,1.999,1.541,317.7,0.692,0.833,0.714,63.941,29.052
pga,2022,2022,Mexico Open at Vidanta,540,"Wu, Brandon",25213,T2,1,Vidanta Vallarta,978,69,-0.637,-0.886,2.028,0.779,1.922,1.285,303.2,0.692,0.722,0.5,34.983,35.992
pga,2022,2022,Mexico Open at Vidanta,540,"Wu, Brandon",25213,T2,2,Vidanta Vallarta,978,70,0.238,-0.158,-0.859,1.66,0.643,0.881,303.6,0.692,0.778,0.571,72.358,39.191
pga,2022,2022,Mexico Open at Vidanta,540,"Wu, Brandon",25213,T2,3,Vidanta Vallarta,978,66,3.918,-2.06,1.787,0.422,0.15,4.068,300.4,0.615,0.722,0.778,41.861,35.966
pga,2022,2022,Mexico Open at Vidanta,540,"Wu, Brandon",25213,T2,4,Vidanta Vallarta,978,63,2.469,-0.243,2.592,1.723,4.072,6.541,299.4,0.846,0.889,0.6,46.064,33.555
pga,2022,2022,Mexico Open at Vidanta,540,"Riley, Davis",19872,5,1,Vidanta Vallarta,978,69,3.645,-0.877,-2.228,0.744,-2.36,1.285,305.3,0.538,0.611,0.9,38.81,42.093
pga,2022,2022,Mexico Open at Vidanta,540,"Riley, Davis",19872,5,2,Vidanta Vallarta,978,65,2.28,1.411,1.296,0.894,3.601,5.881,303.5,0.692,0.722,0.778,43.455,40.977
pga,2022,2022,Mexico Open at Vidanta,540,"Riley, Davis",19872,5,3,Vidanta Vallarta,978,67,1.928,0.182,0.04,0.917,1.14,3.068,308.7,0.692,0.667,0.75,60.31,33.76
pga,2022,2022,Mexico Open at Vidanta,540,"Riley, Davis",19872,5,4,Vidanta Vallarta,978,68,1.558,0.769,-1.392,0.606,-0.017,1.541,303.8,0.615,0.778,0.625,67.018,39.565
pga,2022,2022,Mexico Open at Vidanta,540,"Lipsky, David",15980,T6,1,Vidanta Vallarta,978,69,0.27,-1.029,2.389,-0.346,1.015,1.285,291.8,0.538,0.833,0.2,55.213,35.027
pga,2022,2022,Mexico Open at Vidanta,540,"Lipsky, David",15980,T6,2,Vidanta Vallarta,978,68,-0.132,-0.866,3.312,0.567,3.013,2.881,290.9,0.769,0.944,0.5,31.591,29.799
pga,2022,2022,Mexico Open at Vidanta,540,"Lipsky, David",15980,T6,3,Vidanta Vallarta,978,69,-0.75,-0.233,1.45,0.6,1.818,1.068,291.0,0.692,0.722,0.571,30.111,24.15
pga,2022,2022,Mexico Open at Vidanta,540,"Lipsky, David",15980,T6,4,Vidanta Vallarta,978,64,1.992,-0.235,2.834,0.95,3.549,5.541,292.4,0.769,0.833,1.0,36.128,29.383
pga,2022,2022,Mexico Open at Vidanta,540,"Smalley, Alex",18474,T6,1,Vidanta Vallarta,978,66,1.628,0.075,0.716,1.865,2.657,4.285,311.8,0.692,0.667,0.8,54.465,37.368
pga,2022,2022,Mexico Open at Vidanta,540,"Smalley, Alex",18474,T6,2,Vidanta Vallarta,978,66,0.271,-0.58,4.021,1.169,4.61,4.881,303.7,0.615,0.778,0.667,44.828,30.054
pga,2022,2022,Mexico Open at Vidanta,540,"Smalley, Alex",18474,T6,3,Vidanta Vallarta,978,70,0.926,-1.102,-0.583,0.826,-0.858,0.068,307.0,0.615,0.778,0.286,66.433,36.084
pga,2022,2022,Mexico Open at Vidanta,540,"Smalley, Alex",18474,T6,4,Vidanta Vallarta,978,68,-0.4,-0.131,0.876,1.196,1.941,1.541,311.0,0.538,0.833,0.667,44.443,29.868
pga,2022,2022,Mexico Open at Vidanta,540,"Wise, Aaron",22051,T6,1,Vidanta Vallarta,978,65,0.529,0.329,3.814,0.612,4.756,5.285,308.9,0.538,1.0,0.857,39.157,25.227
pga,2022,2022,Mexico Open at Vidanta,540,"Wise, Aaron",22051,T6,2,Vidanta Vallarta,978,75,-2.012,0.742,-0.412,-2.437,-2.107,-4.119,303.8,0.615,0.611,0.625,45.87,41.397
pga,2022,2022,Mexico Open at Vidanta,540,"Wise, Aaron",22051,T6,3,Vidanta Vallarta,978,66,0.01,0.022,2.036,1.999,4.058,4.068,308.9,0.769,0.833,0.571,61.487,25.018
pga,2022,2022,Mexico Open at Vidanta,540,"Wise, Aaron",22051,T6,4,Vidanta Vallarta,978,64,1.915,1.165,2.307,0.154,3.626,5.541,294.6,0.615,0.833,0.8,47.423,26.305
pga,2022,2022,Mexico Open at Vidanta,540,"Champ, Cameron",23542,T6,1,Vidanta Vallarta,978,67,2.523,0.018,-1.366,2.109,0.762,3.285,326.9,0.769,0.722,0.778,68.939,35.052
pga,2022,2022,Mexico Open at Vidanta,540,"Champ, Cameron",23542,T6,2,Vidanta Vallarta,978,66,2.028,0.557,0.663,1.633,2.853,4.881,325.3,0.692,0.833,0.857,26.247,43.716
pga,2022,2022,Mexico Open at Vidanta,540,"Champ, Cameron",23542,T6,3,Vidanta Vallarta,978,67,2.34,0.056,-0.481,1.152,0.728,3.068,315.5,0.538,0.778,0.7,36.745,39.834
pga,2022,2022,Mexico Open at Vidanta,540,"Champ, Cameron",23542,T6,4,Vidanta Vallarta,978,70,-0.137,-0.95,-0.341,0.969,-0.322,-0.459,314.1,0.692,0.833,0.5,64.219,33.652
