Player,Roster Position,%Drafted,FPTS
Corey Conners,G,26.72%,55
Cameron Young,G,24.81%,92
Rory McIlroy,G,24.58%,83
Russell Henley,G,23.65%,50.5
Max Homa,G,19.78%,110
Sepp Straka,G,18.97%,23
Keith Mitchell,G,18.78%,23
Matt Kuchar,G,18.76%,49.5
Seamus Power,G,18.76%,25
Matt Fitzpatrick,G,17.49%,81.5
Webb Simpson,G,15.38%,21
Joel Dahmen,G,15.14%,53.5
Si Woo Kim,G,14.08%,51
Tyrrell Hatton,G,13.92%,56.5
Brian Harman,G,13.03%,64.5
Gary Woodland,G,12.62%,18.5
Sergio Garcia,G,12.42%,66
Troy Merritt,G,11.42%,54
Marc Leishman,G,11.27%,32.5
Keegan Bradley,G,10.64%,95
Jhonattan Vegas,G,10.31%,67.5
Tony Finau,G,9.99%,50.5
Paul Casey,G,9.31%,0
Abraham Ancer,G,8.76%,38.5
Mark Hubbard,G,8.16%,29
C.T. Pan,G,7.85%,67
Denny McCarthy,G,7.62%,55.5
Aaron Rai,G,7.58%,27.5
Kevin Streelman,G,7.22%,25
Adam Long,G,6.69%,30
Patrick Reed,G,6.49%,16
Martin Laird,G,6.04%,40.5
Lucas Glover,G,6.00%,14.5
Doug Ghim,G,5.97%,25
Cameron Davis,G,5.77%,26
Matthew NeSmith,G,5.68%,51.5
Brandon Wu,G,5.57%,27
Matthias Schwab,G,5.33%,27
Anirban Lahiri,G,5.33%,74
Russell Knox,G,5.22%,55
Luke List,G,5.07%,63.5
Alex Smalley,G,5.02%,19.5
Lanto Griffin,G,4.90%,79.5
Nate Lashley,G,4.72%,16
David Lipsky,G,4.65%,18.5
Ryan Armour,G,4.22%,57
Jason Day,G,4.16%,72
Greyson Sigg,G,3.45%,17.5
Brendan Steele,G,3.07%,46.5
Tyler Duncan,G,2.63%,15.5
Rickie Fowler,G,2.60%,65.5
Peter Malnati,G,2.36%,51
Francesco Molinari,G,2.30%,24
Adam Svensson,G,2.28%,26
Kurt Kitayama,G,2.27%,70.5
Matt Jones,G,2.18%,23
Doc Redman,G,2.18%,14.5
Beau Hossler,G,2.10%,17
Austin Smotherman,G,2.07%,64.5
Kyoung-Hoon Lee,G,1.97%,60
Satoshi Kodaira,G,1.84%,21
Mackenzie Hughes,G,1.84%,73.5
Dylan Frittelli,G,1.82%,51
Matthew Wolff,G,1.78%,67
Branden Grace,G,1.73%,23
Brandon Matthews,G,1.72%,18.5
Brian Stuard,G,1.51%,17
Sung Kang,G,1.50%,18
Hayden Buckley,G,1.48%,27.5
Sam Ryder,G,1.36%,0
Charley Hoffman,G,1.34%,31
Ryan Blaum,G,1.27%,23.5
Chez Reavie,G,1.22%,61.5
Chad Ramey,G,1.19%,69
Chase Seiffert,G,1.16%,57
Kevin Chappell,G,1.16%,44.5
Charl Schwartzel,G,1.06%,29
Rory Sabbatini,G,1.06%,57
Nick Taylor,G,1.06%,61.5
Bill Haas,G,0.86%,16
J.T. Poston,G,0.81%,66
Harry Higgs,G,0.80%,29.5
John Huh,G,0.79%,27.5
Cameron Percy,G,0.74%,29.5
Jonathan Byrd,G,0.74%,17
Andrew Putnam,G,0.73%,24.5
Trey Mullinax,G,0.68%,22
Hank Lebioda,G,0.67%,54
Stewart Cink,G,0.67%,79.5
Taylor Moore,G,0.65%,35
Scott Piercy,G,0.57%,55
Michael Thompson,G,0.56%,34.5
Lee Hodges,G,0.54%,22
Kiradech Aphibarnrat,G,0.53%,19.5
Vince Whaley,G,0.51%,17.5
Brice Garnett,G,0.50%,15.5
Ben Martin,G,0.50%,41.5
Peter Uihlein,G,0.46%,24.5
Matt Wallace,G,0.45%,34.5
Kramer Hickok,G,0.42%,28.5
Wesley Bryan,G,0.42%,30.5
Vaughn Taylor,G,0.39%,25
Eugenio Chacarra,G,0.38%,16
Zach Johnson,G,0.37%,24.5
Andrew Novak,G,0.37%,21.5
Martin Trainer,G,0.36%,9.5
Stephan Jaeger,G,0.34%,78
Nick Watney,G,0.33%,30.5
David Lingmerth,G,0.30%,47
Henrik Norlander,G,0.29%,50
Adam Schenk,G,0.28%,71
Chesson Hadley,G,0.27%,20
Scott Gutschewski,G,0.27%,25
Bryson Nimmer,G,0.24%,17.5
Austin Cook,G,0.24%,27.5
Johnson Wagner,G,0.24%,16
Callum Tarren,G,0.23%,52.5
Brandon Hagy,G,0.20%,39
Danny Lee,G,0.20%,28
