"","G","G","G","G","G","G"
"1",22420069,22420084,22420087,22420096,22420105,22420120
"2",22420072,22420077,22420087,22420096,22420098,22420105
"3",22420072,22420077,22420087,22420091,22420096,22420120
"4",22420072,22420077,22420084,22420096,22420105,22420111
"5",22420072,22420077,22420087,22420095,22420096,22420111
"6",22420072,22420077,22420087,22420096,22420098,22420111
"7",22420072,22420077,22420087,22420091,22420096,22420114
"8",22420072,22420077,22420087,22420091,22420105,22420111
"9",22420072,22420084,22420086,22420087,22420091,22420095
"10",22420072,22420083,22420084,22420087,22420095,22420100
"11",22420072,22420082,22420083,22420090,22420098,22420100
"12",22420076,22420080,22420083,22420086,22420098,22420100
"13",22420078,22420080,22420082,22420083,22420098,22420100
"14",22420078,22420081,22420082,22420083,22420086,22420122
"15",22420078,22420081,22420082,22420083,22420093,22420101
"16",22420078,22420081,22420082,22420086,22420090,22420093
"17",22420078,22420081,22420082,22420086,22420092,22420093
"18",22420070,22420081,22420088,22420090,22420092,22420114
"19",22420070,22420078,22420088,22420092,22420101,22420122
"20",22420070,22420078,22420088,22420092,22420101,22420118
