"","Name","ID","Salary","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"1","Rory McIlroy",22420069,11500,0.1031,0.0821,-0.021,-0.2037,1,-30.96,0.05
"2","Tony Finau",22420070,10600,0.0418,0.0378,-0.004,-0.0957,4,1.2,0.15
"3","Abraham Ancer",22420071,10400,0.0311,0.0346,0.0035,0.1125,5,16.26,0
"4","Corey Conners",22420072,10100,0.0494,0.0533,0.0039,0.0789,2,18.73,0.5
"5","Tyrrell Hatton",22420074,9900,0.0295,0.0272,-0.0023,-0.078,7,4.61,0
"6","Marc Leishman",22420075,9700,0.0293,0.0266,-0.0027,-0.0922,8,3.97,0
"7","Keegan Bradley",22420076,9600,0.0422,0.031,-0.0112,-0.2654,6,-11.97,0.05
"8","Russell Henley",22420077,9300,0.0388,0.038,-0.000800000000000002,-0.0206,3,8.99,0.35
"9","Gary Woodland",22420078,9100,0.0229,0.0265,0.0036,0.1572,9,17.27,0.35
"10","Patrick Reed",22420079,9000,0.0143,0.0149,6e-04,0.042,27,10.18,0
"11","Paul Casey",22420080,8800,0.0282,0.0251,-0.0031,-0.1099,11,3.89,0.1
"12","Sergio Garcia",22420081,8700,0.0249,0.0238,-0.0011,-0.0442,13,7.77,0.25
"13","Max Homa",22420082,8600,0.0219,0.0231,0.0012,0.0548,14,12.4,0.3
"14","Si Woo Kim",22420083,8400,0.0179,0.0224,0.0045,0.2514,15,19.71,0.3
"15","Seamus Power",22420084,8300,0.029,0.0259,-0.0031,-0.1069,10,4.39,0.2
"16","Jason Day",22420085,8200,0.0118,0.0151,0.0033,0.2797,26,16.96,0
"17","Webb Simpson",22420086,8100,0.0178,0.0189,0.0011,0.0618,18,12.26,0.25
"18","Cameron Young",22420087,8000,0.021,0.0244,0.0034,0.1619,12,17.71,0.45
"19","Matt Kuchar",22420088,7900,0.0143,0.0161,0.0018,0.1259,22,13.73,0.15
"20","Aaron Rai",22420089,7900,0.012,0.0125,5e-04,0.0417,31,10.64,0
"21","Jhonattan Vegas",22420090,7800,0.0173,0.0162,-0.0011,-0.0636,21,7.93,0.15
"22","Keith Mitchell",22420091,7800,0.0206,0.0192,-0.0014,-0.068,16,7.62,0.2
"23","Doug Ghim",22420092,7800,0.016,0.0157,-0.000300000000000002,-0.0188,23,9.44,0.2
"24","Brian Harman",22420093,7700,0.0162,0.0152,-0.000999999999999999,-0.0617,24,8.14,0.15
"25","Matt Jones",22420094,7700,0.0094,0.0085,-9e-04,-0.0957,45,7.74,0
"26","Kevin Streelman",22420095,7700,0.0185,0.0165,-0.002,-0.1081,19,6.35,0.15
"27","Sepp Straka",22420096,7600,0.0163,0.0192,0.0029,0.1779,16,16.75,0.35
"28","Matthew NeSmith",22420097,7600,0.0111,0.0121,0.000999999999999999,0.0901,32,12.01,0
"29","Joel Dahmen",22420098,7600,0.0163,0.0164,0.000100000000000003,0.0061,20,10.55,0.25
"30","Lanto Griffin",22420099,7600,0.0087,0.0081,-6e-04,-0.069,47,8.38,0
"31","Troy Merritt",22420100,7500,0.0154,0.014,-0.0014,-0.0909,28,7.53,0.2
