player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,39.48,1.7,41.68,66,21,0,0,6600,,34908,1210
2024,,,G,Max Homa,59.37,17.9,74.58,81.5,25.5,0,0,8600,,36137,2024
2145,,,G,Chesson Hadley,33.77,0.37,29.48,59,19.43,0,0,6200,,34879,2145
722304,,,G,Greg Odom,22.77,0.01,15,48.05,12.52,0,0,6000,,3490281,722304
2178,,,G,Pat Perez,,0,,,,0,0,6800,,36099,2178
693781,,,G,Matthew Wolff,33.49,0.58,46.24,59,19,0,0,7000,,777097,693781
1562,,,G,Curtis Thompson,41.15,0.07,32.82,66,21.5,0,0,6300,,2959180,1562
2168,,,G,Kevin Tway,37.22,0.23,38.46,64,20,0,0,6400,,35139,2168
755459,,,G,Turk Pettit,36.7,0.04,29.47,62.5,20,0,0,6000,,3083537,755459
1860,,,G,Corey Conners,72.69,30.1,87.73,91.5,34.35,0,0,10100,,37123,1860
2125,,,G,Tony Finau,66.29,12.6,85.86,86.5,27.5,0,0,10600,,34873,2125
1179,,,G,Brandon Hagy,41.09,0.39,30.82,67.5,21,0,0,6300,,36079,1179
2026,,,G,Bo Van Pelt,32.98,0.03,32.89,58,19,0,0,6000,,1303898,2026
2158,,,G,Lucas Glover,51.74,5.3,68.22,75,24,0,0,7200,,34876,2158
571331,,,G,Brandon Matthews,34.23,0.33,27.98,60,19,0,0,6000,,1708994,571331
696566,,,G,Brandon Wu,43.63,9,44.85,69,22,0,0,7500,,1074861,696566
1883,,,G,Danny Lee,41.27,0.36,48.09,67.58,21.5,0,0,6700,,34784,1883
1663,,,G,Chez Reavie,43.54,0.89,51.77,69,21.93,0,0,6700,,34927,1663
1455,,,G,Ryan Armour,52.49,6.7,62.13,75.5,24,0,0,6800,,36068,1455
1356,,,G,Tyrrell Hatton,62.87,10.8,82.19,84.5,26.5,0,0,9900,,35279,1356
1477,,,G,Sung Kang,34.33,1.7,32.31,60,19,0,0,6900,,34893,1477
2049,,,G,Zach Johnson,43.13,0.29,53.29,68.5,22,0,0,6800,,34772,2049
696842,,,G,Eugenio Chacarra,,0,,,,0,0,6000,,-696842,696842
670398,,,G,Greyson Sigg,46.96,2.1,53.08,72,22.5,0,0,7000,,37979,670398
1741,,,G,Dawie Van der Walt,34.16,0.01,26.68,60,19.5,0,0,6000,,34946,1741
1631,,,G,Charley Hoffman,48.57,0.85,58.06,73.5,23,0,0,6400,,34766,1631
1400,,,G,Johnson Wagner,27.34,0.24,30.44,35.5,17,0,0,6100,,34949,1400
1653,,,G,C.T. Pan,53.35,9.4,71.14,77,24.43,0,0,7500,,35389,1653
1554,,,G,Kevin Streelman,58.21,6.4,73.37,80.5,25,0,0,7700,,34815,1554
74908,,,G,Wesley Bryan,39.02,0.32,39.54,65,21,0,0,6400,,35076,74908
1698,,,G,Henrik Norlander,41.82,0.5,48.47,67,21,0,0,6300,,34917,1698
764548,,,G,Jacob Bridgeman,22.79,0.01,15,48.09,12.54,0,0,6200,,3490282,764548
1115,,,G,Nick Watney,31.53,0.19,43.42,56.5,18.5,0,0,6200,,36095,1115
1478,,,G,Jhonattan Vegas,60.92,8.8,77.29,82.5,26,0,0,7800,,35007,1478
1005,,,G,Stewart Cink,43.19,1.1,54.74,69,22,0,0,7200,,34863,1005
570871,,,G,Drew Nesbitt,23.14,0.01,15,48.82,12.73,0,0,6100,,822033,570871
299952,,,G,Brett Drewitt,32.61,0.04,25.05,58,18.5,0,0,6100,,36074,299952
288611,,,G,Paul Barjon,39.89,0.2,35.94,67,21,0,0,6200,,912552,288611
698823,,,G,Vince Whaley,34.07,0.49,40.89,60.08,19,0,0,6200,,1266432,698823
1654,,,G,Russell Henley,64.91,27.4,88.52,85.5,27.5,0,0,9300,,34884,1654
1237,,,G,Rickie Fowler,46.51,1.5,59.18,71.5,23,0,0,7400,,34760,1237
1017,,,G,Ryan Blaum,45.07,0.3,30.48,71,22,0,0,6100,,36069,1017
2128,,,G,Camilo Villegas,43.44,0.18,34.51,68.58,22,0,0,6300,,34948,2128
692004,,,G,Hank Lebioda,44.6,0.74,46.95,69.5,22.5,0,0,6600,,565462,692004
1941,,,G,Matthew NeSmith,51.14,11.1,58.98,75,23.5,0,0,7600,,35080,1941
1842,,,G,Tyler Duncan,42.89,1.9,48.75,68.5,21.5,0,0,6900,,37911,1842
696569,,,G,Cameron Young,60.04,26.3,68.56,82.5,26,0,0,8000,,1074862,696569
1622,,,G,Joel Dahmen,50.93,13.6,72.92,75,23.5,0,0,7600,,36136,1622
1655,,,G,James Hahn,43.71,0.25,43.64,68.5,22,0,0,6400,,34881,1655
1216,,,G,Russell Knox,51.96,6.5,66.79,75.5,23.93,0,0,7300,,34778,1216
710837,,,G,Larkin Gross,29.16,0.01,16.01,51,18,0,0,6000,,2879211,710837
1018,,,G,Denny McCarthy,47.63,4.6,66.1,72.5,23,0,0,7300,,35117,1018
692005,,,G,Adam Long,47.56,11.5,54.9,72.58,22.5,0,0,7400,,565464,692005
1832,,,G,Brice Garnett,45.46,0.46,49.71,70,22.5,0,0,6500,,34968,1832
1689,,,G,Beau Hossler,42.49,2.4,52.77,68.5,21.5,0,0,7100,,36293,1689
1107,,,G,Brian Stuard,43.52,1.4,56.11,68.5,21.5,0,0,6900,,35002,1107
2119,,,G,Chad Ramey,39.1,0.89,50.7,65,21,0,0,6800,,3083529,2119
330678,,,G,Cameron Davis,52.06,8.3,66.39,76.5,24,0,0,7200,,36131,330678
1822,,,G,Luke Donald,41.61,0.14,46.21,67,21.5,0,0,6400,,34870,1822
1514,,,G,Trey Mullinax,45.6,0.42,36.34,70.5,22.43,0,0,6500,,36084,1514
1888,,,G,Roger Sloan,44.28,0.31,43.74,70,22,0,0,6300,,466730,1888
670403,,,G,Andrew Novak,43.63,0.85,49.53,69.08,22,0,0,6500,,37983,670403
670557,,,G,Norman Xiong,40.99,0.21,22,67.5,21,0,0,6000,,68223,670557
692007,,,G,Seth Reeves,34.68,0.15,34.74,61.5,19.5,0,0,6100,,565466,692007
1713,,,G,Chase Seiffert,47.12,0.77,49.03,72,22.5,0,0,6500,,37223,1713
671019,,,G,Joshua Creel,32.71,0.03,28.9,58.08,18.5,0,0,6100,,241191,671019
1427,,,G,Satoshi Kodaira,43.77,1,38.16,69,22,0,0,6400,,35290,1427
165746,,,G,Taylor Moore,46.18,0.71,58.71,70.5,23,0,0,7100,,35323,165746
692426,,,G,Hayden Buckley,44.27,1.5,46.29,70,22.5,0,0,6500,,1694130,692426
1813,,,G,Francesco Molinari,42.8,1.2,58.13,68.5,22,0,0,7400,,34915,1813
1956,,,G,Austin Cook,30.79,0.08,24.97,55,18.5,0,0,6000,,37956,1956
185304,,,G,Seamus Power,62.22,14.5,78.11,83.5,27,0,0,8300,,35404,185304
670625,,,G,Doug Ghim,53.94,11.4,64.21,76.5,24.5,0,0,7800,,201095,670625
477949,,,G,Austin Smotherman,42.91,2.3,47.12,68.5,22,0,0,6800,,3083528,477949
1902,,,G,David Skinns,34.68,0.17,30.6,60.5,19.5,0,0,6100,,37984,1902
1935,,,G,Aaron Baddeley,36.81,0.22,,62.58,20.5,0,0,6200,,34850,1935
1979,,,G,Kelly Kraft,31.87,0.05,24.49,57.08,18.5,0,0,6200,,34901,1979
353925,,,G,Aaron Rai,53.31,6.8,67.97,76,24,0,0,7900,,37143,353925
1859,,,G,Paul Casey,66.51,8.2,91.82,87,28.5,0,0,8800,,34747,1859
193,,,G,Charl Schwartzel,38.39,0.62,45.75,64,20.5,0,0,6600,,34806,193
1639,,,G,Matt Kuchar,52.86,14.7,71.14,76,24,0,0,7900,,34780,1639
670627,,,G,Doc Redman,42.95,0.75,49.31,68.5,21.5,0,0,7000,,139893,670627
63191,,,G,Matt Wallace,37.99,0.59,40.79,64,20.5,0,0,6600,,37151,63191
1409,,,G,Troy Merritt,51.6,10.5,68.55,76,24,0,0,7500,,34794,1409
473728,,,G,Nate Lashley,43.16,2.7,51.87,68.5,21.5,0,0,7000,,37914,473728
430916,,,G,Matthias Schwab,54.48,2.9,65.74,77.5,24.5,0,0,7200,,36546,430916
1927,,,G,Martin Laird,49.26,8.8,63.43,73.5,23,0,0,7100,,35040,1927
692607,,,G,Lee Hodges,45.64,0.45,50.65,71,22,0,0,6800,,672519,692607
1807,,,G,Scott Gutschewski,47.41,0.35,40.5,72,23,0,0,6100,,3083535,1807
703290,,,G,Jared Wolfe,36.28,0.09,29.4,62,20,0,0,6100,,3083530,703290
780,,,G,Sergio Garcia,64.09,15.1,78.82,86,26.5,0,0,8700,,34761,780
1907,,,G,Ben Kohles,38.09,0.24,36.31,64.5,20.5,0,0,6400,,37131,1907
142,,,G,Marc Leishman,58.94,8.9,80.38,80.5,25.5,0,0,9700,,34785,142
392408,,,G,Jim Knous,36.94,0.06,28.89,63,20,0,0,6000,,565461,392408
782,,,G,Patrick Reed,48.71,4.5,68.51,72.58,23.5,0,0,9000,,34803,782
463,,,G,Rory McIlroy,79.97,20.3,94.06,103,61.43,0,0,11500,,34793,463
662,,,G,Abraham Ancer,56.62,9.9,83.1,79.5,25,0,0,10400,,34959,662
552,,,G,Mackenzie Hughes,43.04,0.94,63.01,67.5,22,0,0,7000,,36080,552
648084,,,G,Lanto Griffin,51.04,5.3,71.64,75,24,0,0,7600,,37913,648084
586,,,G,David Lipsky,50.59,5.7,55.14,75,23.5,0,0,7500,,36524,586
73285,,,G,Sepp Straka,51.82,16.5,67.97,75.5,24,0,0,7600,,565467,73285
620,,,G,Seung-Yul Noh,,0,36.06,,,0,0,6100,,34916,620
