date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"May 8, 2022","Wells Fargo Championship","McIlroy, Rory",0.74455,0.026325,0.543275,0.440875,0.292525,0.184625,0.12835,0.05245,5
"May 8, 2022","Wells Fargo Championship","Conners, Corey",0.7366,0.0224,0.516125,0.41125,0.261675,0.1578,0.106275,0.04275,T21
"May 8, 2022","Wells Fargo Championship","Fitzpatrick, Matthew",0.72265,0.019775,0.4961,0.3872,0.240925,0.14445,0.0957,0.037125,T2
"May 8, 2022","Wells Fargo Championship","Henley, Russell",0.72645,0.019575,0.485275,0.378375,0.2329,0.1355,0.09025,0.034675,T41
"May 8, 2022","Wells Fargo Championship","Power, Seamus",0.67305,0.015775,0.425125,0.31995,0.188775,0.106975,0.069575,0.02715,CUT
"May 8, 2022","Wells Fargo Championship","Kim, Si Woo",0.675425,0.016,0.408425,0.30565,0.1787,0.100325,0.064225,0.02475,T37
"May 8, 2022","Wells Fargo Championship","Ancer, Abraham",0.6729999999999999,0.015925,0.4217,0.318075,0.185075,0.1025,0.06475,0.0245,T56
"May 8, 2022","Wells Fargo Championship","Bradley, Keegan",0.657275,0.016,0.400525,0.297825,0.17225,0.096125,0.061375,0.021575,T2
"May 8, 2022","Wells Fargo Championship","Garcia, Sergio",0.6755,0.01385,0.4002,0.297825,0.168925,0.094875,0.059925,0.02105,T21
"May 8, 2022","Wells Fargo Championship","Homa, Max",0.66275,0.014125,0.383175,0.282725,0.15905,0.087925,0.05515,0.02,1
"May 8, 2022","Wells Fargo Championship","Young, Cameron",0.654,0.012975,0.378025,0.2778,0.15585,0.085375,0.052775,0.01895,T2
"May 8, 2022","Wells Fargo Championship","Mitchell, Keith",0.64775,0.01345,0.368225,0.2676,0.148575,0.08005,0.050775,0.0184,CUT
"May 8, 2022","Wells Fargo Championship","Finau, Tony",0.640075,0.013475,0.370725,0.27135,0.15445,0.08385,0.0518,0.01815,T41
"May 8, 2022","Wells Fargo Championship","Hatton, Tyrrell",0.62295,0.014525,0.353725,0.25805,0.1447,0.077525,0.048775,0.017025,T37
"May 8, 2022","Wells Fargo Championship","Ghim, Doug",0.631625,0.0122,0.364125,0.264975,0.147025,0.0767,0.04665,0.016625,CUT
"May 8, 2022","Wells Fargo Championship","Long, Adam",0.636025,0.01365,0.35135,0.252075,0.138575,0.07435,0.046125,0.016475,CUT
"May 8, 2022","Wells Fargo Championship","Dahmen, Joel",0.640725,0.012025,0.360625,0.2574,0.139925,0.0757,0.04675,0.01555,T51
"May 8, 2022","Wells Fargo Championship","Woodland, Gary",0.6361,0.0115,0.34725,0.2488,0.134725,0.07145,0.044025,0.0153,CUT
"May 8, 2022","Wells Fargo Championship","Vegas, Jhonattan",0.6397,0.010775,0.35185,0.2502,0.1342,0.068675,0.04235,0.014525,T15
"May 8, 2022","Wells Fargo Championship","Harman, Brian",0.6149,0.011075,0.3378,0.239975,0.129625,0.06725,0.04035,0.014025,T9
"May 8, 2022","Wells Fargo Championship","Streelman, Kevin",0.62655,0.011375,0.33425,0.2352,0.1262,0.065325,0.039925,0.01355,CUT
"May 8, 2022","Wells Fargo Championship","Knox, Russell",0.62345,0.010825,0.3322,0.236425,0.127525,0.067425,0.04025,0.0134,T35
"May 8, 2022","Wells Fargo Championship","Straka, Sepp",0.5949,0.0109,0.31595,0.22505,0.1204,0.062425,0.038525,0.0132,CUT
"May 8, 2022","Wells Fargo Championship","NeSmith, Matthew",0.610575,0.0106,0.319925,0.22395,0.118425,0.06135,0.0371,0.01255,T31
"May 8, 2022","Wells Fargo Championship","Rai, Aaron",0.584675,0.0114,0.306875,0.21485,0.114,0.0571,0.033925,0.011775,CUT
"May 8, 2022","Wells Fargo Championship","Leishman, Marc",0.580625,0.009725,0.29695,0.206775,0.1099,0.055825,0.034525,0.011375,CUT
"May 8, 2022","Wells Fargo Championship","Kuchar, Matt",0.598775,0.008725,0.301375,0.20635,0.10665,0.05425,0.03295,0.011075,T49
"May 8, 2022","Wells Fargo Championship","Merritt, Troy",0.5812,0.010125,0.299875,0.209925,0.110425,0.05505,0.03275,0.011000000000000001,T35
"May 8, 2022","Wells Fargo Championship","Pan, C.T.",0.58055,0.009875,0.2992,0.207525,0.1078,0.054575,0.033375,0.010275,T15
