player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"McIlroy, Rory",150,+1807,+1118,-0.361
"Conners, Corey",150,+2239,+1777,-0.198
"Fitzpatrick, Matthew",150,+2594,+1886,-0.263
"Henley, Russell",150,+2784,+2530,-0.088
"Power, Seamus",150,+3583,+3768,0.050
"Kim, Si Woo",150,+3940,+4365,0.105
"Ancer, Abraham",150,+3982,+2794,-0.291
"Bradley, Keegan",150,+4535,+3122,-0.305
"Garcia, Sergio",150,+4651,+4101,-0.116
"Homa, Max",150,+4900,+4229,-0.134
"Young, Cameron",150,+5177,+4002,-0.223
"Mitchell, Keith",150,+5335,+5097,-0.044
"Finau, Tony",150,+5410,+2545,-0.520
"Casey, Paul",150,+5425,+3890,-0.278
"Hatton, Tyrrell",150,+5774,+3577,-0.374
"Ghim, Doug",150,+5915,+6250,0.056
"Long, Adam",150,+5970,+6533,0.093
"Dahmen, Joel",150,+6331,+5993,-0.053
"Woodland, Gary",150,+6436,+3680,-0.422
"Vegas, Jhonattan",150,+6785,+6091,-0.101
"Harman, Brian",150,+7030,+6466,-0.079
"Streelman, Kevin",150,+7280,+5975,-0.177
"Knox, Russell",150,+7363,+7694,0.044
"Straka, Sepp",150,+7476,+5100,-0.314
"NeSmith, Matthew",150,+7868,+8147,0.035
"Rai, Aaron",150,+8393,+7880,-0.060
"Leishman, Marc",150,+8691,+3661,-0.572
"Kuchar, Matt",150,+8929,+6115,-0.312
"Merritt, Troy",150,+8991,+7044,-0.214
"Pan, C.T.",150,+9632,+7600,-0.209
"Simpson, Webb",150,+9728,+5183,-0.462
"Day, Jason",150,+9900,+6514,-0.339
"Smalley, Alex",150,+10027,+10124,0.010
"Lipsky, David",150,+10156,+9938,-0.021
"McCarthy, Denny",150,+10595,+9606,-0.092
"Laird, Martin",150,+10624,+10588,-0.003
"Steele, Brendan",150,+10799,+11255,0.042
"Duncan, Tyler",150,+11136,+12843,0.152
"Hubbard, Mark",150,+11427,+9591,-0.159
"Glover, Lucas",150,+11985,+11302,-0.056
"Reed, Patrick",150,+12284,+6601,-0.459
"Griffin, Lanto",150,+12639,+12318,-0.025
"Lee, Kyounghoon",150,+12680,+15326,0.207
"Armour, Ryan",150,+13189,+11405,-0.134
"List, Luke",150,+13233,+10773,-0.185
"Davis, Cameron",150,+14393,+10007,-0.303
"Lahiri, Anirban",150,+15052,+10345,-0.311
"Sigg, Greyson",150,+15109,+13782,-0.087
"Moore, Taylor",150,+15464,+16744,0.082
"Jones, Matt",150,+15586,+11703,-0.248
"Lashley, Nate",150,+15773,+15706,-0.004
"Poston, J.T.",150,+16029,+15165,-0.054
"Hickok, Kramer",150,+16094,+16125,0.002
"Thompson, Michael",150,+17918,+18264,0.019
"Hughes, Mackenzie",150,+19800,+17732,-0.104
"Stuard, Brian",150,+19800,+16094,-0.186
"Ramey, Chad",150,+19900,+20463,0.028
"Taylor, Nick",150,+19900,+17838,-0.103
"Redman, Doc",150,+20102,+19905,-0.010
"Grace, Branden",150,+20413,+13168,-0.353
"Seiffert, Chase",150,+20519,+18555,-0.095
"Fowler, Rickie",150,+20519,+12025,-0.412
"Schwab, Matthias",150,+20733,+15160,-0.268
"Huh, John",150,+21522,+21831,0.014
"Wu, Brandon",150,+21878,+9473,-0.564
"Buckley, Hayden",150,+21999,+24028,0.092
"Putnam, Andrew",150,+22372,+18097,-0.190
"Higgs, Harry",150,+22499,+23083,0.026
"Frittelli, Dylan",150,+23292,+17169,-0.262
"Molinari, Francesco",150,+25057,+17904,-0.284
"Svensson, Adam",150,+25874,+22115,-0.145
"Garnett, Brice",150,+26044,+25859,-0.007
"Hahn, James",150,+28069,+29447,0.049
"Bramlett, Joseph",150,+28677,+29447,0.027
"Hossler, Beau",150,+28886,+20358,-0.294
"Sabbatini, Rory",150,+29312,+29994,0.023
"Reavie, Chez",150,+29312,+24159,-0.175
"Malnati, Peter",150,+29975,+29994,0.001
"Taylor, Vaughn",150,+29975,+30265,0.010
"Hodges, Lee",150,+30203,+30546,0.011
"Lopez-Chacarra, Eugenio",150,+31900,,0.00
"Ryder, Sam",150,+32687,+24457,-0.251
"Mullinax, Trey",150,+32958,+32908,-0.002
"Smotherman, Austin",150,+34088,+27700,-0.187
"Lebioda, Hank",150,+34383,+32069,-0.067
"Kohles, Ben",150,+34683,+36846,0.062
"Novak, Andrew",150,+35298,+29994,-0.150
"Whaley, Vincent",150,+36597,+34984,-0.044
"Wu, Dylan",150,+37636,+31931,-0.151
"Sloan, Roger",150,+37995,+38773,0.020
"Percy, Cameron",150,+39116,+36824,-0.058
"Johnson, Zach",150,+40304,+24634,-0.388
"Kodaira, Satoshi",150,+40716,+36293,-0.108
"Cink, Stewart",150,+42005,+28053,-0.331
"Norlander, Henrik",150,+43378,+42944,-0.010
"Lee, Danny",150,+43378,+37215,-0.142
"Aphibarnrat, Kiradech",150,+43856,+44581,0.016
"Schenk, Adam",150,+44344,+44326,-0.000
"Piercy, Scott",150,+45877,+33227,-0.275
"Herman, Jim",150,+45877,+45266,-0.013
"Jaeger, Stephan",150,+46412,+16509,-0.643
"Bryan, Wesley",150,+46412,+48539,0.046
"Kitayama, Kurt",150,+47519,+24195,-0.490
"Haas, Bill",150,+49900,+46232,-0.073
"Gutschewski, Scott",150,+51182,+48763,-0.047
"Bridgeman, Jacob",150,+54695,,0.00
"Byrd, Jonathan",150,+54695,,0.00
"Tarren, Callum",150,+58724,+51728,-0.119
"Barjon, Paul",150,+60506,,0.00
"Hoag, Bo",150,+60506,+57163,-0.055
"Hoffman, Charley",150,+63392,+36658,-0.421
"Kang, Sung",150,+64416,+15220,-0.763
"McGreevy, Max",150,+65474,,0.00
"Martin, Ben",150,+66567,+44326,-0.334
"McGirt, William",150,+71329,,0.00
"Chappell, Kevin",150,+79900,+42822,-0.463
"Wolff, Matthew",150,+85006,,0.00
"Cook, Austin",150,+86857,,0.00
"Lower, Justin",150,+86857,,0.00
"Uihlein, Peter",150,+86857,+40798,-0.530
"Skinns, David",150,+95138,,0.00
"Matthews, Brandon",150,+97461,,0.00
"Tway, Kevin",150,+99900,,0.00
"Watney, Nick",150,+99900,,0.00
"Blaum, Ryan",150,+108008,+54778,-0.492
"Villegas, Camilo",150,+108008,,0.00
"Pettit, Turk",150,+111011,,0.00
"Schwartzel, Charl",150,+114186,+37477,-0.671
"Donald, Luke",150,+114186,,0.00
"Kraft, Kelly",150,+117547,,0.00
"Werenski, Richy",150,+124900,,0.00
"Wolfe, Jared",150,+128932,,0.00
"Lingmerth, David",150,+142757,,0.00
"Hagy, Brandon",150,+148048,,0.00
"Gligic, Michael",150,+153746,,0.00
"Reeves, Seth",150,+166567,,0.00
"Thompson, Curtis",150,+173813,,0.00
"Hoffmann, Morgan",150,+190376,,0.00
"Wallace, Matt",150,Inf,,0.00
"Hadley, Chesson",150,Inf,,0.00
"Nimmer, Bryson",150,Inf,,0.00
"Drewitt, Brett",150,Inf,,0.00
"Trainer, Martin",150,Inf,,0.00
"Baddeley, Aaron",150,Inf,,0.00
"Van Der Walt, Dawie",150,Inf,,0.00
"Creel, Joshua",150,Inf,,0.00
"Xiong, Norman",150,Inf,,0.00
"Gainey, Tommy",150,Inf,,0.00
"Van Pelt, Bo",150,Inf,,0.00
"Thompson, Nicholas",150,Inf,,0.00
"Knous, Jim",150,Inf,,0.00
"Blixt, Jonas",150,Inf,,0.00
"Nesbitt, Drew",114,Inf,,0.00
"Wagner, Johnson",150,Inf,,0.00
"Gross, Larkin",2,,,0.00
"Odom, Greg",34,,,0.00
