player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Scheffler, Scottie",150,2.133,25,0.022,0.029,-0.076,-0.068,-0.036,-0.079,-0.003,0.047,-0.035,1.969,2.683,"AT&T Byron Nelson",TPC Craig Ranch
"Thomas, Justin",150,1.918,29,0.012,0.032,-0.010,-0.040,-0.040,-0.092,0.019,0.043,-0.030,1.842,2.649,"AT&T Byron Nelson",TPC Craig Ranch
"Matsuyama, Hideki",150,1.317,30,0.008,-0.037,-0.005,0.123,-0.031,-0.038,-0.011,0.028,-0.021,1.354,2.677,"AT&T Byron Nelson",TPC Craig Ranch
"Zalatoris, Will",150,1.241,25,0.023,0.016,0.041,0.078,-0.014,-0.090,0.015,0.022,-0.054,1.332,2.637,"AT&T Byron Nelson",TPC Craig Ranch
"Schauffele, Xander",150,1.386,28,0.014,0.015,-0.020,0.018,-0.040,-0.074,-0.010,0.030,-0.054,1.318,2.634,"AT&T Byron Nelson",TPC Craig Ranch
"Burns, Sam",150,1.427,25,0.023,-0.021,-0.018,-0.175,0.020,-0.073,0.001,0.032,-0.040,1.216,2.713,"AT&T Byron Nelson",TPC Craig Ranch
"Niemann, Joaquin",150,1.126,23,0.030,0.050,0.033,0.036,-0.040,-0.078,0.016,0.023,-0.039,1.196,2.630,"AT&T Byron Nelson",TPC Craig Ranch
"Johnson, Dustin",150,1.331,37,-0.017,0.042,-0.049,-0.020,-0.040,-0.100,0.018,0.025,-0.057,1.190,2.701,"AT&T Byron Nelson",TPC Craig Ranch
"Power, Seamus",150,0.892,35,-0.008,0.028,0.034,0.101,0.020,-0.027,-0.004,0.020,-0.011,1.057,2.672,"AT&T Byron Nelson",TPC Craig Ranch
"Fleetwood, Tommy",150,1.131,31,0.005,-0.031,-0.027,-0.104,-0.040,-0.035,0.005,0.025,-0.005,0.928,2.621,"AT&T Byron Nelson",TPC Craig Ranch
"Wise, Aaron",150,0.875,25,0.022,0.011,-0.022,0.105,-0.027,-0.046,-0.006,0.016,-0.036,0.927,2.680,"AT&T Byron Nelson",TPC Craig Ranch
"Spieth, Jordan",150,0.802,28,0.013,-0.010,-0.045,0.173,-0.009,-0.040,0.022,0.020,0.002,0.926,2.711,"AT&T Byron Nelson",TPC Craig Ranch
"Gooch, Talor",150,1.051,30,0.007,0.041,-0.013,-0.138,-0.022,-0.026,-0.008,0.032,-0.002,0.924,2.681,"AT&T Byron Nelson",TPC Craig Ranch
"Kim, Si Woo",150,0.718,26,0.019,0.035,0.002,0.154,-0.033,-0.009,-0.021,0.016,-0.014,0.881,2.668,"AT&T Byron Nelson",TPC Craig Ranch
"McNealy, Maverick",150,0.907,26,0.020,-0.011,0.002,0.010,-0.040,-0.038,-0.003,0.016,-0.026,0.862,2.670,"AT&T Byron Nelson",TPC Craig Ranch
"Noren, Alex",150,0.957,39,-0.023,-0.018,0.011,-0.123,-0.006,-0.006,-0.001,0.025,0.018,0.815,2.648,"AT&T Byron Nelson",TPC Craig Ranch
"Vegas, Jhonattan",150,0.954,37,-0.016,0.011,-0.016,-0.073,0.007,-0.120,0.014,0.013,-0.093,0.774,2.614,"AT&T Byron Nelson",TPC Craig Ranch
"Watson, Bubba",150,0.749,43,-0.035,-0.020,0.063,0.088,-0.040,-0.039,-0.002,0.005,-0.037,0.768,2.679,"AT&T Byron Nelson",TPC Craig Ranch
"Hadwin, Adam",150,0.824,34,-0.006,-0.006,0.014,-0.041,-0.040,0.016,-0.035,0.024,0.004,0.751,2.663,"AT&T Byron Nelson",TPC Craig Ranch
"Koepka, Brooks",150,0.742,32,0.002,0.073,-0.032,0.067,-0.047,-0.093,0.028,0.012,-0.054,0.750,2.665,"AT&T Byron Nelson",TPC Craig Ranch
"Straka, Sepp",150,0.774,29,0.012,0.107,-0.054,-0.055,-0.006,-0.045,-0.004,0.016,-0.033,0.744,2.674,"AT&T Byron Nelson",TPC Craig Ranch
"Munoz, Sebastian",150,0.688,29,0.011,-0.002,-0.020,0.115,-0.025,-0.019,-0.018,0.011,-0.026,0.742,2.705,"AT&T Byron Nelson",TPC Craig Ranch
"Hoge, Tom",150,0.708,32,-0.001,-0.035,-0.003,0.102,-0.050,0.013,-0.026,0.012,-0.001,0.720,2.673,"AT&T Byron Nelson",TPC Craig Ranch
"Mitchell, Keith",150,0.669,30,0.008,0.029,0.005,0.061,-0.003,-0.073,0.007,0.005,-0.061,0.707,2.682,"AT&T Byron Nelson",TPC Craig Ranch
"Pereira, Mito",150,0.652,27,0.018,0.041,-0.013,0.047,-0.040,-0.029,-0.013,0.010,-0.032,0.674,2.631,"AT&T Byron Nelson",TPC Craig Ranch
"Day, Jason",150,0.651,34,-0.006,0.021,0.035,0.003,-0.038,-0.042,0.006,0.018,-0.017,0.648,2.677,"AT&T Byron Nelson",TPC Craig Ranch
"Scott, Adam",150,0.875,41,-0.030,-0.031,0.000,-0.118,-0.040,-0.059,0.020,0.018,-0.021,0.635,2.662,"AT&T Byron Nelson",TPC Craig Ranch
"Kokrak, Jason",150,0.835,36,-0.014,0.015,-0.031,-0.073,-0.040,-0.079,-0.002,0.014,-0.067,0.624,2.698,"AT&T Byron Nelson",TPC Craig Ranch
"Griffin, Lanto",150,0.621,33,-0.004,0.005,0.016,0.025,-0.040,-0.025,0.009,0.010,-0.006,0.618,2.660,"AT&T Byron Nelson",TPC Craig Ranch
"Leishman, Marc",150,0.712,38,-0.019,-0.058,0.002,-0.049,-0.004,-0.025,0.013,0.016,0.005,0.589,2.656,"AT&T Byron Nelson",TPC Craig Ranch
"Pan, C.T.",150,0.515,30,0.007,0.002,0.001,0.097,-0.040,0.013,-0.022,0.013,0.004,0.585,2.640,"AT&T Byron Nelson",TPC Craig Ranch
"Kizzire, Patton",150,0.553,36,-0.011,0.052,0.033,-0.123,0.023,-0.023,0.022,0.016,0.014,0.540,2.677,"AT&T Byron Nelson",TPC Craig Ranch
"List, Luke",150,0.349,37,-0.015,-0.005,-0.006,0.314,-0.030,-0.101,0.021,-0.002,-0.082,0.524,2.650,"AT&T Byron Nelson",TPC Craig Ranch
"Spaun, J.J.",150,0.450,31,0.003,0.038,-0.033,0.071,0.000,0.026,-0.038,0.005,-0.006,0.523,2.647,"AT&T Byron Nelson",TPC Craig Ranch
"Howell III, Charles",150,0.460,42,-0.033,-0.087,0.004,0.214,-0.028,-0.020,-0.002,0.006,-0.016,0.513,2.662,"AT&T Byron Nelson",TPC Craig Ranch
"Hughes, Mackenzie",150,0.446,31,0.004,0.036,-0.038,0.002,-0.040,0.003,0.019,0.018,0.040,0.450,2.642,"AT&T Byron Nelson",TPC Craig Ranch
"NeSmith, Matthew",150,0.390,28,0.013,0.055,0.002,0.041,-0.040,-0.000,-0.028,0.009,-0.019,0.442,2.665,"AT&T Byron Nelson",TPC Craig Ranch
"Bezuidenhout, Christiaan",150,0.320,27,0.016,0.019,0.028,0.032,-0.040,0.062,-0.032,0.017,0.047,0.421,2.641,"AT&T Byron Nelson",TPC Craig Ranch
"Lee, Kyounghoon",150,0.270,30,0.007,0.030,-0.002,0.094,0.039,-0.008,-0.019,0.004,-0.023,0.415,2.672,"AT&T Byron Nelson",TPC Craig Ranch
"Rai, Aaron",150,0.322,27,0.018,0.065,-0.008,0.070,-0.040,0.017,-0.039,0.005,-0.016,0.412,2.644,"AT&T Byron Nelson",TPC Craig Ranch
"Hubbard, Mark",150,0.351,32,-0.001,0.024,0.016,-0.082,-0.004,0.091,-0.018,0.016,0.089,0.393,2.637,"AT&T Byron Nelson",TPC Craig Ranch
"Kuchar, Matt",150,0.732,43,-0.037,-0.129,0.046,-0.334,0.000,0.082,-0.030,0.022,0.075,0.354,2.607,"AT&T Byron Nelson",TPC Craig Ranch
"Frittelli, Dylan",150,0.242,31,0.002,0.065,-0.007,0.081,-0.040,-0.042,0.038,0.009,0.005,0.347,2.674,"AT&T Byron Nelson",TPC Craig Ranch
"Taylor, Nick",150,0.201,34,-0.005,0.041,0.019,0.049,-0.040,0.009,-0.010,0.007,0.006,0.271,2.646,"AT&T Byron Nelson",TPC Craig Ranch
"Kisner, Kevin",150,0.447,38,-0.018,-0.018,0.048,-0.203,-0.040,0.061,-0.029,0.018,0.050,0.266,2.689,"AT&T Byron Nelson",TPC Craig Ranch
"Theegala, Sahith",150,0.088,24,0.027,0.014,0.027,0.080,-0.040,-0.022,0.026,0.004,0.009,0.205,2.682,"AT&T Byron Nelson",TPC Craig Ranch
"Stallings, Scott",150,0.277,37,-0.014,0.053,0.011,-0.165,0.025,-0.022,0.022,0.009,0.010,0.197,2.698,"AT&T Byron Nelson",TPC Craig Ranch
