datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,22529105,10900,39.666,1:06 pm,0,95.5,8.2,0,103.7,0.93,100,21.0267101391523,
"Thomas, Justin","Justin Thomas",150,22529106,10600,38.935,12:55 pm,0,93.6,7.7,0,101.3,0.9,100,22.6391015440199,
"Johnson, Dustin","Dustin Johnson",150,22529107,10200,39.560,7:56 am,1,82.1,4.8,0,86.9,0.06,100,11.203047260935,
"Spieth, Jordan","Jordan Spieth",150,22529108,10100,38.632,1:06 pm,0,78.6,4,0,82.6,-0.11,100,10.8291464862286,
"Matsuyama, Hideki","Hideki Matsuyama",150,22529109,9900,39.052,7:45 am,1,85.2,5.4,0,90.7,0.48,100,16.0969844320604,
"Schauffele, Xander","Xander Schauffele",150,22529110,9700,38.504,7:56 am,1,84,5.2,0,89.2,0.47,100,14.4964983668825,
"Burns, Sam","Sam Burns",150,22529111,9500,39.183,12:55 pm,0,83.2,4.9,0,88.1,0.49,100,22.7911604470464,
"Zalatoris, Will","Will Zalatoris",150,22529112,9400,38.590,1:39 pm,0,84.4,5.2,0,89.6,0.65,100,23.2072636105924,
"Niemann, Joaquin","Joaquin Niemann",150,22529113,9300,38.030,12:44 pm,0,81.1,4.6,0,85.7,0.42,100,11.5532740247456,
"Koepka, Brooks","Brooks Koepka",150,22529114,9200,37.589,7:34 am,1,74.9,3.4,0,78.3,-0.04,100,10.2241891553026,
"Fleetwood, Tommy","Tommy Fleetwood",150,22529115,9000,37.293,1:17 pm,0,77.4,3.8,0,81.3,0.24,100,8.31002110368994,
"Scott, Adam","Adam Scott",150,22529116,8700,37.275,12:44 pm,0,73,3.1,0,76.1,0.02,100,6.61592603436164,
"Gooch, Talor","Talor Gooch",150,22529117,8600,38.244,7:34 am,1,77.9,3.9,0,81.9,0.49,100,16.864069860394,
"Vegas, Jhonattan","Jhonattan Vegas",150,22529118,8400,36.757,12:11 pm,0,75.2,3.4,0,78.6,0.34,100,15.0523294737128,
"Kokrak, Jason","Jason Kokrak",150,22529119,8300,37.531,12:55 pm,0,72.7,3.1,0,75.7,0.19,100,6.67064073133618,
"Day, Jason","Jason Day",150,22529120,8200,37.344,7:45 am,1,73.4,3.1,0,76.5,0.29,100,7.47115836265098,
"Wise, Aaron","Aaron Wise",150,22529121,8100,38.150,8:18 am,1,78.2,4,0,82.1,0.75,100,15.7436569451711,
"Champ, Cameron","Cameron Champ",150,22529123,8000,35.255,12:33 pm,0,66.6,2.1,0,68.7,-0.09,100,5.43723666745568,
"Hadwin, Adam","Adam Hadwin",150,22529122,8000,37.182,12:00 pm,0,75.3,3.4,0,78.6,0.55,100,14.8445721253073,
"Power, Seamus","Seamus Power",150,22529124,7900,38.344,7:45 am,1,79.9,4.3,0,84.1,1,100,10.0256196593924,
"Noren, Alex","Alex Noren",150,22529125,7900,37.353,8:29 am,1,75.2,3.5,0,78.7,0.6,100,6.91142098200629,
"McNealy, Maverick","Maverick McNealy",150,22529126,7800,37.669,1:28 pm,0,76.3,3.6,0,79.9,0.74,100,14.7862828749835,
"Kim, Si Woo","Si Woo Kim",150,22529128,7800,37.629,7:56 am,1,76.7,3.7,0,80.4,0.78,100,7.43576944093473,
"Leishman, Marc","Marc Leishman",150,22529127,7800,36.731,12:44 pm,0,71.9,2.9,0,74.8,0.37,100,7.92547410724091,
"Griffin, Lanto","Lanto Griffin",150,22529131,7700,36.861,12:33 pm,0,72.9,3,0,76,0.5,100,8.91959242774371,
"Riley, Davis","Davis Riley",150,22529129,7700,34.495,12:22 pm,0,64.4,1.9,0,66.3,-0.1,100,7.34180998860345,
"Kuchar, Matt","Matt Kuchar",150,22529130,7700,35.072,7:23 am,1,67.8,2.3,0,70.1,0.08,100,5.2997691180571,
"Munoz, Sebastian","Sebastian Munoz",150,22529134,7600,37.809,7:23 am,1,75,3.4,0,78.4,0.74,100,9.09963532789094,
"Straka, Sepp","Sepp Straka",150,22529135,7600,37.296,1:17 pm,0,74.9,3.3,0,78.2,0.72,100,6.88050183938428,
"Pereira, Mito","Mito Pereira",150,22529133,7600,36.720,8:18 am,1,73.2,3.1,0,76.4,0.58,100,9.54449588487133,
"Mitchell, Keith","Keith Mitchell",150,22529137,7500,37.325,7:45 am,1,73.9,3.2,0,77.1,0.69,100,8.26870820914349,
"Kisner, Kevin","Kevin Kisner",150,22529138,7500,35.898,7:56 am,1,67.7,2.3,0,70,0.17,100,4.3642236743855,
"Watson, Bubba","Bubba Watson",150,22529136,7500,37.825,7:34 am,1,75.4,3.5,0,78.9,0.82,100,6.87728157571444,
"Lee, Kyounghoon","Kyoung-Hoon Lee",150,22529139,7500,35.741,1:06 pm,0,69.6,2.4,0,72,0.32,100,4.55033676307687,
"Kitayama, Kurt","Kurt Kitayama",150,22529143,7400,34.130,8:40 am,1,62.3,1.7,0,63.9,-0.11,100,10.7641605446079,
"Poulter, Ian","Ian Poulter",150,22529142,7400,34.678,8:18 am,1,65.5,2,0,67.5,0.03,100,3.22221330398931,
"Palmer, Ryan","Ryan Palmer",150,22529141,7400,34.812,1:17 pm,0,64.3,1.8,0,66.1,-0.03,100,5.49723571630768,
"Bezuidenhout, Christiaan","Christiaan Bezuidenhout",150,22529140,7400,35.756,7:01 am,1,69.1,2.5,0,71.6,0.34,100,5.04989393989309,
"NeSmith, Matthew","Matthew NeSmith",150,22529144,7300,36.382,7:01 am,1,69.9,2.6,0,72.5,0.45,100,4.42609005291219,
"Hoge, Tom","Tom Hoge",150,22529146,7300,37.136,12:55 pm,0,74.4,3.3,0,77.7,0.83,100,7.97449493361412,
"Pan, C.T.","C.T. Pan",150,22529145,7300,36.706,12:44 pm,0,72,2.9,0,74.9,0.63,100,5.69617771732314,
"List, Luke","Luke List",150,22529148,7300,36.364,7:23 am,1,71,2.7,0,73.7,0.54,100,8.20034969739008,
"Frittelli, Dylan","Dylan Frittelli",150,22529147,7300,35.846,12:33 pm,0,68.7,2.4,0,71.1,0.35,100,3.52644990420572,
"Rai, Aaron","Aaron Rai",150,22529152,7200,35.758,12:00 pm,0,69.6,2.5,0,72.1,0.48,100,4.14094658618491,
"Wolff, Matthew","Matthew Wolff",150,22529154,7200,32.860,12:55 pm,0,59.3,1.3,0,60.6,-0.18,100,3.49383680439572,
"Howell III, Charles","Charles Howell III",150,22529153,7200,36.462,1:06 pm,0,70.7,2.7,0,73.4,0.57,100,4.59080416279829,
"Norris, Shaun","Shaun Norris",150,22529150,7200,32.507,9:02 am,1,58.7,1.2,0,59.9,-0.21,100,1.02600950364248,
"Hughes, Mackenzie","Mackenzie Hughes",150,22529149,7200,36.092,7:45 am,1,70.3,2.6,0,73,0.54,100,4.89381617573195,
