"","G","G","G","G","G","G"
"1",22529106,22529115,22529123,22529126,22529143,22529157
"2",22529106,22529115,22529121,22529126,22529143,22529157
"3",22529105,22529115,22529126,22529129,22529143,22529157
"4",22529105,22529117,22529123,22529126,22529143,22529157
"5",22529105,22529121,22529123,22529126,22529129,22529143
"6",22529105,22529115,22529126,22529127,22529143,22529157
"7",22529106,22529115,22529126,22529129,22529143,22529157
"8",22529105,22529115,22529126,22529128,22529143,22529157
"9",22529106,22529117,22529123,22529126,22529143,22529157
"10",22529106,22529121,22529123,22529126,22529129,22529143
"11",22529106,22529115,22529126,22529127,22529143,22529157
"12",22529105,22529117,22529121,22529126,22529143,22529157
"13",22529105,22529121,22529123,22529126,22529128,22529143
"14",22529106,22529121,22529123,22529126,22529127,22529143
"15",22529105,22529120,22529123,22529126,22529129,22529143
"16",22529106,22529121,22529123,22529127,22529128,22529129
"17",22529106,22529121,22529123,22529127,22529129,22529130
"18",22529106,22529121,22529123,22529127,22529129,22529133
"19",22529105,22529121,22529123,22529127,22529129,22529151
"20",22529106,22529118,22529121,22529123,22529129,22529151
"21",22529106,22529121,22529123,22529128,22529129,22529130
"22",22529106,22529121,22529123,22529128,22529129,22529133
"23",22529106,22529120,22529121,22529123,22529129,22529151
"24",22529106,22529121,22529123,22529127,22529128,22529130
"25",22529105,22529120,22529123,22529127,22529128,22529151
"26",22529105,22529115,22529123,22529133,22529144,22529151
"27",22529105,22529123,22529125,22529127,22529128,22529133
"28",22529105,22529117,22529127,22529128,22529130,22529151
"29",22529111,22529117,22529118,22529125,22529127,22529128
"30",22529111,22529117,22529118,22529120,22529127,22529151
"31",22529111,22529117,22529118,22529120,22529130,22529133
"32",22529111,22529117,22529118,22529120,22529125,22529151
"33",22529111,22529117,22529118,22529120,22529130,22529135
"34",22529111,22529117,22529118,22529120,22529130,22529144
"35",22529111,22529117,22529118,22529120,22529133,22529135
"36",22529111,22529117,22529118,22529120,22529133,22529144
"37",22529111,22529117,22529118,22529125,22529130,22529133
"38",22529111,22529117,22529118,22529124,22529125,22529135
"39",22529111,22529117,22529118,22529124,22529125,22529144
"40",22529111,22529117,22529118,22529124,22529125,22529136
"41",22529111,22529117,22529118,22529124,22529125,22529154
"42",22529111,22529117,22529118,22529125,22529135,22529136
"43",22529111,22529112,22529124,22529125,22529135,22529144
"44",22529111,22529112,22529116,22529124,22529144,22529154
"45",22529111,22529112,22529116,22529135,22529136,22529144
"46",22529111,22529112,22529116,22529135,22529144,22529154
"47",22529111,22529112,22529119,22529124,22529135,22529144
"48",22529111,22529113,22529116,22529124,22529144,22529154
"49",22529112,22529113,22529116,22529135,22529136,22529154
"50",22529112,22529113,22529116,22529135,22529136,22529146
